X	Y
69.571	57.857
69.539	57.650
69.529	57.435
69.541	57.213
69.573	56.983
69.625	56.746
69.695	56.503
69.782	56.254
69.884	55.999
70.001	55.739
70.132	55.475
70.275	55.206
70.430	54.934
70.594	54.658
70.768	54.379
70.949	54.098
71.137	53.815
71.330	53.530
71.527	53.244
71.728	52.957
71.931	52.669
72.135	52.382
72.339	52.095
72.543	51.807
72.749	51.520
72.955	51.233
73.161	50.945
73.368	50.657
73.576	50.368
73.785	50.079
73.995	49.789
74.205	49.499
74.416	49.207
74.629	48.915
74.842	48.621
75.056	48.326
75.271	48.030
75.488	47.732
75.705	47.433
75.924	47.132
76.144	46.829
76.365	46.524
76.587	46.218
76.811	45.909
77.036	45.598
77.262	45.285
77.490	44.970
77.720	44.652
77.951	44.331
78.183	44.008
78.418	43.682
78.654	43.354
78.893	43.023
79.133	42.689
79.376	42.353
79.622	42.014
79.869	41.672
80.120	41.327
80.373	40.980
80.629	40.630
80.889	40.277
81.151	39.921
81.416	39.563
81.685	39.201
81.957	38.837
82.233	38.470
82.513	38.099
82.796	37.726
83.084	37.350
83.375	36.971
83.671	36.588
83.971	36.203
84.275	35.815
84.584	35.423
84.898	35.029
85.216	34.631
85.539	34.230
85.868	33.826
86.201	33.419
86.540	33.008
86.884	32.595
87.232	32.178
87.585	31.760
87.942	31.339
88.302	30.917
88.666	30.493
89.032	30.069
89.400	29.644
89.771	29.219
90.142	28.795
90.515	28.371
90.888	27.948
91.261	27.527
91.634	27.107
92.006	26.690
92.377	26.275
92.747	25.863
93.114	25.454
93.479	25.049
93.842	24.649
94.201	24.252
94.556	23.861
94.907	23.474
95.254	23.094
95.596	22.719
95.932	22.351
96.263	21.989
96.588	21.634
96.905	21.287
97.216	20.948
97.520	20.617
97.815	20.295
98.102	19.981
98.381	19.677
98.650	19.383
98.909	19.099
99.159	18.826
99.400	18.563
99.632	18.310
99.859	18.067
100.080	17.833
100.298	17.609
100.514	17.394
100.729	17.188
100.945	16.991
101.163	16.801
101.385	16.620
101.612	16.446
101.845	16.280
102.087	16.120
102.338	15.968
102.600	15.822
102.874	15.682
103.161	15.549
103.464	15.421
103.784	15.298
104.121	15.181
104.478	15.069
104.856	14.961
105.255	14.857
105.673	14.758
106.110	14.662
106.563	14.569
107.030	14.480
107.511	14.393
108.003	14.308
108.505	14.226
109.016	14.145
109.533	14.066
110.055	13.988
110.581	13.911
111.109	13.834
111.637	13.757
112.163	13.681
112.687	13.603
113.206	13.525
113.719	13.446
114.225	13.365
114.720	13.283
115.205	13.198
115.678	13.112
116.136	13.022
116.578	12.929
117.003	12.833
117.409	12.734
117.794	12.630
118.157	12.522
118.496	12.410
118.810	12.292
119.096	12.170
119.354	12.041
119.582	11.907
119.780	11.771
119.949	11.636
120.090	11.508
120.206	11.391
120.296	11.291
120.362	11.211
120.405	11.156
120.427	11.132
120.428	11.143
120.412	11.192
120.383	11.274
120.349	11.384
120.317	11.515
120.294	11.662
120.287	11.818
120.302	11.978
120.347	12.136
120.428	12.285
120.551	12.421
120.715	12.544
120.917	12.657
121.153	12.759
121.422	12.854
121.719	12.943
122.042	13.028
122.387	13.110
122.753	13.191
123.136	13.272
123.533	13.356
123.940	13.443
124.356	13.536
124.777	13.636
125.200	13.746
125.623	13.866
126.041	13.998
126.453	14.144
126.856	14.305
127.245	14.484
127.619	14.682
127.975	14.900
128.309	15.141
128.618	15.405
128.900	15.695
129.152	16.012
129.371	16.358
129.558	16.731
129.713	17.128
129.839	17.549
129.935	17.992
130.003	18.454
130.044	18.933
130.059	19.429
130.048	19.939
130.014	20.461
129.956	20.993
129.876	21.534
129.775	22.082
129.654	22.635
129.514	23.191
129.356	23.748
129.180	24.305
128.989	24.859
128.782	25.409
128.561	25.953
128.327	26.489
128.081	27.015
127.824	27.530
127.557	28.031
127.281	28.517
126.997	28.986
126.706	29.436
126.409	29.865
126.107	30.272
125.800	30.654
125.491	31.010
125.180	31.338
124.867	31.635
124.555	31.902
124.244	32.134
123.936	32.334
