X	Y
66.295	142.411
66.431	142.332
66.595	142.275
66.782	142.238
66.991	142.218
67.217	142.212
67.459	142.218
67.713	142.232
67.977	142.251
68.247	142.274
68.520	142.296
68.794	142.316
69.065	142.330
69.334	142.339
69.601	142.342
69.865	142.341
70.129	142.336
70.392	142.327
70.656	142.316
70.920	142.304
71.186	142.290
71.454	142.276
71.724	142.262
71.998	142.249
72.276	142.238
72.559	142.229
72.847	142.223
73.139	142.220
73.435	142.219
73.735	142.220
74.038	142.224
74.344	142.229
74.652	142.235
74.963	142.244
75.275	142.253
75.588	142.263
75.903	142.274
76.217	142.286
76.532	142.299
76.846	142.311
77.160	142.324
77.472	142.337
77.782	142.350
78.090	142.363
78.396	142.378
78.698	142.395
78.996	142.413
79.290	142.434
79.579	142.457
79.863	142.483
80.140	142.513
80.412	142.546
80.676	142.584
80.933	142.626
81.182	142.674
81.422	142.726
81.654	142.784
81.878	142.847
82.094	142.914
82.301	142.987
82.501	143.063
82.693	143.144
82.878	143.229
83.056	143.318
83.226	143.411
83.389	143.507
83.545	143.606
83.694	143.707
83.836	143.809
83.971	143.911
84.097	144.012
84.216	144.110
84.327	144.205
84.430	144.295
84.525	144.381
84.612	144.465
84.690	144.551
84.761	144.641
84.823	144.739
84.878	144.848
84.926	144.969
84.969	145.102
85.010	145.243
85.052	145.391
85.097	145.544
85.147	145.699
85.207	145.854
85.277	146.008
85.358	146.158
85.447	146.304
85.545	146.445
85.649	146.578
85.757	146.704
85.869	146.820
85.982	146.925
86.095	147.020
86.208	147.104
86.319	147.181
86.428	147.256
86.534	147.331
86.637	147.409
86.736	147.496
86.831	147.592
86.922	147.699
87.012	147.815
87.100	147.940
87.190	148.073
87.281	148.213
87.376	148.360
87.475	148.512
87.580	148.669
87.686	148.829
87.793	148.992
87.896	149.155
87.994	149.317
88.082	149.478
88.159	149.636
88.221	149.789
88.266	149.937
88.291	150.079
88.297	150.215
88.283	150.347
88.250	150.477
88.198	150.606
88.126	150.734
88.036	150.864
87.929	150.996
87.810	151.128
87.683	151.260
87.553	151.390
87.425	151.517
87.304	151.641
87.194	151.760
87.100	151.873
87.026	151.979
86.976	152.081
86.952	152.182
86.958	152.283
86.997	152.388
87.070	152.499
87.173	152.616
87.300	152.740
87.442	152.869
87.593	153.004
