X	Y
341.000	177.000
341.874	175.665
343.163	174.670
344.657	173.789
346.146	172.798
347.420	171.474
348.385	169.728
349.106	167.659
349.662	165.387
350.133	163.026
350.598	160.695
351.136	158.509
351.799	156.530
352.587	154.710
353.492	152.984
354.506	151.291
355.622	149.568
356.833	147.756
358.137	145.840
359.534	143.830
361.028	141.740
362.619	139.581
364.309	137.365
366.099	135.105
367.990	132.812
369.974	130.499
372.035	128.181
374.156	125.872
376.318	123.586
378.505	121.338
380.699	119.141
382.884	117.010
385.043	114.960
387.161	112.997
389.237	111.107
391.273	109.266
393.271	107.453
395.234	105.645
397.162	103.821
399.058	101.959
400.923	100.036
402.763	98.049
404.586	96.006
406.398	93.919
408.207	91.799
410.022	89.656
411.851	87.502
413.700	85.347
415.575	83.202
417.470	81.079
419.372	78.990
421.268	76.946
423.146	74.959
424.993	73.041
426.797	71.204
428.545	69.460
430.240	67.807
431.907	66.224
433.572	64.689
435.264	63.178
437.009	61.668
438.835	60.137
440.761	58.564
442.775	56.953
444.850	55.311
446.962	53.647
449.083	51.971
451.190	50.290
453.256	48.613
455.258	46.949
457.190	45.309
459.062	43.706
460.881	42.152
462.658	40.660
464.400	39.242
466.117	37.912
467.818	36.671
469.515	35.490
471.218	34.333
472.939	33.164
474.689	31.946
476.481	30.644
478.320	29.242
480.202	27.765
482.122	26.240
484.077	24.697
486.061	23.164
488.069	21.668
490.097	20.237
492.144	18.883
494.211	17.602
496.300	16.390
498.413	15.243
500.552	14.158
502.718	13.129
504.909	12.155
507.106	11.236
509.281	10.378
511.405	9.583
513.451	8.855
515.392	8.199
517.202	7.617
518.903	7.111
520.543	6.678
522.171	6.316
523.835	6.025
525.580	5.799
527.434	5.622
529.419	5.473
531.554	5.328
533.861	5.168
536.361	4.969
539.033	4.738
541.742	4.548
544.338	4.484
546.667	4.633
548.578	5.080
549.919	5.911
550.594	7.179
550.788	8.765
550.781	10.499
550.850	12.209
551.264	13.730
552.069	15.044
553.088	16.280
554.137	17.576
555.031	19.066
555.650	20.826
556.111	22.708
556.580	24.520
557.227	26.069
558.218	27.160
559.609	27.734
561.197	28.038
562.744	28.366
564.010	29.008
564.823	30.182
565.273	31.810
565.514	33.743
565.701	35.833
565.987	37.931
566.501	39.908
567.256	41.714
568.236	43.326
569.423	44.719
570.801	45.865
572.340	46.764
573.947	47.546
575.503	48.390
576.892	49.478
577.994	50.989
578.715	53.016
579.053	55.292
579.030	57.454
578.668	59.145
577.991	60.004
577.032	59.831
575.880	59.052
574.631	58.239
573.381	57.951
572.162	58.360
570.939	59.251
569.674	60.393
568.333	61.560
566.908	62.621
565.420	63.547
563.893	64.314
562.350	64.896
560.815	65.284
559.313	65.589
557.871	65.980
556.517	66.627
555.274	67.686
554.136	69.091
553.074	70.601
552.054	71.975
551.046	72.968
550.026	73.430
549.004	73.640
547.999	74.001
547.030	74.823
546.100	76.061
545.213	77.576
544.371	79.231
543.578	80.893
542.872	82.501
542.328	84.064
542.016	85.590
542.010	87.089
542.318	88.558
542.737	89.953
543.018	91.223
542.912	92.317
542.313	93.234
541.342	94.064
540.142	94.902
538.851	95.838
537.580	96.923
536.428	98.196
535.496	99.697
534.884	101.462
534.633	103.490
534.673	105.698
534.922	107.992
535.295	110.282
535.711	112.474
536.086	114.478
536.393	116.248
536.719	117.832
537.158	119.291
537.809	120.681
538.739	122.059
539.781	123.443
540.650	124.837
541.064	126.244
540.748	127.665
539.710	129.095
538.266	130.514
536.746	131.906
535.483	133.252
534.799	134.536
534.773	135.784
535.186	137.076
535.797	138.495
536.386	140.115
536.920	141.918
537.489	143.824
538.181	145.754
539.089	147.630
540.301	149.373
541.843	150.938
543.607	152.356
545.466	153.666
547.294	154.908
548.964	156.121
550.352	157.345
551.395	158.615
552.142	159.958
552.654	161.398
552.994	162.964
553.203	164.662
553.242	166.433
553.053	168.195
552.574	169.869
551.747	171.374
550.599	172.689
549.322	173.905
548.127	175.124
547.223	176.449
546.805	177.973
546.850	179.695
547.177	181.543
547.600	183.441
547.935	185.314
548.006	187.092
547.775	188.754
547.302	190.314
546.652	191.789
545.887	193.195
545.053	194.537
544.145	195.794
543.155	196.938
542.070	197.943
540.881	198.793
539.579	199.519
538.154	200.165
536.599	200.777
534.908	201.393
533.129	201.954
531.346	202.335
529.645	202.409
528.111	202.051
526.805	201.170
525.662	199.874
524.578	198.331
523.449	196.708
522.171	195.173
520.659	193.869
518.942	192.797
517.090	191.903
515.172	191.138
513.256	190.449
511.413	189.784
509.666	189.121
507.965	188.478
506.255	187.881
504.483	187.353
502.592	186.918
500.556	186.587
498.409	186.349
496.192	186.187
493.948	186.085
491.719	186.026
489.546	185.995
487.454	185.979
485.428	185.973
483.452	185.977
481.507	185.985
479.573	185.997
477.636	186.010
475.697	186.050
473.771	186.156
471.873	186.367
470.018	186.723
468.219	187.260
466.474	187.969
464.762	188.782
463.060	189.629
461.347	190.441
459.601	191.147
457.814	191.721
456.012	192.227
454.226	192.741
452.485	193.338
450.820	194.094
449.250	195.046
447.767	196.123
446.355	197.235
445.000	198.291
443.689	199.200
442.394	199.930
441.067	200.566
439.654	201.206
438.102	201.948
436.374	202.869
434.497	203.946
432.522	205.124
430.495	206.349
428.467	207.567
426.487	208.724
424.596	209.770
422.781	210.688
420.998	211.480
419.204	212.147
417.356	212.691
415.410	213.113
413.344	213.421
411.174	213.636
408.918	213.780
406.594	213.875
404.222	213.943
401.820	214.005
399.404	214.080
396.982	214.174
394.560	214.294
392.145	214.443
389.743	214.627
387.360	214.851
385.002	215.119
382.674	215.417
380.379	215.704
378.119	215.942
375.895	216.090
373.712	216.107
371.570	215.953
369.468	215.624
367.395	215.189
365.338	214.729
363.286	214.326
361.225	214.060
359.145	214.009
357.075	214.132
355.096	214.237
353.294	214.124
351.751	213.591
350.552	212.441
349.708	210.647
349.140	208.394
348.765	205.880
348.499	203.304
348.257	200.863
347.956	198.757
347.530	197.086
346.970	195.680
346.271	194.325
345.431	192.806
344.450	190.918
343.390	188.645
342.367	186.142
341.499	183.566
340.903	181.078
340.697	178.836
341.000	177.000
