X	Y
25.460	9.453
25.487	9.390
25.522	9.326
25.566	9.263
25.617	9.199
25.674	9.136
25.738	9.072
25.806	9.009
25.878	8.947
25.954	8.884
26.032	8.823
26.112	8.762
26.193	8.702
26.274	8.642
26.354	8.584
26.433	8.526
26.511	8.470
26.587	8.414
26.661	8.359
26.735	8.305
26.807	8.251
26.879	8.198
26.951	8.146
27.023	8.094
27.094	8.042
27.166	7.990
27.238	7.938
27.312	7.886
27.386	7.833
27.461	7.781
27.538	7.728
27.616	7.675
27.695	7.622
27.775	7.568
27.856	7.515
27.937	7.461
28.018	7.408
28.099	7.355
28.180	7.302
28.260	7.251
28.340	7.199
28.418	7.149
28.495	7.099
28.570	7.051
28.644	7.003
28.715	6.957
28.785	6.912
28.852	6.868
28.918	6.825
28.982	6.784
29.046	6.743
29.108	6.704
29.171	6.665
29.233	6.627
29.295	6.590
29.357	6.553
29.420	6.517
29.484	6.481
29.549	6.446
29.616	6.411
29.684	6.376
29.753	6.341
29.824	6.306
29.896	6.272
29.970	6.236
30.046	6.201
30.123	6.165
30.202	6.128
30.283	6.091
30.365	6.053
30.450	6.014
30.536	5.975
30.625	5.934
30.716	5.892
30.808	5.849
30.902	5.806
30.997	5.762
31.094	5.717
31.193	5.672
31.292	5.626
31.393	5.581
31.495	5.535
31.598	5.489
31.702	5.443
31.806	5.397
31.911	5.351
32.017	5.306
32.123	5.261
32.229	5.217
32.336	5.173
32.443	5.130
32.550	5.087
32.657	5.045
32.763	5.004
32.870	4.962
32.976	4.921
33.082	4.881
33.187	4.840
33.292	4.799
33.396	4.759
33.500	4.718
33.602	4.678
33.704	4.637
33.804	4.596
33.904	4.555
34.002	4.513
34.099	4.471
34.194	4.429
34.289	4.386
34.382	4.342
34.473	4.298
34.564	4.254
34.654	4.210
34.744	4.165
34.832	4.121
34.921	4.076
35.009	4.032
35.097	3.987
35.185	3.943
35.274	3.899
35.362	3.855
35.452	3.812
35.541	3.769
35.632	3.727
35.723	3.685
35.815	3.644
35.908	3.604
36.002	3.564
36.095	3.524
36.190	3.485
36.284	3.446
36.379	3.407
36.474	3.369
36.568	3.331
36.663	3.293
36.757	3.256
36.851	3.218
36.944	3.181
37.037	3.143
37.129	3.106
37.220	3.069
37.311	3.032
37.400	2.994
37.489	2.957
37.577	2.920
37.665	2.883
37.751	2.846
37.838	2.808
37.923	2.771
38.008	2.735
38.093	2.698
38.177	2.661
38.261	2.624
38.344	2.588
38.427	2.552
38.509	2.515
38.591	2.479
38.673	2.444
38.755	2.408
38.836	2.374
38.917	2.339
38.998	2.305
39.078	2.272
39.158	2.240
39.238	2.209
39.317	2.178
39.396	2.149
39.475	2.121
39.553	2.094
39.631	2.068
39.708	2.044
39.785	2.021
39.862	1.999
39.938	1.978
40.013	1.959
40.087	1.940
40.160	1.923
40.233	1.906
40.304	1.891
40.374	1.876
40.443	1.862
40.511	1.848
40.578	1.835
40.643	1.823
40.708	1.811
40.773	1.800
40.837	1.789
40.903	1.779
40.969	1.769
41.036	1.760
41.106	1.751
41.177	1.743
41.251	1.735
41.328	1.728
41.408	1.721
41.490	1.714
41.574	1.709
41.659	1.704
41.745	1.699
41.831	1.695
41.916	1.693
42.001	1.691
42.084	1.690
42.165	1.690
42.243	1.691
42.319	1.693
42.391	1.696
42.460	1.700
42.525	1.705
42.589	1.711
42.652	1.717
42.714	1.722
42.776	1.727
42.840	1.731
42.906	1.733
42.974	1.735
43.047	1.734
43.123	1.731
43.204	1.726
43.287	1.720
43.371	1.714
43.453	1.709
43.533	1.706
43.607	1.705
43.675	1.709
43.735	1.718
43.785	1.732
43.823	1.753
43.847	1.782
43.857	1.819
43.856	1.863
43.846	1.913
43.829	1.968
43.807	2.027
43.783	2.088
43.759	2.152
43.738	2.217
43.721	2.281
43.710	2.345
43.704	2.409
43.704	2.472
43.708	2.535
43.716	2.598
43.727	2.661
43.741	2.726
43.758	2.790
43.777	2.856
43.797	2.923
43.818	2.991
43.839	3.061
43.861	3.131
43.883	3.202
43.905	3.274
43.926	3.345
43.946	3.417
43.966	3.488
43.984	3.558
44.000	3.628
44.014	3.696
44.027	3.763
44.037	3.828
44.045	3.891
44.051	3.953
44.055	4.014
44.058	4.075
44.060	4.134
44.062	4.193
44.063	4.252
44.064	4.311
44.065	4.370
44.067	4.430
44.069	4.490
44.071	4.550
44.074	4.611
44.078	4.671
44.082	4.732
44.087	4.794
44.092	4.855
44.097	4.916
44.103	4.977
44.110	5.038
44.116	5.100
44.123	5.161
44.129	5.223
44.135	5.286
44.139	5.350
44.143	5.415
44.144	5.481
44.144	5.549
44.142	5.619
44.137	5.690
44.130	5.764
44.121	5.839
44.109	5.916
44.095	5.995
44.080	6.074
44.063	6.155
44.044	6.236
44.024	6.318
44.002	6.400
43.980	6.483
43.956	6.565
43.932	6.647
43.907	6.729
43.881	6.809
43.856	6.890
43.831	6.969
43.806	7.048
43.783	7.125
43.762	7.201
43.742	7.276
43.725	7.350
43.711	7.422
43.700	7.492
43.692	7.561
43.689	7.628
43.689	7.693
43.693	7.756
43.698	7.817
43.703	7.875
43.706	7.931
43.704	7.984
43.697	8.034
43.682	8.082
43.658	8.126
43.622	8.167
43.576	8.205
43.521	8.241
43.459	8.274
43.390	8.307
43.318	8.338
43.243	8.370
43.166	8.401
43.090	8.433
43.015	8.466
42.944	8.501
42.878	8.538
42.818	8.578
42.765	8.620
42.718	8.665
42.678	8.711
42.644	8.760
42.616	8.810
42.593	8.861
42.576	8.912
42.564	8.964
42.557	9.017
42.554	9.069
42.553	9.121
42.552	9.171
42.549	9.220
42.541	9.267
42.527	9.312
42.503	9.354
42.469	9.392
42.422	9.427
42.366	9.459
42.300	9.488
42.226	9.514
42.145	9.538
42.059	9.560
41.970	9.580
41.878	9.599
41.785	9.616
41.692	9.633
41.601	9.649
41.513	9.664
41.429	9.679
41.350	9.695
41.276	9.710
41.207	9.726
41.142	9.743
41.081	9.760
41.023	9.778
40.967	9.796
40.913	9.816
40.861	9.836
40.810	9.858
40.760	9.881
40.710	9.905
40.661	9.930
40.614	9.958
40.568	9.987
40.525	10.019
40.485	10.052
40.448	10.089
40.415	10.127
40.386	10.169
40.360	10.213
40.337	10.259
40.316	10.307
40.297	10.356
40.278	10.406
40.259	10.458
40.239	10.509
40.217	10.560
40.193	10.611
40.167	10.662
40.139	10.711
40.108	10.761
40.076	10.809
40.042	10.856
40.005	10.903
39.967	10.948
39.927	10.992
39.886	11.034
39.843	11.076
39.798	11.116
39.752	11.155
39.706	11.193
39.659	11.231
39.611	11.268
39.563	11.304
39.515	11.340
39.467	11.377
39.419	11.413
39.372	11.449
39.324	11.485
39.277	11.521
39.231	11.557
39.184	11.592
