X	Y
343.000	186.500
343.653	185.184
344.529	183.898
345.609	182.637
346.874	181.395
348.304	180.166
349.880	178.945
351.583	177.726
353.392	176.503
355.289	175.271
357.255	174.023
359.275	172.759
361.345	171.479
363.461	170.187
365.617	168.885
367.810	167.576
370.034	166.263
372.284	164.949
374.557	163.635
376.848	162.325
379.152	161.021
381.464	159.727
383.780	158.444
386.095	157.175
388.406	155.923
390.711	154.687
393.008	153.467
395.296	152.264
397.572	151.077
399.836	149.906
402.085	148.751
404.318	147.612
406.534	146.489
408.730	145.383
410.906	144.292
413.058	143.217
415.187	142.159
417.292	141.116
419.380	140.088
421.455	139.076
423.523	138.079
425.591	137.096
427.663	136.128
429.745	135.173
431.843	134.233
433.962	133.305
436.108	132.391
438.287	131.490
440.504	130.601
442.757	129.726
445.040	128.864
447.342	128.019
449.655	127.190
451.970	126.381
454.278	125.591
456.571	124.822
458.840	124.076
461.076	123.355
463.270	122.658
465.414	121.989
467.498	121.348
469.520	120.735
471.489	120.147
473.415	119.582
475.310	119.035
477.184	118.504
479.047	117.986
480.910	117.477
482.783	116.974
484.678	116.474
486.604	115.973
488.569	115.470
490.574	114.965
492.613	114.459
494.685	113.953
496.787	113.449
498.915	112.948
501.068	112.451
503.240	111.960
505.431	111.475
507.636	110.998
509.853	110.531
512.078	110.073
514.310	109.627
516.546	109.192
518.782	108.769
521.017	108.358
523.247	107.961
525.471	107.576
527.685	107.206
529.886	106.850
532.073	106.509
534.242	106.183
536.391	105.873
538.521	105.579
540.632	105.300
542.730	105.037
544.816	104.787
546.893	104.551
548.966	104.329
551.036	104.119
553.107	103.921
555.181	103.735
557.262	103.559
559.353	103.395
561.453	103.243
563.559	103.107
565.668	102.989
567.779	102.895
569.888	102.826
571.992	102.787
574.090	102.780
576.178	102.809
578.253	102.877
580.313	102.988
582.356	103.143
584.382	103.335
586.395	103.553
588.396	103.788
590.388	104.030
592.372	104.267
594.351	104.490
596.328	104.688
598.303	104.852
600.280	104.970
602.260	105.035
604.233	105.063
606.181	105.088
608.088	105.144
609.935	105.264
611.705	105.484
613.379	105.837
614.942	106.358
616.374	107.079
617.659	108.035
618.794	109.220
619.790	110.595
620.656	112.121
621.403	113.759
622.043	115.467
622.586	117.206
623.041	118.937
623.421	120.618
623.733	122.216
623.968	123.730
624.107	125.179
624.132	126.582
624.023	127.958
623.762	129.324
623.331	130.701
622.711	132.106
621.904	133.547
620.937	135.021
619.837	136.522
618.633	138.047
617.353	139.590
616.024	141.147
614.674	142.713
613.331	144.284
612.023	145.854
610.776	147.419
609.597	148.975
608.475	150.520
607.399	152.050
606.358	153.563
605.341	155.057
604.337	156.527
603.335	157.972
602.324	159.388
601.293	160.773
600.232	162.124
599.136	163.437
597.997	164.711
596.809	165.942
595.566	167.128
594.263	168.265
592.892	169.350
591.447	170.382
589.922	171.356
588.317	172.275
586.634	173.142
584.880	173.966
583.060	174.750
581.179	175.503
579.242	176.228
577.255	176.934
575.222	177.625
573.148	178.307
571.040	178.987
568.902	179.670
566.735	180.354
564.544	181.040
562.330	181.724
560.095	182.406
557.842	183.084
555.573	183.757
553.291	184.422
550.997	185.079
548.694	185.725
546.384	186.360
544.070	186.982
541.754	187.588
539.440	188.179
537.133	188.754
534.838	189.312
532.559	189.854
530.300	190.377
528.067	190.882
525.863	191.368
523.694	191.834
521.564	192.280
519.477	192.706
517.439	193.110
515.448	193.495
513.496	193.866
511.574	194.230
509.672	194.592
507.780	194.959
505.889	195.338
503.989	195.734
502.071	196.154
500.125	196.604
498.141	197.090
496.114	197.615
494.050	198.176
491.953	198.766
489.831	199.380
487.690	200.014
485.536	200.661
483.375	201.316
481.214	201.975
479.059	202.630
476.916	203.279
474.791	203.914
472.690	204.531
470.610	205.133
468.546	205.721
466.491	206.300
464.442	206.873
462.391	207.443
460.335	208.015
458.267	208.590
456.181	209.172
454.074	209.766
451.938	210.374
449.771	210.999
447.578	211.639
445.370	212.288
443.159	212.941
440.954	213.595
438.766	214.243
436.608	214.880
434.489	215.503
432.420	216.105
430.412	216.682
428.476	217.229
426.622	217.741
424.851	218.215
423.148	218.652
421.500	219.051
419.895	219.413
418.320	219.737
416.760	220.023
415.203	220.272
413.635	220.484
412.045	220.658
410.430	220.797
408.791	220.903
407.129	220.978
405.443	221.026
403.735	221.048
402.004	221.047
400.252	221.026
398.478	220.987
396.684	220.931
394.874	220.861
393.052	220.776
391.222	220.677
389.388	220.565
387.553	220.442
385.722	220.307
383.898	220.162
382.085	220.008
380.288	219.843
378.512	219.663
376.761	219.460
375.042	219.227
373.359	218.957
371.719	218.643
370.126	218.277
368.587	217.851
367.105	217.360
365.685	216.800
364.322	216.173
363.014	215.486
361.757	214.741
360.546	213.944
359.379	213.098
358.253	212.209
357.162	211.281
356.103	210.318
355.070	209.324
354.058	208.306
353.061	207.267
352.073	206.211
351.090	205.144
350.106	204.070
349.124	202.989
348.156	201.895
347.216	200.782
346.317	199.642
345.473	198.471
344.697	197.261
344.003	196.006
343.405	194.702
342.924	193.359
342.580	191.990
342.395	190.607
342.389	189.223
342.583	187.850
343.000	186.500
