X,Y
861.000,523.000
862.005,521.965
863.087,520.976
864.244,520.032
865.475,519.131
866.777,518.273
868.149,517.457
869.589,516.681
871.096,515.944
872.667,515.245
874.300,514.583
875.995,513.956
877.748,513.365
879.559,512.807
881.426,512.281
883.346,511.786
885.318,511.321
887.340,510.886
889.411,510.478
891.528,510.096
893.690,509.741
895.895,509.409
898.141,509.101
900.427,508.815
902.750,508.550
905.108,508.305
907.501,508.078
909.926,507.869
912.382,507.676
914.866,507.499
917.377,507.335
919.913,507.185
922.472,507.047
925.053,506.919
927.653,506.801
930.271,506.691
932.906,506.588
935.554,506.492
938.215,506.401
940.887,506.313
943.568,506.229
946.256,506.146
948.949,506.063
951.645,505.980
954.344,505.895
957.042,505.807
959.739,505.715
962.431,505.617
965.119,505.514
967.799,505.402
970.470,505.283
973.130,505.153
975.778,505.012
978.412,504.860
981.031,504.696
983.636,504.521
986.227,504.335
988.805,504.138
991.370,503.932
993.922,503.717
996.461,503.493
998.988,503.260
1001.502,503.020
1004.005,502.773
1006.496,502.518
1008.976,502.258
1011.444,501.991
1013.902,501.720
1016.350,501.443
1018.787,501.162
1021.214,500.877
1023.631,500.588
1026.039,500.297
1028.438,500.003
1030.828,499.707
1033.209,499.410
1035.582,499.112
1037.947,498.813
1040.303,498.515
1042.653,498.217
1044.995,497.920
1047.330,497.624
1049.658,497.330
1051.980,497.039
1054.296,496.751
1056.606,496.466
1058.910,496.185
1061.208,495.908
1063.502,495.636
1065.791,495.370
1068.075,495.109
1070.355,494.855
1072.630,494.608
1074.902,494.368
1077.171,494.136
1079.436,493.912
1081.699,493.697
1083.958,493.491
1086.215,493.295
1088.470,493.109
1090.724,492.934
1092.975,492.770
1095.225,492.618
1097.474,492.478
1099.723,492.351
1101.971,492.237
1104.218,492.137
1106.466,492.050
1108.714,491.979
1110.962,491.922
1113.211,491.880
1115.461,491.852
1117.712,491.838
1119.964,491.838
1122.218,491.850
1124.474,491.876
1126.731,491.915
1128.991,491.965
1131.252,492.028
1133.516,492.102
1135.783,492.188
1138.053,492.285
1140.326,492.392
1142.602,492.510
1144.881,492.638
1147.164,492.775
1149.451,492.922
1151.741,493.079
1154.036,493.243
1156.336,493.417
1158.640,493.598
1160.948,493.788
1163.262,493.984
1165.581,494.188
1167.905,494.399
1170.234,494.617
1172.570,494.840
1174.911,495.070
1177.259,495.305
1179.612,495.545
1181.973,495.790
1184.340,496.040
1186.713,496.294
1189.094,496.552
1191.483,496.814
1193.878,497.079
1196.281,497.347
1198.693,497.618
1201.112,497.891
1203.539,498.166
1205.975,498.443
1208.420,498.721
1210.873,499.000
1213.335,499.280
1215.807,499.561
1218.288,499.841
1220.778,500.122
1223.279,500.402
1225.789,500.681
1228.309,500.959
1230.840,501.235
1233.381,501.510
1235.934,501.782
1238.497,502.052
1241.071,502.319
1243.655,502.584
1246.249,502.846
1248.851,503.106
1251.462,503.364
1254.081,503.620
1256.707,503.873
1259.338,504.125
1261.976,504.375
1264.618,504.623
1267.264,504.870
1269.914,505.115
1272.567,505.359
1275.222,505.602
1277.879,505.844
1280.536,506.085
1283.194,506.325
1285.851,506.564
1288.507,506.802
1291.161,507.040
1293.813,507.278
1296.461,507.516
1299.106,507.753
1301.746,507.990
1304.381,508.227
1307.010,508.465
1309.632,508.702
1312.247,508.941
1314.854,509.179
1317.453,509.419
1320.042,509.659
1322.622,509.900
1325.190,510.142
1327.748,510.385
