X,Y
65.177,142.852
65.203,142.813
65.242,142.776
65.292,142.741
65.352,142.707
65.419,142.676
65.493,142.646
65.572,142.618
65.654,142.592
65.738,142.567
65.823,142.544
65.907,142.523
65.989,142.502
66.069,142.483
66.147,142.464
66.223,142.447
66.297,142.429
66.370,142.411
66.441,142.394
66.512,142.375
66.581,142.356
66.650,142.336
66.719,142.314
66.787,142.290
66.855,142.266
66.924,142.240
66.992,142.214
67.061,142.189
67.130,142.164
67.200,142.142
67.270,142.122
67.341,142.105
67.413,142.092
67.485,142.083
67.559,142.079
67.634,142.081
67.710,142.087
67.786,142.097
67.862,142.110
67.938,142.126
68.014,142.143
68.088,142.160
68.162,142.179
68.235,142.196
68.306,142.213
68.375,142.227
68.442,142.239
68.507,142.248
68.571,142.255
68.635,142.259
68.698,142.260
68.762,142.259
68.828,142.255
68.894,142.249
68.963,142.239
69.035,142.228
69.110,142.213
69.188,142.196
69.268,142.178
69.351,142.158
69.436,142.137
69.522,142.115
69.610,142.093
69.699,142.071
69.788,142.049
69.878,142.028
69.968,142.009
70.058,141.991
70.147,141.975
70.235,141.961
70.323,141.950
70.409,141.941
70.493,141.934
70.576,141.929
70.656,141.926
70.735,141.924
70.811,141.924
70.884,141.924
70.955,141.926
71.022,141.929
71.087,141.933
71.148,141.937
71.206,141.941
71.262,141.947
71.317,141.954
71.372,141.961
71.428,141.970
71.486,141.981
71.546,141.993
71.609,142.006
71.676,142.022
71.746,142.041
71.817,142.062
71.889,142.086
71.959,142.114
72.027,142.147
72.091,142.184
72.150,142.227
72.202,142.276
72.245,142.330
72.280,142.392
72.304,142.460
72.319,142.534
72.326,142.612
72.324,142.695
72.314,142.781
72.298,142.868
72.276,142.956
72.249,143.045
72.217,143.132
72.182,143.218
72.143,143.301
72.101,143.379
72.058,143.454
72.013,143.523
71.967,143.588
71.920,143.649
71.871,143.707
71.820,143.763
71.769,143.816
71.716,143.868
71.662,143.919
71.607,143.969
71.551,144.019
71.494,144.070
71.436,144.122
71.377,144.175
71.317,144.228
71.257,144.282
71.196,144.336
71.134,144.391
71.071,144.445
71.007,144.499
70.944,144.553
70.879,144.606
70.814,144.659
70.749,144.711
70.683,144.761
70.616,144.811
70.550,144.860
70.482,144.907
70.414,144.954
70.344,145.000
70.274,145.046
70.202,145.091
70.129,145.135
70.055,145.179
69.980,145.222
69.902,145.265
69.823,145.307
69.742,145.350
69.660,145.392
69.576,145.434
69.491,145.476
69.406,145.517
69.321,145.558
69.236,145.598
69.151,145.638
69.067,145.678
68.984,145.716
68.903,145.755
68.824,145.792
68.746,145.829
68.672,145.865
68.600,145.901
68.530,145.935
68.463,145.969
68.397,146.002
68.332,146.033
68.268,146.064
68.204,146.093
68.139,146.121
68.074,146.147
68.008,146.172
67.940,146.195
67.870,146.217
67.798,146.238
67.724,146.257
67.648,146.275
67.570,146.292
67.491,146.309
67.410,146.325
67.328,146.342
67.244,146.358
67.159,146.374
67.073,146.391
66.986,146.409
66.898,146.427
66.809,146.446
66.720,146.465
66.632,146.482
66.544,146.496
66.458,146.507
66.373,146.514
66.291,146.516
66.212,146.511
66.137,146.499
66.065,146.478
65.997,146.448
65.935,146.408
65.878,146.357
65.826,146.297
65.779,146.229
65.736,146.155
65.698,146.075
65.665,145.991
65.636,145.905
65.610,145.818
65.589,145.731
65.572,145.646
65.558,145.563
65.547,145.486
65.540,145.414
65.535,145.347
65.531,145.285
65.527,145.227
65.523,145.171
65.517,145.118
65.507,145.065
65.494,145.012
65.475,144.958
65.451,144.902
65.421,144.845
65.387,144.785
65.350,144.724
65.312,144.662
65.275,144.598
65.238,144.534
65.205,144.469
65.176,144.403
65.153,144.338
65.137,144.272
65.129,144.206
65.127,144.142
65.130,144.078
65.137,144.017
65.146,143.958
65.156,143.901
65.166,143.849
65.173,143.800
65.178,143.755
65.179,143.715
65.178,143.678
65.176,143.642
65.175,143.605
65.176,143.567
65.179,143.526
65.186,143.481
65.194,143.434
65.203,143.385
65.211,143.333
65.216,143.282
65.217,143.229
65.213,143.178
65.203,143.127
65.190,143.077
65.177,143.029
65.166,142.982
65.161,142.937
65.163,142.894
65.177,142.852
