X,Y
4.005,2.467
4.010,2.461
4.017,2.455
4.025,2.450
4.034,2.444
4.044,2.439
4.055,2.433
4.067,2.428
4.080,2.423
4.094,2.418
4.109,2.413
4.124,2.407
4.139,2.402
4.156,2.397
4.172,2.392
4.189,2.387
4.206,2.382
4.223,2.377
4.240,2.372
4.257,2.366
4.273,2.361
4.290,2.356
4.306,2.350
4.322,2.345
4.338,2.339
4.354,2.334
4.370,2.329
4.385,2.323
4.400,2.318
4.415,2.312
4.430,2.307
4.445,2.301
4.459,2.296
4.474,2.291
4.488,2.285
4.501,2.280
4.515,2.275
4.529,2.270
4.542,2.265
4.555,2.260
4.568,2.255
4.580,2.250
4.593,2.246
4.605,2.241
4.618,2.237
4.630,2.232
4.642,2.228
4.654,2.223
4.667,2.219
4.679,2.215
4.692,2.211
4.704,2.207
4.717,2.203
4.731,2.199
4.744,2.195
4.758,2.191
4.772,2.187
4.787,2.183
4.802,2.179
4.818,2.175
4.834,2.171
4.851,2.167
4.868,2.163
4.885,2.159
4.903,2.155
4.921,2.151
4.939,2.147
4.958,2.143
4.976,2.140
4.995,2.136
5.014,2.133
5.033,2.129
5.052,2.126
5.072,2.123
5.091,2.120
5.110,2.117
5.129,2.114
5.148,2.112
5.167,2.109
5.186,2.107
5.204,2.105
5.222,2.103
5.240,2.101
5.258,2.100
5.275,2.098
5.292,2.097
5.309,2.097
5.325,2.096
5.341,2.095
5.357,2.095
5.373,2.095
5.388,2.096
5.403,2.096
5.418,2.097
5.432,2.098
5.447,2.099
5.461,2.100
5.475,2.102
5.489,2.104
5.503,2.106
5.517,2.108
5.530,2.111
5.544,2.114
5.557,2.117
5.571,2.120
5.584,2.124
5.597,2.128
5.610,2.132
5.623,2.136
5.636,2.141
5.650,2.145
5.663,2.150
5.676,2.154
5.689,2.159
5.702,2.164
5.715,2.169
5.728,2.174
5.741,2.179
5.754,2.184
5.768,2.189
5.781,2.193
5.794,2.198
5.808,2.203
5.821,2.207
5.835,2.212
5.849,2.216
5.863,2.220
5.877,2.224
5.891,2.229
5.905,2.233
5.919,2.237
5.933,2.241
5.947,2.245
5.962,2.249
5.976,2.253
5.991,2.257
6.005,2.261
6.020,2.265
6.035,2.269
6.050,2.274
6.065,2.278
6.080,2.282
6.095,2.287
6.110,2.291
6.125,2.296
6.140,2.300
6.155,2.305
6.171,2.309
6.186,2.314
6.201,2.319
6.217,2.323
6.232,2.327
6.247,2.332
6.263,2.336
6.278,2.340
6.293,2.344
6.308,2.348
6.324,2.351
6.339,2.355
6.354,2.358
6.369,2.361
6.383,2.364
6.398,2.366
6.413,2.369
6.427,2.371
6.442,2.372
6.456,2.374
6.470,2.376
6.484,2.377
6.498,2.378
6.511,2.380
6.525,2.382
6.538,2.383
6.551,2.385
6.563,2.387
6.576,2.389
6.588,2.392
6.600,2.395
6.612,2.398
6.623,2.402
6.635,2.406
6.646,2.411
6.656,2.416
6.667,2.422
6.677,2.428
6.687,2.434
6.696,2.441
6.706,2.448
