X,Y
8.735,3.620
8.746,3.603
8.759,3.586
8.775,3.569
8.794,3.553
8.814,3.537
8.836,3.521
8.860,3.506
8.886,3.491
8.913,3.477
8.942,3.462
8.972,3.448
9.003,3.434
9.035,3.420
9.067,3.406
9.101,3.392
9.135,3.378
9.169,3.364
9.203,3.350
9.238,3.335
9.273,3.321
9.309,3.306
9.344,3.291
9.380,3.276
9.416,3.261
9.453,3.245
9.490,3.229
9.527,3.213
9.565,3.197
9.602,3.181
9.641,3.164
9.680,3.146
9.719,3.129
9.758,3.111
9.798,3.093
9.839,3.074
9.880,3.055
9.921,3.036
9.963,3.016
10.005,2.996
10.048,2.975
10.091,2.954
10.135,2.933
10.179,2.911
10.224,2.888
10.269,2.866
10.314,2.843
10.360,2.819
10.406,2.796
10.452,2.772
10.499,2.747
10.545,2.723
10.592,2.698
10.639,2.674
10.687,2.649
10.734,2.624
10.781,2.599
10.829,2.574
10.876,2.549
10.924,2.523
10.971,2.498
11.018,2.473
11.065,2.448
11.112,2.423
11.159,2.399
11.205,2.374
11.252,2.349
11.298,2.325
11.343,2.301
11.389,2.277
11.434,2.254
11.478,2.231
11.523,2.208
11.566,2.185
11.610,2.163
11.653,2.141
11.695,2.119
11.737,2.097
11.779,2.076
11.820,2.055
11.861,2.034
11.902,2.013
11.942,1.992
11.981,1.972
12.020,1.951
12.059,1.931
12.098,1.911
12.135,1.891
12.173,1.871
12.210,1.851
12.247,1.831
12.283,1.811
12.319,1.791
12.354,1.771
12.389,1.751
12.423,1.731
12.457,1.712
12.491,1.692
12.524,1.672
12.557,1.652
12.589,1.632
12.622,1.612
12.654,1.592
12.685,1.572
12.717,1.552
12.748,1.532
12.780,1.512
12.811,1.493
12.842,1.473
12.873,1.454
12.905,1.434
12.936,1.415
12.967,1.396
12.999,1.377
13.031,1.358
13.063,1.340
13.095,1.321
13.127,1.303
13.160,1.285
13.193,1.267
13.226,1.249
13.260,1.232
13.293,1.215
13.328,1.198
13.362,1.181
13.397,1.164
13.432,1.148
13.467,1.131
13.503,1.115
13.539,1.099
13.575,1.084
13.611,1.068
13.648,1.053
13.685,1.038
13.723,1.023
13.761,1.008
13.799,0.994
13.837,0.979
13.876,0.965
13.915,0.951
13.954,0.937
13.994,0.924
14.034,0.911
14.074,0.898
14.114,0.885
14.154,0.873
14.194,0.861
14.234,0.849
14.275,0.838
14.315,0.827
14.355,0.817
14.395,0.807
14.434,0.797
14.473,0.788
14.512,0.780
14.551,0.772
14.589,0.765
14.627,0.758
14.665,0.752
14.701,0.746
14.738,0.742
14.773,0.737
14.808,0.734
14.843,0.732
14.876,0.730
14.909,0.729
14.940,0.729
14.971,0.730
15.000,0.733
15.028,0.736
15.055,0.741
15.080,0.748
15.104,0.756
15.126,0.765
15.147,0.776
15.166,0.789
15.182,0.803
15.197,0.820
15.210,0.838
15.221,0.858
15.229,0.879
15.235,0.902
15.238,0.926
15.238,0.951
15.235,0.976
15.229,1.002
15.220,1.028
15.207,1.055
15.190,1.081
15.169,1.107
15.145,1.132
15.116,1.157
15.083,1.181
15.046,1.204
15.007,1.227
14.964,1.248
14.920,1.268
14.875,1.287
14.829,1.305
14.783,1.322
14.737,1.337
14.692,1.351
14.648,1.363
14.606,1.375
14.567,1.384
14.531,1.392
14.499,1.399
14.471,1.403
14.448,1.406
14.430,1.407
14.418,1.406
14.413,1.404
14.415,1.399
14.423,1.393
14.438,1.384
14.459,1.375
14.485,1.364
14.516,1.353
14.551,1.341
14.590,1.328
14.632,1.316
14.676,1.303
14.723,1.291
14.771,1.280
14.820,1.269
14.869,1.260
14.918,1.252
14.967,1.245
15.014,1.241
15.059,1.238
15.103,1.238
15.143,1.241
15.180,1.246
15.213,1.255
15.242,1.267
15.266,1.282
15.287,1.299
15.303,1.319
15.316,1.341
15.326,1.365
15.332,1.391
15.335,1.418
15.335,1.446
15.332,1.474
15.326,1.504
15.318,1.534
15.308,1.563
15.295,1.593
15.280,1.621
15.264,1.650
15.247,1.678
15.229,1.705
15.211,1.731
15.193,1.757
15.176,1.782
15.160,1.806
15.145,1.829
15.132,1.851
15.122,1.872
15.115,1.892
15.111,1.911
15.111,1.928
15.115,1.945
15.123,1.960
15.135,1.974
15.150,1.988
15.168,2.000
15.186,2.013
15.206,2.025
15.226,2.038
15.245,2.051
15.263,2.064
15.279,2.078
15.292,2.093
15.301,2.110
15.307,2.127
15.309,2.146
15.308,2.166
15.306,2.187
15.301,2.208
15.295,2.230
15.289,2.253
15.282,2.276
15.276,2.299
15.270,2.323
15.266,2.346
15.263,2.369
15.263,2.392
15.264,2.415
15.266,2.437
15.268,2.459
15.271,2.479
15.272,2.500
15.271,2.519
15.269,2.537
15.263,2.554
15.255,2.570
15.242,2.585
15.224,2.598
15.203,2.610
15.178,2.621
15.152,2.631
15.125,2.640
15.098,2.648
15.071,2.654
15.047,2.660
15.026,2.665
15.008,2.670
14.995,2.674
14.988,2.677
14.988,2.679
14.995,2.682
15.007,2.684
15.024,2.686
15.046,2.689
15.070,2.692
15.097,2.696
15.126,2.701
15.155,2.706
15.184,2.714
15.212,2.722
15.238,2.733
15.261,2.745
15.280,2.760
15.296,2.776
15.309,2.795
15.319,2.815
15.326,2.837
15.332,2.860
15.335,2.884
15.337,2.910
15.337,2.936
15.337,2.963
15.336,2.990
15.334,3.018
15.333,3.047
15.332,3.075
15.332,3.103
15.332,3.131
15.331,3.158
15.330,3.185
15.328,3.212
15.324,3.238
15.319,3.263
15.311,3.287
15.301,3.310
15.287,3.332
15.271,3.353
15.250,3.373
15.225,3.391
15.196,3.408
15.161,3.423
15.122,3.436
15.078,3.448
15.030,3.458
14.979,3.466
14.926,3.474
14.869,3.480
14.811,3.485
14.752,3.489
14.692,3.492
14.631,3.494
14.571,3.495
14.511,3.495
14.452,3.494
14.395,3.493
14.340,3.491
14.288,3.489
14.239,3.486
14.194,3.483
14.153,3.480
14.116,3.477
14.085,3.473
14.060,3.470
14.040,3.466
14.028,3.463
14.022,3.460
14.024,3.457
14.034,3.454
14.050,3.452
14.072,3.450
14.100,3.449
14.133,3.448
14.171,3.447
14.213,3.447
14.258,3.447
14.307,3.448
14.359,3.450
14.412,3.452
14.467,3.454
14.523,3.457
14.580,3.461
14.637,3.466
14.693,3.471
14.749,3.477
14.803,3.483
14.855,3.491
14.904,3.499
14.951,3.508
14.994,3.518
15.032,3.528
15.067,3.540
15.097,3.552
15.123,3.565
15.146,3.579
15.165,3.594
15.182,3.610
15.196,3.626
15.207,3.643
15.217,3.661
15.224,3.679
15.231,3.698
15.236,3.717
15.241,3.737
15.245,3.758
15.249,3.779
15.252,3.800
15.255,3.822
15.258,3.844
15.260,3.867
15.262,3.890
15.263,3.914
15.264,3.937
15.264,3.962
15.264,3.986
15.264,4.011
15.263,4.036
15.262,4.061
15.260,4.086
15.257,4.111
15.253,4.135
15.248,4.158
15.240,4.181
15.231,4.202
15.219,4.222
15.205,4.240
15.188,4.256
15.168,4.270
15.145,4.281
15.118,4.289
15.087,4.295
15.053,4.298
15.017,4.299
14.979,4.297
14.941,4.295
14.902,4.291
14.863,4.285
14.825,4.279
14.788,4.273
14.754,4.267
14.723,4.260
14.695,4.254
14.672,4.249
14.653,4.245
14.640,4.242
14.632,4.241
14.632,4.242
14.638,4.245
14.650,4.249
14.668,4.256
14.690,4.264
14.717,4.274
14.746,4.286
14.778,4.299
14.812,4.314
14.847,4.329
14.882,4.346
14.917,4.364
14.951,4.383
14.983,4.403
15.013,4.423
15.040,4.444
15.063,4.466
15.082,4.488
15.096,4.511
15.106,4.534
15.113,4.557
15.116,4.581
15.115,4.605
15.112,4.629
15.107,4.653
15.099,4.677
15.090,4.702
15.079,4.726
15.068,4.750
15.055,4.775
15.042,4.799
15.028,4.823
15.015,4.846
15.001,4.870
14.986,4.892
14.971,4.914
14.956,4.935
14.940,4.955
14.924,4.974
14.907,4.992
14.890,5.009
14.871,5.024
14.852,5.037
14.832,5.049
14.812,5.059
14.790,5.066
14.768,5.072
14.745,5.077
14.721,5.080
14.697,5.081
14.672,5.081
14.646,5.081
14.620,5.079
14.593,5.077
14.565,5.074
14.537,5.070
14.509,5.067
14.480,5.063
14.451,5.059
14.421,5.055
14.392,5.052
14.363,5.049
14.334,5.047
14.306,5.046
14.280,5.045
14.256,5.046
14.234,5.048
14.214,5.051
14.198,5.056
14.185,5.063
14.176,5.072
14.171,5.083
14.170,5.096
14.173,5.111
14.180,5.128
14.189,5.146
14.201,5.166
14.214,5.187
14.229,5.209
14.245,5.232
14.261,5.256
14.277,5.280
14.293,5.304
14.307,5.329
14.320,5.353
14.330,5.377
14.338,5.401
14.344,5.424
14.348,5.447
14.350,5.469
14.350,5.490
14.348,5.511
14.343,5.530
14.337,5.549
14.329,5.567
14.319,5.584
14.307,5.600
14.293,5.615
14.278,5.629
14.262,5.642
14.245,5.654
14.227,5.666
14.208,5.677
14.190,5.688
14.172,5.698
14.154,5.709
14.137,5.719
14.121,5.730
14.106,5.741
14.093,5.753
14.081,5.764
14.070,5.776
14.060,5.788
14.050,5.800
14.042,5.812
14.033,5.823
14.025,5.835
14.017,5.846
14.008,5.858
14.001,5.869
13.994,5.881
13.988,5.894
13.983,5.908
13.979,5.924
13.977,5.941
13.976,5.960
13.978,5.981
13.981,6.003
13.985,6.028
13.990,6.054
13.996,6.081
14.002,6.109
14.008,6.137
14.014,6.166
14.019,6.195
14.023,6.224
14.026,6.253
14.028,6.281
14.028,6.308
14.026,6.335
14.021,6.359
14.014,6.383
14.004,6.405
13.993,6.426
13.979,6.445
13.963,6.463
13.946,6.480
13.928,6.495
13.908,6.509
13.888,6.522
13.867,6.534
13.845,6.545
13.824,6.555
13.802,6.564
13.780,6.571
13.759,6.578
13.738,6.584
13.716,6.589
13.695,6.592
13.673,6.595
13.652,6.596
13.630,6.597
13.608,6.596
13.585,6.595
13.562,6.592
13.538,6.588
13.514,6.583
13.490,6.577
13.464,6.569
13.439,6.561
13.413,6.552
13.386,6.542
13.359,6.531
13.332,6.519
13.304,6.507
13.276,6.494
13.248,6.481
13.220,6.467
13.191,6.453
13.162,6.439
13.134,6.424
13.105,6.409
13.076,6.394
13.047,6.379
13.018,6.364
12.989,6.349
12.960,6.334
12.931,6.319
12.902,6.304
12.873,6.288
12.843,6.273
12.813,6.257
12.783,6.241
12.753,6.225
12.722,6.209
12.691,6.192
12.660,6.176
12.628,6.159
12.595,6.141
12.562,6.124
12.529,6.106
12.495,6.088
12.460,6.069
12.425,6.050
12.389,6.031
12.353,6.012
12.316,5.992
12.278,5.972
12.240,5.952
12.202,5.931
12.164,5.910
12.125,5.890
12.085,5.868
12.046,5.847
12.006,5.826
11.967,5.805
11.927,5.783
11.887,5.762
11.847,5.740
11.807,5.719
11.767,5.698
11.727,5.676
11.687,5.655
11.648,5.634
11.608,5.613
11.569,5.592
11.530,5.571
11.492,5.550
11.454,5.530
11.416,5.510
11.378,5.490
11.341,5.470
11.305,5.451
11.268,5.432
11.232,5.413
11.196,5.394
11.161,5.375
11.126,5.357
11.091,5.339
11.056,5.321
11.021,5.303
10.987,5.285
10.953,5.268
10.919,5.251
10.886,5.234
10.853,5.218
10.819,5.201
10.786,5.185
10.754,5.169
10.721,5.153
10.689,5.138
10.656,5.123
10.624,5.108
10.592,5.093
10.561,5.078
10.529,5.063
10.498,5.048
10.467,5.033
10.436,5.018
10.405,5.003
10.375,4.987
10.345,4.972
10.315,4.956
10.286,4.939
10.257,4.923
10.228,4.906
10.200,4.888
10.172,4.870
10.144,4.852
10.117,4.832
10.090,4.813
10.064,4.793
10.037,4.772
10.011,4.751
9.985,4.730
9.960,4.710
9.934,4.689
9.908,4.668
9.882,4.648
9.857,4.629
9.831,4.610
9.804,4.592
9.778,4.574
9.751,4.558
9.724,4.543
9.697,4.529
9.669,4.516
9.640,4.505
9.612,4.495
9.582,4.486
9.552,4.479
9.523,4.473
9.493,4.469
9.463,4.465
9.433,4.461
9.404,4.459
9.375,4.457
9.346,4.455
9.318,4.454
9.291,4.453
9.265,4.452
9.240,4.451
9.216,4.450
9.193,4.448
9.172,4.446
9.151,4.443
9.132,4.440
9.113,4.437
9.094,4.433
9.076,4.429
9.058,4.424
9.039,4.419
9.020,4.414
9.001,4.409
8.980,4.403
8.958,4.397
8.936,4.391
8.912,4.384
8.889,4.377
8.865,4.369
8.842,4.360
8.820,4.351
8.799,4.341
8.779,4.329
8.761,4.317
8.746,4.304
8.732,4.289
8.722,4.273
8.715,4.255
8.710,4.237
8.707,4.217
8.707,4.197
8.708,4.177
8.710,4.157
8.713,4.136
8.716,4.117
8.719,4.098
8.722,4.080
8.724,4.063
8.725,4.048
8.726,4.034
8.726,4.020
8.725,4.007
8.725,3.995
8.724,3.982
