X,Y
57.228,26.868
57.408,26.727
57.628,26.613
57.877,26.523
58.146,26.451
58.424,26.393
58.699,26.342
58.962,26.295
59.202,26.246
59.420,26.195
59.624,26.145
59.822,26.098
60.023,26.056
60.235,26.021
60.466,25.997
60.717,25.984
60.983,25.983
61.260,25.994
61.541,26.017
61.821,26.053
62.096,26.101
62.360,26.162
62.609,26.236
62.846,26.323
63.076,26.424
63.306,26.537
63.540,26.663
63.785,26.801
64.044,26.952
64.325,27.116
64.629,27.291
64.955,27.478
65.299,27.673
65.657,27.877
66.027,28.088
66.405,28.304
66.787,28.524
67.171,28.747
67.553,28.972
67.929,29.197
68.297,29.421
68.653,29.642
68.995,29.861
69.326,30.077
69.646,30.290
69.957,30.502
70.262,30.713
70.560,30.923
70.854,31.133
71.145,31.342
71.436,31.553
71.726,31.764
72.018,31.977
72.313,32.192
72.609,32.410
72.908,32.631
73.209,32.856
73.511,33.086
73.816,33.320
74.122,33.561
74.431,33.808
74.741,34.062
75.053,34.324
75.366,34.593
75.681,34.871
75.997,35.155
76.312,35.445
76.628,35.741
76.944,36.041
77.258,36.346
77.571,36.653
77.881,36.963
78.190,37.275
78.496,37.588
78.798,37.901
79.097,38.214
79.392,38.527
79.685,38.840
79.976,39.153
80.266,39.468
80.556,39.784
80.846,40.102
81.138,40.424
81.432,40.748
81.729,41.075
82.029,41.407
82.334,41.744
82.645,42.085
82.961,42.431
83.281,42.781
83.605,43.132
83.931,43.484
84.260,43.835
84.589,44.183
84.918,44.527
85.246,44.866
85.572,45.198
85.895,45.520
86.214,45.833
86.528,46.135
86.836,46.423
87.136,46.698
87.419,46.959
87.678,47.209
87.902,47.448
88.085,47.677
88.217,47.897
88.291,48.109
88.297,48.315
88.228,48.516
88.093,48.714
87.907,48.912
87.683,49.115
87.436,49.326
87.182,49.549
86.935,49.786
86.710,50.042
86.521,50.320
86.374,50.620
86.260,50.935
86.165,51.256
86.079,51.576
85.990,51.887
85.884,52.181
85.752,52.450
85.580,52.687
85.358,52.884
85.081,53.038
84.762,53.158
84.411,53.252
84.041,53.327
83.664,53.394
83.292,53.459
82.936,53.532
82.609,53.620
82.323,53.732
82.088,53.876
