X,Y
72.238,64.717
72.267,64.663
72.304,64.610
72.346,64.559
72.395,64.509
72.449,64.461
72.509,64.414
72.572,64.369
72.639,64.326
72.709,64.285
72.782,64.245
72.857,64.208
72.934,64.172
73.011,64.139
73.089,64.107
73.168,64.078
73.248,64.050
73.329,64.025
73.410,64.002
73.493,63.980
73.577,63.961
73.663,63.944
73.749,63.928
73.838,63.915
73.928,63.903
74.020,63.893
74.113,63.885
74.209,63.879
74.306,63.875
74.406,63.873
74.507,63.872
74.611,63.873
74.717,63.876
74.824,63.880
74.934,63.886
75.045,63.893
75.158,63.902
75.273,63.913
75.389,63.924
75.507,63.937
75.627,63.952
75.748,63.968
75.870,63.984
75.994,64.003
76.120,64.022
76.246,64.042
76.374,64.063
76.503,64.086
76.634,64.109
76.765,64.133
76.897,64.158
77.030,64.185
77.164,64.212
77.298,64.241
77.433,64.271
77.567,64.302
77.702,64.334
77.836,64.368
77.970,64.404
78.104,64.441
78.236,64.480
78.368,64.521
78.499,64.563
78.629,64.607
78.757,64.654
78.884,64.702
79.009,64.752
79.133,64.805
79.254,64.859
79.374,64.916
79.491,64.976
79.605,65.037
79.717,65.102
79.827,65.168
79.933,65.237
80.038,65.307
80.139,65.380
80.238,65.454
80.334,65.530
80.428,65.608
80.519,65.687
80.608,65.767
80.694,65.848
80.777,65.929
80.857,66.012
80.935,66.095
81.011,66.179
81.084,66.263
81.154,66.348
81.221,66.432
81.286,66.516
81.348,66.600
81.408,66.684
81.465,66.767
81.519,66.850
81.569,66.933
81.616,67.016
81.659,67.099
81.697,67.183
81.732,67.266
81.762,67.349
81.787,67.433
81.807,67.518
81.821,67.603
81.830,67.688
81.833,67.775
81.830,67.862
81.821,67.950
81.806,68.038
81.786,68.128
81.761,68.218
81.732,68.308
81.700,68.399
81.666,68.489
81.631,68.580
81.595,68.671
81.558,68.761
81.523,68.851
81.488,68.941
81.456,69.029
81.427,69.117
81.402,69.204
81.381,69.290
81.365,69.375
81.354,69.458
81.347,69.541
81.342,69.621
81.340,69.701
81.337,69.780
81.334,69.857
81.330,69.933
81.322,70.008
81.311,70.082
81.295,70.155
81.272,70.227
81.243,70.297
81.205,70.367
81.159,70.436
81.106,70.503
81.050,70.570
80.993,70.635
80.936,70.700
80.883,70.764
80.836,70.827
80.798,70.890
80.770,70.952
80.755,71.013
80.756,71.073
80.775,71.133
80.814,71.192
80.871,71.251
80.945,71.308
81.032,71.363
81.129,71.417
81.234,71.467
81.343,71.515
81.453,71.559
81.563,71.600
81.669,71.636
81.767,71.667
81.856,71.693
81.933,71.714
81.994,71.728
82.036,71.737
82.058,71.738
82.057,71.732
82.035,71.721
81.994,71.705
81.936,71.686
81.863,71.664
81.777,71.642
81.679,71.619
81.572,71.598
81.458,71.580
81.338,71.565
81.215,71.555
81.090,71.551
80.966,71.554
80.844,71.565
80.726,71.586
80.613,71.617
80.506,71.658
80.406,71.707
80.311,71.765
80.223,71.829
80.141,71.900
80.066,71.978
79.997,72.060
79.936,72.146
79.882,72.237
79.835,72.330
79.795,72.426
79.763,72.523
79.739,72.621
79.723,72.719
79.715,72.816
79.715,72.912
79.724,73.007
79.739,73.100
79.761,73.192
79.789,73.284
79.822,73.375
79.859,73.467
79.900,73.559
79.943,73.651
79.987,73.745
80.033,73.840
80.079,73.937
80.125,74.036
80.169,74.137
80.211,74.241
80.250,74.348
80.285,74.459
80.316,74.573
80.341,74.692
80.362,74.813
80.377,74.937
80.387,75.061
80.394,75.184
80.396,75.305
80.396,75.421
80.392,75.532
80.386,75.635
80.377,75.730
80.367,75.815
80.356,75.888
80.343,75.947
80.330,75.993
80.317,76.022
80.305,76.033
80.293,76.026
80.281,76.000
80.270,75.959
80.259,75.903
80.249,75.833
80.239,75.751
80.228,75.658
80.218,75.556
80.207,75.446
80.196,75.329
80.185,75.208
80.173,75.082
80.160,74.955
80.146,74.826
80.132,74.698
80.117,74.572
80.100,74.449
80.082,74.329
80.061,74.213
80.039,74.103
80.014,73.997
79.987,73.897
79.956,73.803
79.922,73.717
79.883,73.638
79.841,73.567
79.795,73.504
79.743,73.451
79.687,73.407
79.625,73.374
79.558,73.352
79.485,73.341
79.406,73.341
79.322,73.350
79.234,73.367
79.143,73.392
79.048,73.424
78.950,73.460
78.851,73.501
78.749,73.545
78.647,73.592
78.545,73.639
78.442,73.687
78.341,73.734
78.241,73.779
78.142,73.822
78.046,73.860
77.954,73.893
77.864,73.920
77.778,73.942
77.695,73.958
77.615,73.970
77.537,73.977
77.461,73.981
77.387,73.981
77.314,73.979
77.243,73.975
77.171,73.968
77.101,73.961
77.030,73.953
76.958,73.944
76.887,73.936
76.814,73.928
76.742,73.919
76.669,73.910
76.598,73.899
76.527,73.886
76.457,73.871
76.389,73.854
76.322,73.833
76.258,73.808
76.197,73.780
76.138,73.747
76.083,73.709
76.031,73.667
75.981,73.620
75.932,73.569
75.885,73.515
75.839,73.457
75.793,73.398
75.746,73.336
75.698,73.272
75.649,73.208
75.597,73.142
75.543,73.076
75.485,73.010
75.424,72.945
75.358,72.880
75.289,72.816
75.217,72.753
75.142,72.689
75.064,72.627
74.983,72.564
74.901,72.502
74.817,72.439
74.731,72.377
74.645,72.315
74.557,72.253
74.469,72.190
74.381,72.128
74.292,72.065
74.204,72.001
74.117,71.937
74.031,71.873
73.946,71.808
73.863,71.742
73.781,71.676
73.700,71.608
73.621,71.540
73.544,71.471
73.468,71.400
73.395,71.329
73.323,71.256
73.253,71.182
73.186,71.107
73.121,71.030
73.058,70.951
72.997,70.871
72.939,70.789
72.883,70.705
72.830,70.620
72.780,70.532
72.732,70.443
72.686,70.352
72.642,70.260
72.600,70.167
72.559,70.074
72.519,69.980
72.480,69.887
72.441,69.794
72.401,69.702
72.362,69.611
72.322,69.522
72.280,69.434
72.237,69.348
72.193,69.265
72.147,69.185
72.098,69.107
72.046,69.033
71.993,68.963
71.938,68.895
71.883,68.830
71.829,68.767
71.776,68.706
71.726,68.646
71.679,68.588
71.638,68.530
71.601,68.472
71.572,68.415
71.549,68.357
71.536,68.298
71.531,68.238
71.535,68.177
71.547,68.114
71.566,68.051
71.590,67.987
71.618,67.921
71.650,67.855
71.684,67.787
71.719,67.719
71.754,67.650
71.788,67.580
71.820,67.510
71.849,67.438
71.874,67.367
71.897,67.295
71.916,67.222
