Zone Para/Youth Archery Shotgun Primitive Total
1 5 94 151 57 307 2023
2 28 177 241 80 526 2023
3 7 166 264 111 548 2023
4N 13 191 256 121 581 2023
4S 11 139 149 64 363 2023
5 6 267 354 152 779 2023
6 7 61 272 45 385 2023
7 6 335 358 181 880 2023
8 8 312 367 187 874 2023
9 14 570 582 323 1,489 2023
10 15 1,383 675 529 2,602 2023
11 21 1,951 1,460 720 4,152 2023
12 6 130 132 43 311 2023
13 2 298 429 117 846 2023 
14 5 311 428 135 879 2023
1 4 110 139 119 372 2022
2 13 193 234 160 600 2022
3 5 168 283 197 653 2022
4N 14 210 286 148 658 2022
4S 8 158 140 79 385 2022
5 10 262 357 189 818 2022
6 4 51 187 51 293 2022
7 6 217 286 164 673 2022
8 5 308 409 192 914 2022
9 12 599 514 349 1,474 2022
10 12 1,635 560 586 2,793 2022
11 20 2,027 1,385 827 4,259 2022
12 5 104 157 42 308 2022
13 2 236 442 149 829 2022
14 1 265 444 114 824 2022
1 5 116 176 59 356 2021
2 7 203 235 86 531 2021
3 4 171 282 92 549 2021
4N 10 216 239 109 574 2021
4S 3 160 132 69 364 2021
5 7 269 289 142 707 2021
6 1 80 118 31 230 2021
7 6 256 242 108 612 2021
8 2 284 335 132 753 2021
9 7 577 480 256 1,320 2021
10 7 1,380 612 487 2,486 2021
11 16 1,620 1,071 531 3,238 2021
12 6 84 117 37 244 2021
13 3 222 341 101 667 2021
14 2 256 340 137 735 2021
1 6 125 150 71 2020
2 18 201 208 114 2020
3 7 199 264 108 2020
4N 16 216 237 142 2020
4S 5 157 130 75 2020
5 12 290 290 160 2020
6 3 71 120 43 2020
7 6 265 281 155 2020
8 5 309 363 157 2020
9 13 670 471 294 2020
10 7 1,545 709 616 2020
11 28 1,790 1,046 581 2020
12 3 126 122 55 2020
13 1 381 378 162 2020
14 1 310 369 109 2020
1 4 100 135 70 309 2019
2 15 199 192 105 511 2019
3 4 185 239 113 541 2019
4N 10 221 164 131 526 2019
4S 0 139 88 85 312 2019
5 9 269 242 177 697 2019
6 4 48 79 40 171 2019
7 5 272 304 145 726 2019
8 4 297 382 162 845 2019
9 8 519 450 309 1,286 2019
10 8 1,412 610 467 2,497 2019
11 14 1,726 1,062 607 3,409 2019
12 7 101 127 56 291 2019
13 0 443 537 139 1,119 2019
14 2 218 345 86 651 2019
