TOWN,WMU,MALE,FEMALE,TOTAL,HSM,year
ACWORTH,(H1),44,15,59,1.52,2021
ALBANY,(E/F/J1),11,2,13,0.17,2021
ALEXANDRIA,(G2/I1),26,1,27,0.62,2021
ALLENSTOWN,(L),22,15,37,1.83,2021
ALSTEAD,(H1/H2),44,11,55,1.42,2021
ALTON,(J2),98,25,123,1.94,2021
AMHERST,(K/M),49,42,91,2.7,2021
ANDOVER,(G1/I1),25,8,33,0.82,2021
ANTRIM,(H2/I2/K),39,4,43,1.21,2021
ASHLAND,(F/G2/J2),12,1,13,1.16,2021
ATKINSON,(M),30,15,45,4.03,2021
Atkinson & Gilmanton,(A),1,0,1,0.05,2021
AUBURN,(L/M),36,41,77,3.04,2021
BARNSTEAD,(J2),77,43,120,2.82,2021
BARRINGTON,(J2/L),77,50,127,2.74,2021
BARTLETT,(E),16,6,22,0.3,2021
BATH,(D2W),98,49,147,3.9,2021
BEDFORD,(K/L/M),48,34,82,2.51,2021
BELMONT,(J2),54,21,75,2.5,2021
BENNINGTON,(H2/K),13,3,16,1.43,2021
BENTON,(D2E/D2W),8,3,11,0.23,2021
BERLIN,(C1/C2),7,3,10,0.16,2021
BETHLEHEM,(D1/D2W/E),41,1,42,0.46,2021
BOSCAWEN,(I1),23,12,35,1.42,2021
BOW,(I1/K/L),55,27,82,2.93,2021
BRADFORD,(I2),20,4,24,0.68,2021
BRENTWOOD,(L/M),46,43,89,5.3,2021
BRIDGEWATER,(G2),17,1,18,0.84,2021
BRISTOL,(G2/I1),17,5,22,1.31,2021
BROOKFIELD,(J1/J2),18,3,21,0.92,2021
BROOKLINE,(K/M),20,19,39,1.97,2021
CAMBRIDGE,(B/C2),8,0,8,0.16,2021
CAMPTON,(F),30,7,37,0.71,2021
CANAAN,(G1/G2),70,26,96,1.81,2021
CANDIA,(L/M),37,45,82,2.71,2021
CANTERBURY,(I1/J2),62,13,75,1.72,2021
CARROLL,(D1/E),6,1,7,0.14,2021
CENTER_HARBOR,(J1/J2),18,3,21,1.58,2021
CHARLESTOWN,(H1),41,18,59,1.66,2021
CHATHAM,(E),20,2,22,0.39,2021
CHESTER,(M),52,34,86,3.31,2021
CHESTERFIELD,(H2),56,16,72,1.58,2021
CHICHESTER,(J2/L),42,28,70,3.33,2021
CLAREMONT,(H1),55,20,75,1.75,2021
CLARKSVILLE,(A),27,4,31,0.51,2021
COLEBROOK,(A/B),30,4,34,0.84,2021
COLUMBIA,(B),26,2,28,0.46,2021
CONCORD,(I1/J2/K/L),85,37,122,1.92,2021
CONWAY,(E/F/J1),51,16,67,0.96,2021
CORNISH,(H1),64,19,83,1.98,2021
CROYDON,(H1/I2),23,7,30,0.82,2021
DALTON,(D1),13,1,14,0.51,2021
DANBURY,(G1/G2/I1),26,9,35,0.93,2021
DANVILLE,(M),13,13,26,2.24,2021
DEERFIELD,(L),82,60,142,2.79,2021
