id,species,Region,state,County,Town,Locality,Lat,Long,Year
adk2706,Canis latrans,northeast,New York,,,,43.76892512,-75.03562171,2007
adk2798,Canis latrans,northeast,New York,,,,43.90153901,-74.67316508,
adk2801,Canis latrans,northeast,New York,,,,43.90129677,-74.67346526,
adk2833,Canis latrans,northeast,New York,,,,43.93775995,-74.76875792,
adk2845,Canis latrans,northeast,New York,,,,42.79413159,-73.78896444,
adk2853,Canis latrans,northeast,New York,Herkmier,Lost Creek,Lost Creek,43.7806245,-75.02236888,2002
adk2868,Canis latrans,northeast,New York,Herkmier,Lost Creek,Lost Creek,43.78931307,-75.02311786,2002
adk439,Canis latrans,northeast,New York,,,,43.93741496,-74.10040644,
adk483,Canis latrans,northeast,New York,,,,44.70434536,-73.9888616,2006
adk597,Canis latrans,northeast,New York,,,,44.69818744,-73.98173651,
mcz63140,Canis latrans,northeast,Massachusetts,Barnstable,,,41.7307072,-70.474642,2000
mcz63145,Canis latrans,northeast,Massachusetts,Barnstable,"Cummiquid, Route 6A",,41.687129,-70.270606,1999
mcz63343,Canis latrans,northeast,Massachusetts,Essex,Andover,"Andover, 235 Salem St.",42.632525,-71.10982,1999
mcz63344,Canis latrans,northeast,Massachusetts,Barnstable,Barnstable,"Barnstable, Rte. 6 near Exit 5",41.696603,-70.384444,2002
mcz63683,Canis latrans,northeast,Massachusetts,Barnstable,Centerville,"Centerville, Rte 28, 1/4mi. E. of Lumbert Mill Rd.",41.653054,-70.36686,2001
zm13499,Canis latrans,northeast,New York,Otsego,,Within 10 mi. of West Burlington,42.7075,-75.18806,2001
zm13514,Canis latrans,northeast,New York,Columbia,Ghent,"I-87, 1mi SOUTH OF EXIT 8",42.25,-73.5833,2000
zm13580,Canis latrans,northeast,New York,Otsego,,Within 10 mi. of West Burlington,42.7075,-75.18806,2001
zm13615,Canis latrans,northeast,New York,Franklin,Brighton,intersection of Rt. 86 and Rt. 30 at Paul Smith College,44.438048,-74.251511,2001
zm13616,Canis latrans,northeast,New York,Franklin,Santa Clara,Ross Park,44.45343,-74.37572,2000
