X,Y
19.126,33.817
19.200,33.770
19.286,33.734
19.383,33.706
19.489,33.686
19.602,33.671
19.722,33.660
19.845,33.652
19.972,33.646
20.099,33.639
20.227,33.630
20.353,33.620
20.478,33.609
20.602,33.597
20.722,33.584
20.841,33.572
20.955,33.561
21.066,33.550
21.173,33.542
21.276,33.535
21.373,33.530
21.467,33.528
21.560,33.527
21.652,33.528
21.746,33.529
21.843,33.531
21.945,33.533
22.054,33.534
22.171,33.535
22.295,33.535
22.426,33.535
22.562,33.534
22.701,33.533
22.844,33.532
22.987,33.532
23.130,33.531
23.272,33.531
23.411,33.532
23.545,33.533
23.675,33.536
23.799,33.540
23.919,33.545
24.034,33.551
24.146,33.560
24.256,33.570
24.364,33.583
24.472,33.598
24.579,33.616
24.688,33.637
24.798,33.660
24.909,33.686
25.022,33.715
25.135,33.744
25.248,33.775
25.361,33.807
25.473,33.838
25.585,33.870
25.695,33.900
25.804,33.929
25.911,33.957
26.015,33.983
26.117,34.009
26.216,34.035
26.312,34.061
26.405,34.089
26.494,34.117
26.580,34.147
26.661,34.180
26.740,34.215
26.817,34.252
26.895,34.293
26.975,34.337
27.059,34.385
27.147,34.436
27.242,34.492
27.345,34.551
27.454,34.614
27.568,34.680
27.685,34.748
27.804,34.817
27.923,34.887
28.040,34.957
28.154,35.026
28.264,35.094
28.368,35.159
28.464,35.221
28.552,35.281
28.633,35.337
28.709,35.393
28.781,35.447
28.850,35.500
28.919,35.554
28.988,35.609
29.059,35.666
29.131,35.725
29.202,35.787
29.271,35.851
29.336,35.919
29.394,35.990
29.443,36.064
29.481,36.143
29.507,36.227
29.523,36.314
29.528,36.404
29.526,36.497
29.519,36.593
29.508,36.689
29.495,36.787
29.481,36.885
29.469,36.984
29.457,37.082
29.444,37.180
29.430,37.278
29.412,37.376
29.392,37.475
29.366,37.573
29.335,37.672
29.298,37.771
29.255,37.869
29.206,37.968
29.153,38.065
29.095,38.162
29.035,38.257
28.972,38.350
28.907,38.441
28.840,38.529
28.774,38.615
28.707,38.698
28.639,38.779
28.571,38.859
28.503,38.938
28.433,39.017
28.363,39.096
28.291,39.176
28.219,39.258
28.145,39.342
28.070,39.428
27.993,39.514
27.916,39.602
27.837,39.689
27.757,39.776
27.676,39.861
27.593,39.945
27.510,40.026
27.426,40.104
27.341,40.178
27.255,40.249
27.171,40.316
27.088,40.380
27.007,40.440
26.929,40.496
26.855,40.548
26.786,40.597
26.722,40.642
26.662,40.682
26.606,40.716
26.551,40.742
26.495,40.759
26.438,40.765
26.379,40.762
26.318,40.755
26.256,40.750
26.194,40.754
26.134,40.771
26.075,40.805
26.017,40.852
25.958,40.909
25.898,40.971
25.837,41.035
25.772,41.097
25.703,41.152
25.631,41.201
25.555,41.244
25.475,41.283
25.392,41.319
25.307,41.355
25.219,41.391
25.129,41.429
25.037,41.471
24.944,41.516
24.850,41.564
24.756,41.612
24.661,41.662
24.566,41.711
24.472,41.760
24.378,41.806
24.286,41.850
24.194,41.891
24.104,41.929
24.013,41.964
23.922,41.996
23.830,42.025
23.735,42.052
23.638,42.076
23.537,42.097
23.433,42.117
23.326,42.134
23.217,42.148
23.106,42.161
22.995,42.172
22.885,42.182
22.776,42.189
22.670,42.195
22.567,42.200
22.469,42.203
22.374,42.203
22.283,42.197
22.195,42.184
22.109,42.162
22.026,42.129
21.944,42.082
21.864,42.020
21.784,41.943
21.706,41.851
21.629,41.748
21.553,41.634
21.477,41.513
21.404,41.385
21.331,41.254
21.260,41.120
21.190,40.986
21.122,40.853
21.055,40.725
20.990,40.601
20.926,40.483
20.863,40.370
20.802,40.260
20.741,40.153
20.682,40.049
20.624,39.947
20.566,39.847
20.510,39.747
20.453,39.647
20.398,39.546
20.343,39.445
20.289,39.345
20.236,39.246
20.184,39.151
20.135,39.060
20.087,38.973
20.042,38.893
20.000,38.820
19.960,38.754
19.923,38.694
19.888,38.636
19.855,38.579
19.822,38.518
19.790,38.452
19.758,38.378
19.726,38.297
19.693,38.210
19.661,38.120
19.628,38.027
19.595,37.932
19.562,37.837
19.529,37.744
19.495,37.653
19.461,37.563
19.428,37.474
19.396,37.385
19.364,37.295
19.333,37.203
19.304,37.108
19.276,37.009
19.251,36.906
19.226,36.800
19.202,36.693
19.179,36.584
19.155,36.475
19.130,36.368
19.104,36.262
19.076,36.161
19.046,36.063
19.013,35.971
18.978,35.883
18.942,35.798
18.906,35.715
18.871,35.631
18.839,35.547
18.809,35.461
18.784,35.372
18.763,35.279
18.746,35.184
18.735,35.089
18.728,34.995
18.727,34.903
18.730,34.815
18.739,34.732
18.752,34.656
18.770,34.586
18.791,34.520
18.814,34.455
18.839,34.389
18.864,34.320
18.889,34.246
18.914,34.169
18.942,34.090
18.975,34.013
19.015,33.940
19.065,33.874
19.126,33.817
