X,Y
48.467,21.191
48.622,21.118
48.798,21.058
48.993,21.010
49.204,20.971
49.431,20.940
49.672,20.918
49.926,20.902
50.190,20.891
50.463,20.884
50.744,20.881
51.030,20.879
51.321,20.878
51.615,20.876
51.910,20.873
52.204,20.867
52.496,20.857
52.787,20.843
53.074,20.825
53.360,20.805
53.644,20.781
53.925,20.756
54.205,20.728
54.483,20.699
54.759,20.668
55.033,20.637
55.306,20.606
55.578,20.575
55.847,20.544
56.116,20.514
56.383,20.485
56.650,20.458
56.915,20.433
57.179,20.410
57.441,20.390
57.703,20.373
57.962,20.360
58.220,20.350
58.475,20.344
58.727,20.343
58.976,20.347
59.223,20.356
59.466,20.370
59.705,20.390
59.940,20.416
60.171,20.449
60.397,20.488
60.618,20.534
60.834,20.588
61.046,20.648
61.254,20.714
61.458,20.785
61.659,20.860
61.857,20.939
62.054,21.020
62.250,21.102
62.444,21.186
62.639,21.269
62.834,21.351
63.030,21.432
63.227,21.509
63.426,21.584
63.627,21.655
63.829,21.725
64.033,21.793
64.236,21.861
64.440,21.930
64.643,21.999
64.846,22.070
65.048,22.145
65.248,22.222
65.446,22.304
65.642,22.392
65.835,22.485
66.024,22.585
66.210,22.691
66.392,22.803
66.570,22.920
66.742,23.041
66.909,23.166
67.070,23.295
67.224,23.426
67.371,23.560
67.511,23.694
67.643,23.830
67.767,23.966
67.881,24.102
67.988,24.237
68.086,24.375
68.177,24.516
68.261,24.661
68.340,24.812
68.413,24.971
68.481,25.138
68.546,25.315
68.607,25.504
68.666,25.705
68.723,25.921
68.777,26.150
68.828,26.390
68.875,26.639
68.918,26.895
68.955,27.156
68.986,27.420
69.009,27.686
69.025,27.950
69.032,28.211
69.029,28.467
69.017,28.717
68.993,28.957
68.958,29.186
68.910,29.403
68.848,29.604
68.774,29.791
68.687,29.967
68.590,30.131
68.482,30.287
68.364,30.436
68.237,30.579
68.103,30.719
67.961,30.858
67.813,30.996
67.660,31.137
67.502,31.281
67.340,31.430
67.175,31.584
67.007,31.742
66.836,31.902
66.664,32.065
66.490,32.229
66.316,32.392
66.141,32.555
65.967,32.715
65.793,32.873
65.620,33.026
65.449,33.175
65.279,33.318
65.113,33.455
64.949,33.583
64.788,33.705
64.628,33.820
64.469,33.929
64.310,34.033
64.150,34.132
63.988,34.228
63.824,34.320
63.655,34.410
63.483,34.499
63.305,34.586
63.122,34.673
62.932,34.760
62.736,34.847
62.535,34.934
62.330,35.020
62.123,35.106
61.913,35.191
61.702,35.274
61.492,35.356
61.282,35.436
61.073,35.515
60.868,35.591
60.666,35.664
60.469,35.735
60.277,35.803
60.090,35.868
59.907,35.930
59.727,35.988
59.549,36.042
59.373,36.092
59.197,36.139
59.020,36.181
58.841,36.219
58.660,36.252
58.475,36.280
58.286,36.304
58.091,36.322
57.892,36.335
57.689,36.343
57.481,36.345
57.269,36.340
57.054,36.330
56.835,36.313
56.614,36.289
56.390,36.259
56.163,36.221
55.935,36.176
55.705,36.123
55.473,36.063
55.240,35.994
55.008,35.918
54.777,35.834
54.549,35.742
54.325,35.643
54.106,35.536
53.893,35.422
53.688,35.300
53.491,35.171
53.305,35.035
53.130,34.891
52.967,34.741
52.817,34.584
52.683,34.419
52.563,34.249
52.457,34.072
52.362,33.891
52.275,33.706
52.196,33.518
52.120,33.329
52.047,33.138
51.975,32.947
51.900,32.758
51.820,32.570
51.734,32.386
51.640,32.205
51.535,32.029
51.420,31.857
51.296,31.688
51.164,31.521
51.026,31.355
50.884,31.189
50.738,31.022
50.590,30.852
50.442,30.679
50.295,30.502
50.149,30.319
50.008,30.129
49.871,29.932
49.740,29.726
49.617,29.511
49.501,29.288
49.391,29.060
49.287,28.827
49.188,28.592
49.095,28.357
49.006,28.122
48.921,27.890
48.841,27.663
48.763,27.441
48.688,27.228
48.616,27.024
48.546,26.831
48.477,26.651
48.410,26.485
48.344,26.331
48.279,26.186
48.217,26.047
48.158,25.911
48.101,25.775
48.048,25.636
47.999,25.490
47.954,25.335
47.913,25.166
47.878,24.984
47.848,24.790
47.822,24.585
47.801,24.372
47.785,24.152
47.774,23.928
47.767,23.702
47.765,23.476
47.768,23.252
47.775,23.032
47.787,22.818
47.803,22.612
47.824,22.416
47.850,22.231
47.883,22.058
47.925,21.897
47.977,21.748
48.043,21.611
48.122,21.486
48.218,21.375
48.333,21.276
48.467,21.191
