X	Y
8.472	4.841
8.483	4.828
8.495	4.816
8.509	4.805
8.524	4.795
8.541	4.786
8.560	4.777
8.579	4.769
8.601	4.762
8.623	4.755
8.648	4.747
8.673	4.740
8.700	4.733
8.728	4.726
8.757	4.718
8.788	4.709
8.819	4.701
8.852	4.692
8.885	4.683
8.919	4.674
8.953	4.665
8.988	4.656
9.023	4.647
9.059	4.637
9.094	4.628
9.130	4.619
9.165	4.610
9.201	4.601
9.236	4.593
9.270	4.584
9.304	4.576
9.337	4.569
9.370	4.561
9.401	4.555
9.432	4.548
9.462	4.542
9.490	4.537
9.518	4.531
9.546	4.526
9.573	4.521
9.599	4.517
9.626	4.512
9.652	4.507
9.678	4.502
9.704	4.497
9.730	4.492
9.757	4.486
9.784	4.480
9.811	4.473
9.839	4.466
9.867	4.459
9.897	4.450
9.926	4.442
9.957	4.432
9.988	4.423
10.020	4.412
10.052	4.402
10.084	4.391
10.117	4.380
10.151	4.368
10.184	4.356
10.218	4.345
10.252	4.333
10.286	4.320
10.320	4.308
10.354	4.296
10.388	4.284
10.422	4.272
10.455	4.260
10.489	4.248
10.522	4.236
10.555	4.225
10.588	4.213
10.621	4.202
10.653	4.192
10.685	4.181
10.717	4.171
10.749	4.160
10.781	4.150
10.812	4.140
10.844	4.130
10.875	4.120
10.907	4.110
10.938	4.100
10.970	4.090
11.002	4.080
11.034	4.070
11.065	4.060
11.098	4.050
11.130	4.040
11.162	4.030
11.195	4.019
11.228	4.009
11.261	3.998
11.294	3.988
11.328	3.977
11.361	3.966
11.394	3.956
11.427	3.945
11.460	3.934
11.493	3.923
11.526	3.912
11.558	3.901
11.590	3.890
11.621	3.879
11.653	3.868
11.683	3.857
11.713	3.846
11.743	3.835
11.772	3.824
11.800	3.813
11.828	3.803
11.855	3.792
11.881	3.781
11.907	3.771
11.932	3.760
11.957	3.750
11.982	3.740
12.006	3.730
12.030	3.720
12.054	3.711
12.077	3.701
12.101	3.692
12.124	3.683
12.148	3.674
12.171	3.666
12.195	3.658
12.219	3.650
12.243	3.643
12.268	3.635
12.292	3.628
12.317	3.621
12.342	3.615
12.367	3.608
12.393	3.602
12.419	3.596
12.446	3.590
12.473	3.584
12.500	3.578
12.528	3.572
12.556	3.567
12.584	3.561
12.613	3.555
12.643	3.550
12.673	3.544
12.704	3.539
12.734	3.534
12.765	3.529
12.797	3.524
12.828	3.519
12.860	3.515
12.892	3.511
12.923	3.507
12.955	3.504
12.987	3.502
13.019	3.499
13.050	3.498
13.082	3.497
13.113	3.496
13.144	3.497
13.174	3.498
13.204	3.499
13.234	3.502
13.263	3.504
13.293	3.508
13.321	3.511
13.350	3.516
13.378	3.520
13.406	3.524
13.434	3.529
13.462	3.533
13.489	3.538
13.517	3.542
13.544	3.547
13.571	3.551
13.598	3.554
13.625	3.557
13.651	3.560
13.678	3.562
13.705	3.564
13.731	3.565
13.758	3.566
13.784	3.566
13.811	3.566
13.837	3.567
13.864	3.567
13.890	3.567
13.916	3.567
13.942	3.567
13.968	3.567
13.994	3.567
14.020	3.568
14.046	3.569
14.072	3.570
14.098	3.572
14.124	3.575
14.149	3.578
14.174	3.581
14.198	3.585
14.221	3.590
14.244	3.596
14.266	3.603
14.287	3.611
14.307	3.620
14.326	3.629
14.344	3.640
14.360	3.652
14.375	3.666
14.389	3.680
14.402	3.696
14.413	3.712
14.424	3.729
14.434	3.746
14.443	3.764
14.452	3.782
14.461	3.800
14.469	3.818
14.477	3.836
14.486	3.853
14.494	3.870
14.502	3.887
14.510	3.903
14.517	3.919
14.524	3.935
14.530	3.951
14.535	3.966
14.539	3.982
14.542	3.998
14.544	4.014
14.544	4.030
14.542	4.047
14.540	4.064
14.536	4.081
14.532	4.099
14.526	4.117
14.520	4.136
14.514	4.155
14.507	4.175
14.499	4.195
14.492	4.217
14.484	4.239
14.477	4.261
14.469	4.284
14.461	4.308
14.453	4.331
14.445	4.354
14.437	4.377
14.428	4.400
14.419	4.422
14.409	4.443
14.399	4.463
14.389	4.483
14.378	4.501
14.366	4.517
14.354	4.532
14.342	4.546
14.330	4.559
14.318	4.572
14.308	4.584
14.298	4.597
14.289	4.610
14.283	4.623
14.278	4.638
14.276	4.654
14.276	4.671
14.278	4.690
14.281	4.709
14.285	4.728
14.288	4.748
14.292	4.768
14.294	4.788
14.295	4.807
14.294	4.825
14.290	4.843
14.284	4.858
14.274	4.873
14.261	4.886
14.245	4.898
14.227	4.909
14.207	4.919
14.185	4.928
14.162	4.938
14.138	4.946
14.112	4.955
14.086	4.964
14.060	4.973
14.034	4.982
14.008	4.992
13.983	5.002
13.958	5.013
13.934	5.025
13.910	5.037
13.887	5.049
13.864	5.061
13.841	5.074
13.819	5.086
13.796	5.098
13.773	5.109
13.750	5.120
13.727	5.130
13.704	5.140
13.680	5.148
13.656	5.155
13.631	5.161
13.605	5.166
13.579	5.169
13.552	5.172
13.525	5.173
13.497	5.173
13.469	5.173
13.440	5.171
13.411	5.169
13.382	5.166
13.352	5.163
13.321	5.159
13.291	5.154
13.260	5.149
13.229	5.144
13.197	5.139
13.165	5.133
13.133	5.127
13.101	5.122
13.069	5.116
13.037	5.110
13.004	5.104
12.972	5.099
12.940	5.093
12.908	5.087
12.876	5.081
12.844	5.075
12.813	5.069
12.781	5.063
12.751	5.057
12.720	5.051
12.690	5.044
12.661	5.038
12.632	5.032
12.604	5.025
12.576	5.018
12.549	5.012
12.523	5.005
12.497	4.998
12.472	4.991
12.448	4.985
12.424	4.978
12.401	4.972
12.377	4.965
12.354	4.960
12.332	4.954
12.310	4.949
12.287	4.944
12.265	4.940
12.243	4.936
12.221	4.933
12.199	4.930
12.177	4.928
12.154	4.927
12.131	4.926
12.108	4.925
12.085	4.925
12.061	4.925
12.036	4.925
12.011	4.926
11.985	4.927
11.959	4.928
11.931	4.930
11.903	4.931
11.874	4.932
11.843	4.934
11.812	4.936
11.779	4.937
11.746	4.939
11.712	4.940
11.677	4.942
11.642	4.943
11.606	4.945
11.570	4.947
11.533	4.949
11.496	4.950
11.459	4.952
11.422	4.954
11.385	4.956
11.348	4.958
11.311	4.961
11.275	4.963
11.239	4.965
11.203	4.968
11.168	4.970
11.134	4.973
11.100	4.976
11.068	4.979
11.036	4.982
11.004	4.985
10.973	4.988
10.943	4.992
10.913	4.995
10.884	4.999
10.855	5.003
10.826	5.007
10.797	5.011
10.769	5.015
10.741	5.020
10.712	5.025
10.684	5.030
10.656	5.035
10.628	5.040
10.599	5.045
10.570	5.051
10.541	5.057
10.512	5.063
10.482	5.069
10.453	5.075
10.423	5.081
10.393	5.088
10.363	5.094
10.333	5.101
10.302	5.107
10.272	5.114
10.242	5.120
10.211	5.127
10.181	5.133
10.150	5.139
10.120	5.146
10.089	5.152
10.059	5.157
10.029	5.163
9.999	5.169
9.969	5.174
9.939	5.179
9.909	5.185
9.879	5.190
9.849	5.194
9.819	5.199
9.790	5.204
9.760	5.208
9.731	5.213
9.701	5.217
9.672	5.221
9.643	5.225
9.614	5.229
9.585	5.233
9.556	5.237
9.527	5.241
9.498	5.245
9.469	5.249
9.440	5.253
9.412	5.257
9.383	5.260
9.355	5.264
9.326	5.268
9.298	5.271
9.269	5.275
9.240	5.278
9.212	5.282
9.183	5.285
9.154	5.289
9.125	5.292
9.096	5.296
9.067	5.299
9.038	5.302
9.009	5.306
8.979	5.309
8.950	5.312
8.921	5.314
