X,Y
340.000,173.000
340.983,171.487
342.478,170.086
344.420,168.789
346.747,167.590
349.394,166.481
352.299,165.456
355.397,164.507
358.626,163.627
361.921,162.809
365.221,162.047
368.460,161.333
371.577,160.660
374.552,160.024
377.404,159.419
380.152,158.843
382.818,158.292
385.423,157.763
387.985,157.252
390.527,156.755
393.068,156.270
395.630,155.791
398.232,155.316
400.895,154.842
403.626,154.368
406.412,153.900
409.240,153.444
412.095,153.008
414.963,152.597
417.828,152.217
420.678,151.875
423.497,151.577
426.270,151.330
428.985,151.140
431.626,151.013
434.182,150.952
436.660,150.942
439.074,150.960
441.439,150.982
443.768,150.985
446.076,150.948
448.376,150.846
450.684,150.656
453.013,150.355
455.378,149.921
457.784,149.344
460.221,148.645
462.672,147.853
465.123,146.995
467.560,146.098
469.965,145.191
472.326,144.300
474.626,143.454
476.851,142.679
478.986,142.004
481.022,141.449
482.982,141.009
484.893,140.668
486.785,140.415
488.686,140.235
490.626,140.115
492.633,140.043
494.735,140.003
496.956,139.984
499.284,139.974
501.695,139.964
504.167,139.942
506.675,139.899
509.196,139.825
511.707,139.709
514.182,139.541
516.600,139.312
518.937,139.010
521.174,138.630
523.325,138.186
525.409,137.697
527.446,137.183
529.457,136.662
531.460,136.155
533.475,135.680
535.523,135.257
537.623,134.905
539.783,134.632
541.991,134.429
544.230,134.284
546.488,134.185
548.748,134.122
550.997,134.082
553.219,134.054
555.400,134.027
557.524,133.989
559.583,133.940
561.573,133.905
563.495,133.908
565.348,133.976
567.131,134.135
568.844,134.411
570.486,134.830
572.058,135.416
573.564,136.163
575.017,137.049
576.425,138.051
577.799,139.147
579.151,140.313
580.489,141.527
581.818,142.764
583.069,143.974
584.115,145.088
584.830,146.037
585.084,146.753
584.757,147.169
583.852,147.301
582.496,147.245
580.821,147.098
578.961,146.961
577.047,146.932
575.210,147.108
573.505,147.512
571.901,148.085
570.363,148.762
568.852,149.478
567.333,150.168
565.769,150.766
564.125,151.211
562.386,151.486
560.557,151.616
558.644,151.630
556.651,151.556
554.585,151.422
552.451,151.256
550.254,151.086
548.000,150.940
545.698,150.832
543.360,150.759
541.000,150.718
538.630,150.708
536.263,150.724
533.912,150.763
531.591,150.824
529.310,150.903
527.085,150.996
524.922,151.102
522.808,151.216
520.721,151.336
518.642,151.460
516.551,151.583
514.427,151.702
512.249,151.816
509.997,151.920
507.652,152.013
505.204,152.091
502.676,152.161
500.097,152.227
497.493,152.294
494.893,152.367
492.325,152.452
489.816,152.553
487.395,152.676
485.088,152.826
482.924,153.007
480.920,153.224
479.049,153.470
477.279,153.739
475.574,154.025
473.902,154.321
472.226,154.620
470.514,154.915
468.734,155.200
466.877,155.474
464.949,155.735
462.957,155.985
460.905,156.223
458.801,156.450
456.649,156.666
454.456,156.871
452.228,157.066
449.973,157.249
447.703,157.419
445.429,157.572
443.165,157.706
440.921,157.818
438.710,157.905
436.544,157.966
434.435,157.997
432.394,157.996
430.426,157.966
428.519,157.921
426.661,157.875
424.839,157.842
423.041,157.836
421.255,157.872
419.469,157.965
417.668,158.126
415.839,158.355
413.962,158.641
412.021,158.976
409.997,159.350
407.874,159.753
405.632,160.177
403.256,160.611
400.726,161.046
398.057,161.474
395.350,161.891
392.726,162.294
390.303,162.680
388.199,163.045
386.535,163.387
385.430,163.702
385.001,163.987
385.328,164.239
386.290,164.460
387.713,164.651
389.421,164.814
391.239,164.950
393.000,165.061
394.650,165.146
396.232,165.200
397.790,165.219
399.368,165.197
401.013,165.132
402.768,165.018
404.670,164.853
406.705,164.645
408.843,164.406
411.052,164.148
413.302,163.883
415.561,163.623
417.798,163.380
419.981,163.166
422.081,162.994
424.075,162.872
425.971,162.798
427.788,162.766
429.541,162.773
431.248,162.813
432.925,162.882
434.589,162.974
436.255,163.086
437.936,163.225
439.641,163.400
441.378,163.625
443.158,163.910
444.988,164.266
446.878,164.705
448.837,165.237
450.866,165.858
452.955,166.545
455.094,167.271
457.273,168.012
459.482,168.744
461.711,169.441
463.950,170.078
466.188,170.631
468.417,171.074
470.629,171.395
472.829,171.611
475.022,171.745
477.213,171.818
479.408,171.851
481.611,171.866
483.829,171.884
486.065,171.927
488.326,172.017
490.611,172.167
492.902,172.378
495.180,172.644
497.426,172.960
499.620,173.323
501.742,173.727
503.774,174.168
505.695,174.641
507.487,175.143
509.147,175.663
510.707,176.184
512.200,176.689
513.660,177.160
515.121,177.578
516.616,177.926
518.174,178.188
519.784,178.377
521.413,178.515
523.028,178.629
524.595,178.744
526.082,178.883
527.456,179.072
528.725,179.322
529.959,179.628
531.232,179.981
532.617,180.373
534.190,180.796
536.021,181.243
538.091,181.719
540.307,182.239
542.569,182.820
544.781,183.479
546.842,184.231
548.657,185.095
550.126,186.086
551.151,187.220
551.681,188.458
551.769,189.632
551.486,190.553
550.901,191.035
550.080,190.982
549.072,190.545
547.928,189.915
546.695,189.281
545.423,188.829
544.128,188.628
542.798,188.614
541.414,188.716
539.962,188.862
538.423,188.982
536.786,189.010
535.068,188.941
533.302,188.800
531.521,188.614
529.760,188.407
528.052,188.207
526.430,188.038
524.926,187.924
523.532,187.869
522.223,187.862
520.973,187.893
519.756,187.952
518.545,188.031
517.329,188.133
516.114,188.276
514.907,188.482
513.715,188.773
512.547,189.168
511.398,189.649
510.249,190.146
509.080,190.588
507.871,190.899
506.602,191.008
505.267,190.889
503.886,190.592
502.480,190.177
501.070,189.700
499.678,189.221
498.323,188.795
497.001,188.438
495.685,188.121
494.343,187.816
492.946,187.493
491.465,187.124
489.872,186.682
488.173,186.173
486.389,185.619
484.545,185.044
482.663,184.471
480.766,183.925
478.878,183.428
477.021,183.004
475.214,182.668
473.454,182.400
471.734,182.169
470.046,181.946
468.383,181.701
466.736,181.404
465.099,181.026
463.467,180.548
461.850,180.003
460.260,179.438
458.713,178.904
457.222,178.447
455.801,178.116
454.464,177.959
453.206,177.964
452.002,178.047
450.825,178.118
449.647,178.089
448.443,177.873
447.196,177.457
445.900,176.907
444.552,176.298
443.147,175.699
441.680,175.185
440.148,174.823
438.551,174.628
436.897,174.568
435.191,174.605
433.440,174.706
431.651,174.835
429.829,174.957
427.981,175.038
426.106,175.069
424.194,175.063
422.238,175.034
420.229,174.995
418.159,174.960
416.018,174.943
413.799,174.958
411.493,175.017
409.099,175.129
406.636,175.285
404.123,175.476
401.579,175.692
399.025,175.926
396.480,176.166
393.964,176.405
391.496,176.632
389.096,176.839
386.784,177.015
384.570,177.155
382.431,177.256
380.341,177.321
378.273,177.348
376.200,177.340
374.094,177.296
371.929,177.216
369.677,177.102
367.311,176.954
364.857,176.784
362.429,176.620
360.150,176.494
358.144,176.437
356.535,176.482
355.445,176.659
355.000,176.999
355.286,177.525
356.247,178.218
357.788,179.048
359.817,179.988
362.240,181.009
364.964,182.083
367.895,183.180
370.940,184.272
374.006,185.331
376.999,186.329
379.871,187.252
382.639,188.110
385.324,188.915
387.951,189.679
390.541,190.414
393.117,191.131
395.702,191.844
398.318,192.563
400.988,193.300
403.734,194.068
406.580,194.879
409.543,195.741
412.615,196.654
415.778,197.611
419.015,198.605
422.305,199.629
425.632,200.677
428.977,201.742
432.322,202.818
435.647,203.897
438.936,204.974
442.169,206.041
445.329,207.092
448.397,208.121
451.355,209.120
454.188,210.088
456.890,211.034
459.456,211.970
461.882,212.908
464.165,213.859
466.299,214.835
468.281,215.849
470.106,216.911
471.769,218.034
473.267,219.229
474.583,220.487
475.668,221.745
476.474,222.934
476.948,223.987
477.040,224.835
476.710,225.418
476.000,225.763
474.998,225.936
473.789,226.008
472.446,226.023
471.005,225.978
469.497,225.862
467.952,225.662
466.401,225.366
464.873,224.962
463.391,224.444
461.939,223.823
460.500,223.114
459.053,222.333
457.579,221.494
456.060,220.611
454.475,219.701
452.815,218.776
451.088,217.850
449.303,216.934
447.468,216.040
445.591,215.181
443.681,214.368
441.747,213.615
439.798,212.933
437.840,212.328
435.878,211.788
433.914,211.298
431.954,210.842
429.998,210.405
428.052,209.971
426.118,209.525
424.199,209.052
422.299,208.539
420.420,207.995
418.563,207.436
416.731,206.876
