X,Y
355.000,166.000
355.889,164.335
356.836,162.762
357.845,161.272
358.922,159.854
360.071,158.500
361.299,157.199
362.610,155.940
364.009,154.715
365.503,153.514
367.095,152.325
368.792,151.140
370.597,149.951
372.503,148.755
374.502,147.554
376.584,146.351
378.738,145.146
380.956,143.942
383.229,142.739
385.545,141.540
387.896,140.347
390.273,139.160
392.665,137.981
395.063,136.813
397.458,135.656
399.840,134.512
402.199,133.383
404.527,132.270
406.823,131.172
409.093,130.086
411.343,129.008
413.578,127.936
415.805,126.866
418.029,125.794
420.256,124.718
422.491,123.635
424.740,122.541
427.009,121.433
429.305,120.308
431.631,119.162
433.995,117.993
436.401,116.797
438.857,115.572
441.361,114.315
443.909,113.028
446.492,111.714
449.104,110.374
451.737,109.010
454.384,107.623
457.038,106.215
459.692,104.789
462.339,103.345
464.971,101.887
467.582,100.415
470.165,98.931
472.711,97.438
475.215,95.936
477.668,94.428
480.064,92.916
482.396,91.401
484.656,89.885
486.849,88.369
488.982,86.856
491.061,85.345
493.094,83.840
495.089,82.340
497.052,80.847
498.992,79.363
500.916,77.889
502.831,76.426
504.744,74.975
506.663,73.538
508.595,72.116
510.548,70.711
512.529,69.324
514.545,67.955
516.595,66.606
518.678,65.274
520.790,63.960
522.929,62.663
525.091,61.381
527.274,60.115
529.474,58.863
531.690,57.625
533.919,56.400
536.156,55.188
538.400,53.986
540.648,52.796
542.897,51.616
545.143,50.445
547.385,49.283
549.622,48.131
551.855,46.995
554.086,45.878
556.315,44.785
558.545,43.719
560.775,42.684
563.008,41.685
565.246,40.727
567.488,39.812
569.737,38.946
571.993,38.132
574.259,37.375
576.534,36.678
578.822,36.046
581.121,35.482
583.430,34.982
585.745,34.541
588.060,34.153
590.373,33.812
592.680,33.514
594.976,33.252
597.257,33.020
599.520,32.814
601.761,32.627
603.975,32.455
606.158,32.291
608.307,32.130
610.418,31.967
612.484,31.804
614.493,31.661
616.434,31.562
618.293,31.531
620.059,31.589
621.718,31.761
623.259,32.069
624.669,32.536
625.935,33.187
627.046,34.043
627.994,35.119
628.797,36.401
629.475,37.867
630.049,39.495
630.540,41.264
630.969,43.152
631.358,45.138
631.726,47.201
632.095,49.318
632.486,51.468
632.920,53.629
633.414,55.783
