X,Y
29.280,18.788
29.197,18.575
29.062,18.382
28.914,18.208
28.790,18.053
28.710,17.916
28.636,17.789
28.517,17.663
28.324,17.533
28.088,17.398
27.845,17.262
27.632,17.126
27.481,16.992
27.379,16.854
27.285,16.703
27.155,16.529
26.969,16.332
26.743,16.120
26.495,15.905
26.243,15.698
26.006,15.510
25.797,15.347
25.614,15.204
25.448,15.066
25.290,14.920
25.131,14.755
24.970,14.572
24.807,14.376
24.642,14.176
24.477,13.976
24.312,13.782
24.148,13.592
23.986,13.405
23.826,13.218
23.669,13.031
23.512,12.844
23.352,12.654
23.185,12.462
23.008,12.268
22.819,12.072
22.622,11.874
22.421,11.677
22.221,11.482
22.026,11.291
21.835,11.104
21.643,10.922
21.443,10.747
21.229,10.579
20.995,10.419
20.745,10.265
20.496,10.116
20.266,9.969
20.073,9.821
19.932,9.671
19.831,9.520
19.732,9.373
19.600,9.235
19.417,9.110
19.202,8.994
18.980,8.884
18.775,8.777
18.602,8.669
18.456,8.559
18.329,8.446
18.211,8.328
18.094,8.208
17.972,8.087
17.840,7.970
17.696,7.857
17.543,7.749
17.382,7.647
17.215,7.548
17.043,7.448
16.868,7.341
16.692,7.223
16.507,7.099
16.306,6.978
16.079,6.869
15.820,6.782
15.538,6.716
15.256,6.666
14.997,6.627
14.784,6.592
14.632,6.556
14.506,6.511
14.354,6.449
14.147,6.369
13.902,6.280
13.638,6.193
13.377,6.119
13.139,6.068
12.923,6.036
12.715,6.012
12.502,5.986
12.272,5.948
12.026,5.897
11.774,5.839
11.526,5.778
11.291,5.721
11.072,5.670
10.861,5.633
10.648,5.613
10.422,5.615
10.181,5.639
9.931,5.674
9.678,5.709
9.432,5.732
9.198,5.735
8.983,5.726
8.792,5.723
8.630,5.740
8.493,5.784
8.358,5.837
8.200,5.877
8.013,5.905
7.804,5.933
7.581,5.974
7.353,6.040
7.130,6.126
6.921,6.225
6.737,6.327
6.583,6.426
6.439,6.512
6.278,6.575
6.073,6.608
5.854,6.628
5.677,6.664
5.598,6.747
5.639,6.886
5.764,7.068
5.938,7.274
6.124,7.487
6.314,7.705
6.511,7.926
6.715,8.153
6.929,8.385
7.156,8.624
7.394,8.870
7.633,9.127
7.866,9.394
8.082,9.674
8.274,9.968
8.431,10.279
8.550,10.606
8.634,10.946
8.692,11.296
8.730,11.652
8.757,12.008
8.779,12.362
8.803,12.710
8.832,13.049
8.868,13.377
8.912,13.692
8.965,13.992
9.028,14.275
9.102,14.541
9.182,14.796
9.263,15.044
9.340,15.294
9.408,15.551
9.464,15.818
9.512,16.093
9.556,16.368
9.602,16.641
9.652,16.904
9.711,17.157
9.782,17.400
9.867,17.636
9.970,17.866
10.091,18.093
10.225,18.319
10.363,18.547
10.494,18.779
10.609,19.019
10.700,19.267
10.774,19.517
10.845,19.763
10.923,19.996
11.020,20.209
11.138,20.401
11.267,20.580
11.396,20.756
11.514,20.936
11.623,21.119
11.742,21.289
11.893,21.432
12.094,21.533
12.345,21.591
12.632,21.616
12.943,21.617
13.265,21.603
13.583,21.584
13.891,21.567
14.186,21.556
14.467,21.557
14.730,21.574
14.976,21.611
15.205,21.668
15.427,21.732
15.653,21.795
15.892,21.843
16.149,21.870
16.421,21.878
16.701,21.872
16.983,21.856
17.261,21.833
17.532,21.807
17.800,21.781
18.068,21.755
18.343,21.731
18.628,21.710
18.925,21.695
19.228,21.686
19.531,21.685
19.829,21.694
20.116,21.715
20.387,21.747
20.647,21.784
20.901,21.817
21.156,21.837
21.417,21.835
21.686,21.809
21.956,21.772
22.219,21.736
22.467,21.716
22.692,21.725
22.901,21.758
23.108,21.800
23.331,21.832
23.585,21.838
23.867,21.819
24.165,21.786
24.464,21.750
24.749,21.723
25.006,21.716
25.237,21.732
25.457,21.765
25.684,21.806
25.935,21.849
26.217,21.888
26.523,21.921
26.843,21.945
27.167,21.959
27.485,21.962
27.787,21.951
28.067,21.928
28.318,21.898
28.535,21.864
28.712,21.829
28.842,21.787
28.916,21.711
28.934,21.584
28.922,21.430
28.910,21.281
28.910,21.143
28.914,20.998
28.913,20.828
28.911,20.640
28.912,20.449
28.921,20.266
28.944,20.090
28.987,19.910
29.056,19.711
29.147,19.490
29.233,19.255
29.286,19.018
29.280,18.788
