X,Y
260.000,163.667
261.440,162.611
263.244,162.169
265.306,162.151
267.521,162.372
269.783,162.645
272.001,162.809
274.156,162.855
276.257,162.824
278.310,162.754
280.323,162.687
282.303,162.661
284.265,162.689
286.230,162.755
288.218,162.844
290.252,162.939
292.352,163.026
294.526,163.095
296.763,163.152
299.048,163.201
301.369,163.249
303.710,163.301
306.060,163.363
308.405,163.442
310.737,163.552
313.047,163.702
315.326,163.905
317.565,164.172
319.755,164.515
321.889,164.937
323.964,165.438
325.977,166.015
327.922,166.666
329.798,167.387
331.602,168.179
333.335,169.044
335.003,169.987
336.609,171.010
338.157,172.118
339.647,173.314
341.071,174.595
342.420,175.959
343.685,177.404
344.855,178.926
345.919,180.519
346.863,182.168
347.672,183.856
348.331,185.566
348.823,187.282
349.132,188.994
349.233,190.709
349.103,192.433
348.716,194.171
348.060,195.922
347.169,197.643
346.095,199.276
344.892,200.764
343.610,202.051
342.288,203.107
340.913,204.003
339.462,204.828
337.914,205.676
336.245,206.629
334.457,207.692
332.566,208.811
330.587,209.931
328.538,210.998
326.433,211.958
324.290,212.766
322.122,213.419
319.944,213.928
317.770,214.303
315.613,214.553
313.489,214.690
311.407,214.717
309.370,214.632
307.381,214.426
305.440,214.096
303.550,213.634
301.708,213.043
299.895,212.352
298.085,211.596
296.257,210.808
294.388,210.022
292.460,209.265
290.491,208.520
288.506,207.764
286.529,206.969
284.586,206.112
282.702,205.166
280.893,204.126
279.169,203.005
277.537,201.815
276.009,200.569
274.591,199.280
273.277,197.945
272.035,196.538
270.829,195.027
269.622,193.382
268.379,191.573
267.088,189.611
265.779,187.592
264.492,185.623
263.265,183.808
262.135,182.255
261.140,181.057
260.291,180.095
259.577,179.058
258.988,177.627
258.524,175.588
258.235,173.101
258.179,170.416
258.415,167.782
259.002,165.449
260.000,163.667
