X,Y
25.500,19.037
25.629,18.911
25.772,18.791
25.926,18.675
26.088,18.565
26.254,18.460
26.420,18.362
26.582,18.270
26.737,18.185
26.881,18.106
27.011,18.035
27.124,17.972
27.216,17.916
27.294,17.868
27.364,17.829
27.432,17.799
27.504,17.777
27.586,17.765
27.679,17.760
27.781,17.763
27.893,17.772
28.012,17.786
28.139,17.803
28.271,17.824
28.407,17.846
28.549,17.869
28.695,17.895
28.846,17.922
29.002,17.951
29.162,17.982
29.326,18.015
29.496,18.051
29.670,18.089
29.848,18.129
30.031,18.172
30.218,18.217
30.408,18.264
30.601,18.313
30.798,18.364
30.996,18.417
31.196,18.471
31.398,18.526
31.600,18.582
31.803,18.638
32.006,18.695
32.208,18.753
32.409,18.811
32.609,18.868
32.808,18.926
33.007,18.985
33.205,19.044
33.403,19.104
33.601,19.164
33.799,19.226
33.997,19.290
34.197,19.354
34.397,19.421
34.598,19.489
34.801,19.560
35.005,19.632
35.211,19.707
35.418,19.783
35.626,19.861
35.836,19.940
36.047,20.019
36.258,20.099
36.471,20.178
36.684,20.257
36.897,20.335
37.111,20.412
37.325,20.487
37.539,20.560
37.753,20.631
37.967,20.699
38.180,20.764
38.391,20.828
38.599,20.890
38.803,20.952
39.003,21.013
39.197,21.075
39.385,21.138
39.565,21.203
39.737,21.269
39.900,21.339
40.052,21.412
40.193,21.489
40.323,21.570
40.443,21.655
40.555,21.744
40.659,21.836
40.756,21.932
40.849,22.031
40.939,22.132
41.026,22.236
41.113,22.343
41.198,22.452
41.282,22.565
41.365,22.681
41.445,22.801
41.523,22.926
41.599,23.056
41.670,23.191
41.738,23.333
41.802,23.481
41.863,23.635
41.919,23.792
41.973,23.951
42.024,24.109
42.073,24.266
42.121,24.418
42.167,24.564
42.214,24.703
42.260,24.832
42.306,24.949
42.349,25.057
42.386,25.156
42.413,25.249
42.426,25.338
42.421,25.424
42.396,25.509
42.352,25.594
42.295,25.679
42.231,25.766
42.164,25.853
42.101,25.943
42.046,26.034
42.002,26.128
41.967,26.225
41.939,26.324
41.914,26.426
41.891,26.531
41.865,26.640
41.836,26.752
41.804,26.867
41.771,26.984
41.738,27.102
41.708,27.221
41.683,27.339
41.665,27.455
41.655,27.568
41.655,27.680
41.662,27.789
41.677,27.898
41.696,28.007
41.720,28.116
41.747,28.228
41.775,28.342
41.803,28.458
41.829,28.575
41.851,28.692
41.866,28.808
41.872,28.921
41.868,29.030
41.850,29.133
41.820,29.231
41.780,29.320
41.731,29.401
41.677,29.471
41.619,29.530
41.560,29.576
41.502,29.616
41.445,29.656
41.390,29.703
41.338,29.764
41.290,29.843
41.247,29.934
41.211,30.033
41.182,30.134
41.162,30.232
41.151,30.323
41.149,30.405
41.152,30.481
41.156,30.558
41.157,30.639
41.150,30.730
41.134,30.832
41.113,30.944
41.090,31.061
41.069,31.182
41.054,31.302
41.048,31.420
41.055,31.533
41.076,31.637
41.104,31.736
41.132,31.829
41.153,31.919
41.160,32.005
41.146,32.091
41.108,32.176
41.049,32.259
40.972,32.339
40.883,32.415
40.785,32.485
40.682,32.550
40.578,32.607
40.474,32.656
40.372,32.697
40.270,32.729
40.170,32.752
40.072,32.767
39.976,32.771
39.883,32.768
39.793,32.760
39.707,32.754
39.625,32.755
39.547,32.768
39.475,32.797
39.406,32.842
39.341,32.899
39.278,32.965
39.215,33.037
39.152,33.113
39.088,33.190
39.023,33.267
38.957,33.343
38.890,33.417
38.823,33.487
38.754,33.553
38.685,33.615
38.617,33.675
38.551,33.736
38.490,33.799
38.435,33.869
38.387,33.946
38.345,34.029
38.304,34.114
38.263,34.197
38.217,34.276
38.165,34.347
38.104,34.407
38.035,34.459
37.959,34.503
37.878,34.543
37.793,34.579
37.705,34.615
37.616,34.649
37.524,34.680
37.430,34.706
37.334,34.726
37.237,34.739
37.137,34.742
37.037,34.738
36.936,34.728
36.836,34.716
36.738,34.703
36.642,34.693
36.549,34.686
36.460,34.686
36.373,34.692
36.289,34.704
36.208,34.723
36.128,34.750
36.049,34.785
35.972,34.827
35.897,34.875
35.825,34.929
35.756,34.988
35.690,35.050
35.626,35.114
35.562,35.175
35.497,35.231
35.429,35.278
35.356,35.314
35.279,35.338
35.197,35.354
35.111,35.368
35.019,35.382
34.924,35.401
34.824,35.427
34.722,35.457
34.618,35.488
34.514,35.515
34.411,35.536
34.311,35.547
34.215,35.545
34.121,35.531
34.030,35.507
33.939,35.476
33.846,35.441
33.752,35.405
33.654,35.369
33.554,35.335
33.455,35.298
33.361,35.259
33.275,35.215
33.199,35.164
33.136,35.105
33.084,35.039
33.036,34.970
32.985,34.900
32.925,34.834
32.848,34.775
32.754,34.725
32.646,34.683
32.531,34.650
32.415,34.624
32.304,34.605
32.205,34.593
32.122,34.586
32.056,34.584
31.997,34.585
31.938,34.588
31.872,34.590
31.796,34.592
31.712,34.593
31.622,34.593
31.527,34.591
31.428,34.588
31.329,34.582
31.229,34.573
31.132,34.559
31.039,34.538
30.952,34.510
30.872,34.471
30.801,34.423
30.735,34.366
30.675,34.300
30.616,34.227
30.558,34.148
30.500,34.062
30.440,33.973
30.378,33.883
30.316,33.794
30.252,33.708
30.188,33.628
30.124,33.556
30.058,33.492
29.990,33.431
29.917,33.370
29.838,33.304
29.751,33.228
29.655,33.139
29.548,33.032
29.430,32.907
29.303,32.766
29.166,32.610
29.022,32.440
28.871,32.257
28.713,32.063
28.551,31.859
