X,Y
276.000,160.000
276.640,157.433
277.458,155.078
278.430,152.908
279.530,150.892
280.733,149.004
282.014,147.215
283.348,145.496
284.708,143.820
286.070,142.156
287.410,140.479
288.713,138.769
289.987,137.029
291.240,135.262
292.482,133.469
293.722,131.655
294.967,129.822
296.228,127.972
297.513,126.110
298.831,124.237
300.189,122.356
301.585,120.469
303.013,118.577
304.467,116.679
305.942,114.778
307.432,112.873
308.932,110.965
310.435,109.056
311.936,107.146
313.428,105.236
314.908,103.326
316.375,101.416
317.835,99.505
319.291,97.593
320.750,95.679
322.217,93.761
323.696,91.839
325.192,89.911
326.711,87.978
328.257,86.037
329.836,84.088
331.450,82.132
333.096,80.173
334.773,78.215
336.475,76.263
338.201,74.321
339.947,72.394
341.709,70.486
343.486,68.602
345.273,66.747
347.068,64.924
348.867,63.139
350.667,61.394
352.461,59.692
354.245,58.031
356.012,56.412
357.756,54.837
359.471,53.305
361.153,51.817
362.794,50.373
364.389,48.974
365.932,47.621
367.426,46.311
368.888,45.041
370.336,43.806
371.789,42.601
373.265,41.422
374.782,40.263
376.359,39.121
378.014,37.991
379.761,36.868
381.592,35.752
383.495,34.643
385.456,33.542
387.464,32.449
389.505,31.364
391.568,30.288
393.640,29.220
395.708,28.161
397.760,27.111
399.790,26.074
401.800,25.061
403.796,24.081
405.781,23.143
407.758,22.259
409.732,21.438
411.706,20.691
413.684,20.026
415.671,19.455
417.664,18.984
419.643,18.608
421.586,18.323
423.469,18.121
425.269,17.997
426.963,17.944
428.528,17.957
429.941,18.030
431.185,18.183
432.254,18.477
433.142,18.975
433.845,19.743
434.360,20.838
434.706,22.250
434.913,23.935
435.015,25.849
435.041,27.946
435.023,30.182
434.993,32.512
434.981,34.891
435.020,37.275
435.122,39.636
435.276,41.977
435.465,44.301
435.674,46.612
435.889,48.914
436.092,51.210
436.270,53.505
436.406,55.802
436.486,58.105
436.494,60.417
436.429,62.740
436.308,65.067
436.151,67.395
435.975,69.717
435.800,72.030
435.643,74.327
435.523,76.604
435.459,78.856
435.469,81.078
435.571,83.265
435.754,85.421
435.988,87.559
436.242,89.690
436.484,91.826
436.684,93.978
436.809,96.160
436.828,98.383
436.710,100.658
436.425,102.997
435.961,105.402
435.355,107.848
434.649,110.309
433.887,112.759
433.110,115.170
432.360,117.516
431.680,119.771
431.113,121.908
430.701,123.899
430.485,125.719
430.480,127.357
430.617,128.846
430.817,130.226
430.999,131.538
431.080,132.822
430.981,134.119
430.644,135.454
430.077,136.802
429.304,138.130
428.347,139.405
427.229,140.592
425.973,141.658
424.601,142.573
423.130,143.338
421.574,143.976
419.946,144.511
418.259,144.968
416.528,145.370
414.764,145.742
412.982,146.106
411.190,146.481
409.390,146.869
407.582,147.275
405.767,147.701
403.945,148.150
402.117,148.625
400.283,149.129
398.444,149.666
396.600,150.235
394.753,150.836
392.904,151.464
391.053,152.118
389.202,152.795
387.352,153.493
385.504,154.207
383.658,154.937
381.818,155.679
379.981,156.436
378.151,157.209
376.326,158.003
374.508,158.819
372.697,159.660
370.895,160.530
369.100,161.430
367.315,162.363
365.540,163.329
363.775,164.325
362.021,165.347
360.279,166.391
358.550,167.452
356.835,168.529
355.133,169.615
353.447,170.708
351.776,171.804
350.125,172.898
348.499,173.987
346.903,175.066
345.343,176.131
343.823,177.178
342.349,178.202
340.927,179.199
339.559,180.165
338.238,181.089
336.946,181.957
335.667,182.755
334.382,183.469
333.076,184.085
331.731,184.590
330.344,184.984
328.938,185.303
327.543,185.586
326.186,185.873
324.897,186.203
323.703,186.616
322.612,187.115
321.586,187.630
320.586,188.087
319.571,188.409
318.501,188.522
317.357,188.416
316.142,188.149
314.859,187.787
313.513,187.391
312.109,187.025
310.652,186.741
309.151,186.536
307.621,186.389
306.072,186.277
304.518,186.181
302.970,186.078
301.442,185.948
299.935,185.793
298.437,185.649
296.936,185.554
295.418,185.544
293.871,185.658
292.281,185.933
290.640,186.393
288.965,186.966
287.285,187.537
285.629,187.995
284.025,188.226
282.501,188.117
281.088,187.555
279.809,186.452
278.676,184.846
277.695,182.810
276.871,180.419
276.211,177.748
275.719,174.871
275.402,171.862
275.266,168.796
275.316,165.747
275.559,162.791
276.000,160.000
