X	Y
35.126	14.647
35.148	14.569
35.175	14.493
35.206	14.419
35.242	14.347
35.281	14.277
35.324	14.209
35.370	14.142
35.420	14.075
35.472	14.010
35.528	13.946
35.585	13.882
35.645	13.818
35.708	13.755
35.772	13.691
35.837	13.628
35.904	13.563
35.972	13.499
36.041	13.433
36.112	13.367
36.183	13.301
36.256	13.235
36.329	13.168
36.404	13.101
36.479	13.033
36.556	12.966
36.633	12.898
36.711	12.830
36.790	12.762
36.870	12.694
36.950	12.626
37.031	12.558
37.113	12.490
37.195	12.423
37.278	12.355
37.362	12.288
37.446	12.221
37.530	12.154
37.615	12.088
37.701	12.022
37.786	11.956
37.872	11.890
37.958	11.824
38.044	11.759
38.130	11.693
38.216	11.628
38.302	11.563
38.388	11.498
38.474	11.433
38.560	11.368
38.645	11.303
38.730	11.238
38.815	11.173
38.899	11.108
38.983	11.043
39.066	10.978
39.149	10.913
39.231	10.848
39.313	10.783
39.395	10.717
39.477	10.651
39.559	10.585
39.641	10.518
39.724	10.451
39.808	10.384
39.892	10.315
39.976	10.246
40.062	10.176
40.149	10.106
40.237	10.035
40.326	9.962
40.416	9.889
40.509	9.815
40.602	9.739
40.698	9.663
40.796	9.585
40.895	9.506
40.997	9.425
41.101	9.344
41.206	9.262
41.313	9.178
41.421	9.094
41.531	9.009
41.642	8.923
41.753	8.837
41.866	8.751
41.979	8.664
42.093	8.577
42.207	8.489
42.321	8.402
42.435	8.315
42.550	8.227
42.664	8.140
42.777	8.054
42.890	7.968
43.003	7.882
43.114	7.797
43.225	7.713
43.334	7.630
43.442	7.547
43.549	7.466
43.654	7.385
43.757	7.306
43.859	7.229
43.959	7.152
44.057	7.077
44.154	7.003
44.251	6.930
44.345	6.858
44.439	6.787
44.532	6.717
44.625	6.649
44.716	6.581
44.808	6.515
44.898	6.450
44.989	6.386
45.079	6.322
45.170	6.260
45.260	6.199
45.351	6.139
45.441	6.079
45.533	6.021
45.625	5.963
45.717	5.907
45.810	5.851
45.904	5.796
45.999	5.742
46.094	5.689
46.189	5.637
46.285	5.586
46.381	5.536
46.477	5.487
46.574	5.439
46.670	5.392
46.767	5.346
46.863	5.301
46.959	5.257
47.055	5.215
47.151	5.173
47.246	5.133
47.341	5.094
47.435	5.056
47.529	5.019
47.622	4.984
47.714	4.949
47.806	4.916
47.897	4.884
47.988	4.854
48.079	4.824
48.170	4.796
48.261	4.769
48.352	4.743
48.443	4.719
48.535	4.696
48.627	4.674
48.720	4.653
48.813	4.633
48.908	4.615
49.003	4.598
49.100	4.582
49.198	4.567
49.298	4.554
49.398	4.542
49.500	4.532
49.601	4.523
49.703	4.516
49.805	4.512
49.905	4.510
50.005	4.510
50.103	4.513
50.199	4.520
50.292	4.529
50.383	4.542
50.470	4.559
50.554	4.579
50.634	4.604
50.709	4.633
50.780	4.666
50.845	4.705
50.905	4.747
50.960	4.794
51.009	4.845
51.054	4.899
51.094	4.956
51.130	5.015
51.161	5.075
51.189	5.137
51.212	5.200
51.232	5.262
51.249	5.325
51.263	5.387
51.273	5.447
51.281	5.507
51.287	5.566
51.291	5.624
51.294	5.683
51.296	5.742
51.297	5.802
51.298	5.863
51.300	5.925
51.302	5.990
51.305	6.056
51.310	6.125
51.316	6.197
51.324	6.271
51.332	6.346
51.340	6.423
51.349	6.501
51.356	6.579
51.363	6.658
51.368	6.736
51.372	6.813
51.373	6.889
51.372	6.964
51.367	7.037
51.359	7.107
51.346	7.175
51.330	7.239
51.311	7.301
51.291	7.361
51.269	7.418
51.248	7.474
51.227	7.528
51.209	7.581
51.194	7.633
51.183	7.684
51.177	7.735
51.177	7.786
51.183	7.838
51.194	7.889
51.209	7.942
51.226	7.995
51.244	8.050
51.262	8.106
51.278	8.164
51.292	8.225
51.302	8.287
51.307	8.353
51.307	8.421
51.299	8.492
51.287	8.565
51.269	8.640
51.247	8.717
51.222	8.794
51.194	8.873
51.165	8.951
51.133	9.030
51.102	9.107
51.070	9.184
51.039	9.259
51.009	9.332
50.982	9.403
50.957	9.472
50.936	9.537
50.918	9.599
50.901	9.660
50.886	9.718
50.871	9.775
50.856	9.831
50.840	9.886
50.822	9.940
50.802	9.995
50.778	10.051
50.750	10.108
50.717	10.166
50.680	10.225
50.638	10.286
50.594	10.347
50.548	10.408
50.501	10.468
50.454	10.529
50.408	10.588
50.364	10.646
50.322	10.702
50.284	10.756
50.250	10.807
50.222	10.855
50.200	10.900
50.184	10.942
50.173	10.983
50.164	11.022
50.158	11.062
50.151	11.103
50.143	11.146
50.133	11.193
50.118	11.245
50.099	11.301
50.075	11.362
50.047	11.426
50.014	11.492
49.978	11.561
49.938	11.630
49.896	11.699
49.850	11.768
49.802	11.835
49.751	11.900
49.699	11.962
49.645	12.020
49.589	12.073
49.533	12.120
49.476	12.162
49.418	12.199
49.360	12.232
49.302	12.263
49.245	12.291
49.188	12.318
49.132	12.346
49.077	12.374
49.024	12.404
48.973	12.437
48.924	12.474
48.878	12.515
48.834	12.562
