X	Y
1.360	1.854
1.366	1.852
1.372	1.851
1.380	1.851
1.389	1.853
1.398	1.855
1.408	1.858
1.419	1.862
1.430	1.866
1.442	1.870
1.453	1.874
1.465	1.878
1.476	1.881
1.487	1.884
1.497	1.886
1.508	1.887
1.517	1.888
1.527	1.889
1.536	1.889
1.545	1.889
1.553	1.889
1.562	1.889
1.570	1.890
1.579	1.890
1.587	1.891
1.595	1.892
1.603	1.893
1.612	1.895
1.620	1.897
1.628	1.899
1.636	1.902
1.645	1.905
1.653	1.907
1.661	1.910
1.669	1.913
1.678	1.916
1.686	1.918
1.695	1.921
1.703	1.923
1.712	1.926
1.720	1.928
1.729	1.931
1.737	1.933
1.746	1.935
1.755	1.938
1.764	1.940
1.773	1.943
1.782	1.946
1.791	1.949
1.800	1.952
1.809	1.954
1.819	1.957
1.828	1.960
1.837	1.964
1.847	1.967
1.856	1.970
1.865	1.973
1.875	1.976
1.884	1.979
1.893	1.982
1.902	1.985
1.911	1.988
1.920	1.991
1.929	1.994
1.938	1.996
1.947	1.999
1.956	2.002
1.965	2.004
1.974	2.007
1.982	2.010
1.991	2.012
2.000	2.014
2.009	2.017
2.018	2.019
2.027	2.021
2.036	2.024
2.045	2.026
2.053	2.029
2.061	2.031
2.069	2.034
2.077	2.037
2.084	2.040
2.091	2.044
2.098	2.047
2.104	2.051
2.110	2.055
2.116	2.059
2.121	2.063
2.127	2.068
2.132	2.072
2.137	2.077
2.143	2.081
2.148	2.086
2.153	2.091
2.158	2.096
2.163	2.101
2.168	2.106
2.173	2.112
2.177	2.118
2.182	2.124
2.185	2.131
2.189	2.139
2.192	2.146
2.195	2.154
2.197	2.162
2.199	2.171
2.201	2.179
2.203	2.188
2.205	2.196
2.206	2.205
2.207	2.213
2.207	2.221
2.208	2.229
2.208	2.238
2.208	2.246
2.208	2.254
2.207	2.262
2.206	2.269
2.205	2.277
2.204	2.285
2.202	2.293
2.200	2.301
2.198	2.309
2.195	2.317
2.192	2.325
2.189	2.333
2.186	2.341
2.182	2.348
2.179	2.356
2.175	2.363
2.171	2.371
2.167	2.378
2.163	2.385
2.159	2.392
2.155	2.398
2.151	2.405
2.146	2.412
2.142	2.418
2.137	2.425
2.132	2.432
2.128	2.439
2.122	2.445
2.117	2.453
2.112	2.460
2.106	2.467
2.101	2.474
2.095	2.481
2.089	2.489
2.083	2.496
2.077	2.503
2.071	2.510
2.066	2.517
2.060	2.524
2.054	2.530
2.048	2.536
2.042	2.543
2.036	2.549
2.030	2.555
2.024	2.560
2.019	2.566
2.013	2.571
2.007	2.577
2.001	2.582
1.995	2.587
1.989	2.592
1.984	2.597
1.978	2.602
1.972	2.606
1.966	2.611
1.959	2.615
1.953	2.618
1.947	2.622
1.940	2.625
1.934	2.628
1.927	2.630
1.920	2.633
1.914	2.635
1.907	2.638
1.901	2.640
1.895	2.643
1.889	2.647
1.883	2.650
1.878	2.655
1.873	2.659
1.868	2.664
1.863	2.669
1.858	2.674
1.853	2.679
1.848	2.684
1.842	2.688
1.837	2.692
1.831	2.696
1.824	2.700
1.818	2.703
1.811	2.705
1.805	2.708
1.798	2.710
1.791	2.711
1.784	2.713
1.777	2.714
1.771	2.714
1.764	2.714
1.757	2.714
1.751	2.712
1.745	2.710
1.739	2.708
1.733	2.704
1.727	2.700
1.722	2.695
1.717	2.690
1.712	2.684
1.707	2.677
1.702	2.671
1.697	2.664
1.691	2.657
1.686	2.650
1.680	2.644
1.675	2.638
1.668	2.632
1.662	2.627
1.656	2.622
1.649	2.617
1.642	2.612
1.636	2.606
1.629	2.601
1.622	2.596
1.615	2.591
1.609	2.585
1.603	2.579
1.596	2.573
1.590	2.566
1.584	2.559
1.578	2.552
1.573	2.545
1.567	2.538
1.562	2.531
1.556	2.524
1.551	2.516
1.546	2.509
1.541	2.502
1.536	2.495
1.531	2.488
1.526	2.480
1.521	2.473
1.516	2.467
1.512	2.460
1.507	2.453
1.502	2.447
1.496	2.440
1.491	2.434
1.486	2.428
1.480	2.422
1.475	2.416
1.470	2.410
1.464	2.405
1.459	2.399
1.454	2.393
1.449	2.386
1.444	2.380
1.439	2.373
1.435	2.367
1.431	2.359
1.427	2.352
1.423	2.345
1.420	2.337
1.416	2.330
1.413	2.323
1.410	2.315
1.407	2.308
1.404	2.301
1.401	2.294
1.398	2.288
1.395	2.282
1.392	2.275
1.390	2.269
1.387	2.263
1.384	2.258
1.381	2.252
1.378	2.247
1.375	2.241
1.373	2.236
1.370	2.230
1.367	2.225
1.365	2.219
1.362	2.213
1.360	2.207
1.359	2.200
1.357	2.193
1.356	2.186
1.355	2.179
1.354	2.171
1.353	2.164
1.353	2.157
1.352	2.149
1.352	2.142
1.352	2.135
1.352	2.128
1.352	2.122
1.352	2.115
1.352	2.108
1.352	2.101
1.352	2.094
1.352	2.087
1.352	2.079
1.352	2.072
1.352	2.063
1.352	2.055
1.352	2.046
1.351	2.038
1.351	2.029
1.351	2.021
1.351	2.013
1.352	2.005
1.352	1.997
1.353	1.990
1.353	1.983
1.354	1.976
1.355	1.969
1.356	1.962
1.356	1.955
1.357	1.948
1.357	1.941
1.356	1.933
1.356	1.924
1.355	1.915
1.354	1.905
1.353	1.896
1.352	1.887
1.352	1.878
1.353	1.871
1.354	1.864
1.356	1.858
1.360	1.854
