X	Y
7.623	6.740
7.631	6.750
7.643	6.758
7.658	6.766
7.673	6.774
7.690	6.782
7.706	6.791
7.721	6.800
7.735	6.811
7.746	6.822
7.755	6.835
7.762	6.848
7.767	6.861
7.769	6.875
7.769	6.890
7.767	6.904
7.764	6.919
7.761	6.934
7.757	6.949
7.754	6.964
7.752	6.979
7.751	6.994
7.749	7.009
7.748	7.025
7.745	7.041
7.742	7.057
7.736	7.074
7.730	7.091
7.721	7.109
7.712	7.128
7.703	7.147
7.692	7.168
7.682	7.189
7.672	7.212
7.662	7.236
7.653	7.261
7.645	7.287
7.637	7.314
7.630	7.341
7.624	7.369
7.618	7.398
7.613	7.426
7.608	7.455
7.604	7.483
7.600	7.510
7.596	7.537
7.593	7.563
7.590	7.587
7.587	7.611
7.586	7.633
7.585	7.653
7.585	7.673
7.587	7.690
7.590	7.706
7.596	7.720
7.603	7.732
7.612	7.743
7.622	7.753
7.635	7.762
7.649	7.772
7.664	7.782
7.681	7.794
7.699	7.806
7.718	7.819
7.738	7.833
7.758	7.847
7.780	7.861
7.801	7.876
7.822	7.890
7.844	7.903
7.865	7.916
7.886	7.929
7.907	7.940
7.927	7.952
7.946	7.963
7.965	7.975
7.983	7.987
8.000	7.999
8.017	8.013
8.033	8.028
8.047	8.044
8.061	8.062
8.074	8.080
8.085	8.098
8.095	8.117
8.104	8.136
8.111	8.155
8.116	8.172
8.120	8.189
8.122	8.205
8.123	8.220
8.124	8.235
8.124	8.251
8.125	8.267
8.127	8.284
8.131	8.303
8.135	8.323
8.140	8.344
8.146	8.366
8.151	8.388
8.157	8.411
8.162	8.433
8.167	8.456
8.170	8.479
8.172	8.500
8.174	8.522
8.175	8.542
8.177	8.561
8.179	8.579
8.182	8.596
8.186	8.611
8.192	8.624
8.200	8.635
8.209	8.644
8.221	8.649
8.233	8.651
8.247	8.650
8.262	8.644
8.278	8.636
8.293	8.626
8.308	8.615
8.322	8.604
8.335	8.593
8.346	8.585
8.355	8.578
8.364	8.573
8.372	8.571
8.382	8.571
8.392	8.574
8.403	8.579
8.413	8.587
8.424	8.597
8.433	8.609
8.441	8.624
8.449	8.641
8.455	8.659
8.460	8.678
8.464	8.698
8.468	8.718
8.471	8.739
8.473	8.759
8.475	8.779
8.477	8.797
8.480	8.815
8.483	8.830
8.488	8.843
8.495	8.853
8.504	8.861
8.514	8.866
8.526	8.868
8.538	8.868
8.551	8.867
8.562	8.865
8.573	8.860
8.582	8.853
8.588	8.843
8.592	8.829
8.593	8.812
8.592	8.793
8.591	8.774
8.591	8.754
8.593	8.737
8.597	8.721
8.604	8.710
8.616	8.701
8.629	8.695
8.644	8.690
8.659	8.685
8.673	8.678
8.686	8.669
8.697	8.657
8.706	8.643
8.712	8.627
8.717	8.609
8.720	8.590
8.722	8.570
8.721	8.550
8.719	8.530
8.717	8.510
8.716	8.492
8.715	8.476
8.716	8.461
8.720	8.450
8.728	8.442
8.738	8.438
8.750	8.436
8.763	8.437
8.775	8.439
8.787	8.443
8.797	8.449
8.808	8.457
8.819	8.466
8.831	8.478
8.845	8.491
8.860	8.507
8.876	8.523
8.892	8.537
8.906	8.550
8.919	8.558
8.929	8.562
8.936	8.559
8.939	8.550
8.938	8.535
8.935	8.515
8.931	8.493
8.925	8.468
8.919	8.443
8.914	8.418
8.909	8.395
8.906	8.374
8.904	8.356
8.904	8.339
8.904	8.324
8.904	8.310
8.905	8.297
8.906	8.285
8.907	8.273
8.907	8.260
8.907	8.247
8.907	8.233
8.905	8.218
8.903	8.201
8.901	8.183
8.899	8.167
8.900	8.153
8.902	8.141
8.908	8.135
8.917	8.133
8.928	8.134
8.939	8.136
8.950	8.137
8.960	8.136
8.969	8.135
8.978	8.135
8.989	8.138
9.001	8.143
9.014	8.151
9.028	8.161
9.042	8.174
9.058	8.187
9.073	8.202
9.089	8.217
9.105	8.232
9.120	8.246
9.136	8.261
9.151	8.276
9.167	8.290
9.183	8.304
9.199	8.318
9.215	8.331
9.232	8.344
9.249	8.356
9.266	8.367
9.284	8.379
9.302	8.390
9.320	8.400
9.338	8.411
9.356	8.421
9.374	8.432
9.392	8.443
9.410	8.453
9.427	8.464
9.444	8.475
9.460	8.487
9.476	8.499
9.491	8.511
9.505	8.524
9.518	8.538
9.531	8.552
9.542	8.566
9.553	8.580
9.564	8.594
9.574	8.608
9.584	8.621
9.594	8.633
9.605	8.645
9.615	8.655
9.626	8.664
9.638	8.671
9.651	8.677
9.664	8.682
9.679	8.684
9.693	8.685
9.707	8.686
9.719	8.685
9.729	8.683
9.736	8.682
9.742	8.683
9.748	8.686
9.753	8.693
9.759	8.704
9.766	8.716
9.774	8.731
9.784	8.747
9.795	8.763
9.808	8.779
9.822	8.794
9.837	8.809
9.852	8.822
9.868	8.834
9.884	8.843
9.899	8.850
9.914	8.854
9.928	8.856
9.942	8.857
9.956	8.857
9.970	8.857
9.985	8.859
10.000	8.862
10.014	8.865
10.027	8.866
10.037	8.866
10.044	8.861
10.047	8.853
10.047	8.841
10.045	8.827
10.043	8.812
10.042	8.796
10.043	8.780
10.044	8.765
10.046	8.750
10.047	8.735
10.046	8.721
10.042	8.707
10.035	8.693
10.026	8.678
10.015	8.664
10.002	8.650
9.989	8.635
9.975	8.621
9.963	8.606
9.951	8.590
9.941	8.574
9.931	8.558
9.922	8.542
9.913	8.525
9.904	8.507
9.894	8.489
9.883	8.471
9.870	8.452
9.856	8.433
9.840	8.413
9.824	8.394
9.807	8.375
9.791	8.356
9.774	8.338
9.759	8.321
9.744	8.305
9.732	8.291
9.721	8.278
9.712	8.266
9.703	8.255
9.696	8.244
9.688	8.234
9.680	8.224
9.671	8.214
9.661	8.202
9.652	8.190
9.642	8.177
9.634	8.163
9.626	8.148
9.619	8.131
9.613	8.113
9.608	8.094
9.602	8.074
9.597	8.053
9.590	8.033
9.582	8.013
9.573	7.994
9.562	7.975
9.548	7.958
9.534	7.941
9.519	7.925
9.505	7.910
9.491	7.894
9.479	7.880
9.470	7.865
9.463	7.850
9.460	7.836
9.461	7.823
9.464	7.812
9.470	7.806
9.479	7.804
9.489	7.806
9.501	7.812
9.514	7.821
9.526	7.831
9.538	7.843
9.548	7.855
9.559	7.868
9.569	7.882
9.580	7.897
9.592	7.914
9.605	7.932
9.620	7.953
9.637	7.976
9.656	8.001
9.678	8.028
9.702	8.057
9.727	8.088
9.753	8.119
9.780	8.152
9.807	8.185
9.835	8.218
9.863	8.251
9.890	8.285
9.917	8.317
9.942	8.349
9.966	8.380
9.989	8.410
10.010	8.437
10.028	8.463
10.045	8.487
10.059	8.510
10.072	8.530
10.084	8.550
10.094	8.568
10.104	8.585
10.113	8.602
10.122	8.618
10.132	8.633
10.141	8.648
10.151	8.663
10.162	8.678
10.174	8.693
10.186	8.708
10.198	8.722
10.212	8.737
10.226	8.752
10.241	8.766
10.257	8.780
10.273	8.794
10.290	8.807
10.306	8.820
10.322	8.831
10.337	8.841
10.352	8.849
10.366	8.856
10.380	8.861
10.393	8.864
10.405	8.866
10.417	8.865
10.429	8.862
10.440	8.858
10.452	8.852
10.463	8.846
10.474	8.840
10.485	8.835
10.495	8.829
10.505	8.824
10.515	8.818
10.523	8.810
10.531	8.801
10.537	8.791
10.544	8.781
10.552	8.773
10.561	8.768
10.572	8.765
10.584	8.764
10.598	8.765
10.613	8.768
10.629	8.771
10.646	8.775
10.662	8.779
10.679	8.782
10.694	8.783
10.708	8.783
10.720	8.780
10.729	8.774
10.735	8.765
10.740	8.754
10.743	8.741
10.746	8.726
10.747	8.711
10.748	8.694
10.747	8.678
10.745	8.661
10.742	8.646
10.737	8.632
10.730	8.619
10.721	8.609
10.711	8.599
10.700	8.591
10.689	8.582
10.677	8.574
10.666	8.565
10.655	8.556
10.645	8.546
10.635	8.536
10.627	8.525
10.620	8.513
10.614	8.501
10.610	8.488
10.607	8.475
10.606	8.462
10.607	8.449
10.609	8.436
10.613	8.423
10.619	8.411
10.624	8.399
10.631	8.389
10.637	8.379
10.644	8.369
10.649	8.359
10.654	8.348
10.657	8.336
10.659	8.322
10.659	8.305
10.657	8.288
10.654	8.270
10.649	8.251
10.642	8.232
10.634	8.214
10.624	8.197
10.612	8.180
10.600	8.164
10.586	8.148
10.573	8.133
10.559	8.118
10.546	8.103
10.533	8.088
10.521	8.072
10.511	8.057
10.501	8.041
10.491	8.025
10.482	8.009
10.474	7.993
10.465	7.977
10.455	7.961
10.446	7.946
10.436	7.931
10.426	7.917
10.416	7.904
10.407	7.891
10.400	7.880
10.393	7.869
10.388	7.860
10.386	7.850
10.385	7.840
10.388	7.829
10.393	7.818
10.401	7.806
10.411	7.797
10.423	7.791
10.437	7.789
10.452	7.793
10.469	7.802
10.486	7.815
10.504	7.831
10.522	7.849
10.541	7.868
10.559	7.888
10.576	7.908
10.593	7.926
10.609	7.943
10.624	7.958
10.639	7.971
10.654	7.983
10.669	7.994
10.686	8.005
10.703	8.016
10.723	8.026
10.745	8.038
10.769	8.049
10.794	8.061
10.822	8.074
10.850	8.087
10.878	8.099
10.907	8.112
10.936	8.125
10.964	8.137
10.991	8.149
11.016	8.160
11.040	8.171
11.062	8.181
11.081	8.191
11.098	8.199
11.114	8.206
11.128	8.212
11.141	8.217
11.153	8.221
11.164	8.223
11.174	8.224
11.184	8.224
11.195	8.223
11.207	8.221
11.221	8.219
11.235	8.216
11.250	8.214
11.267	8.211
11.284	8.209
11.301	8.207
11.320	8.206
11.338	8.205
11.356	8.204
11.375	8.202
11.393	8.199
11.411	8.195
11.429	8.188
11.447	8.179
11.463	8.168
11.479	8.155
11.495	8.141
11.509	8.127
11.523	8.112
11.535	8.098
11.547	8.085
11.558	8.074
11.567	8.065
11.576	8.056
11.584	8.048
11.591	8.038
11.597	8.028
11.604	8.015
11.611	8.003
11.619	7.991
11.628	7.980
11.640	7.972
11.654	7.968
11.671	7.967
11.689	7.968
11.709	7.970
