X,Y
43.078,34.242
43.177,34.114
43.324,33.995
43.508,33.884
43.722,33.777
43.957,33.674
44.203,33.573
44.453,33.472
44.696,33.370
44.924,33.265
45.137,33.157
45.337,33.047
45.528,32.934
45.713,32.820
45.896,32.706
46.080,32.592
46.269,32.480
46.467,32.368
46.674,32.258
46.888,32.150
47.110,32.041
47.337,31.933
47.567,31.823
47.800,31.713
48.033,31.600
48.267,31.484
48.498,31.366
48.727,31.244
48.953,31.119
49.177,30.993
49.400,30.866
49.621,30.740
49.840,30.614
50.059,30.490
50.278,30.369
50.496,30.251
50.713,30.138
50.931,30.028
51.150,29.922
51.368,29.818
51.586,29.716
51.805,29.616
52.024,29.518
52.243,29.420
52.463,29.322
52.683,29.224
52.903,29.125
53.124,29.026
53.345,28.926
53.565,28.825
53.786,28.722
54.006,28.618
54.225,28.512
54.444,28.405
54.663,28.295
54.881,28.185
55.099,28.076
55.317,27.968
55.535,27.863
55.754,27.762
55.972,27.665
56.192,27.574
56.412,27.489
56.633,27.410
56.853,27.334
57.073,27.260
57.292,27.184
57.508,27.107
57.722,27.024
57.933,26.935
58.140,26.838
58.344,26.732
58.546,26.618
58.748,26.499
58.950,26.376
59.155,26.252
59.363,26.127
59.577,26.003
59.798,25.884
60.026,25.769
60.262,25.659
60.503,25.554
60.747,25.453
60.994,25.357
61.241,25.264
61.487,25.173
61.729,25.085
61.966,24.999
62.197,24.915
62.420,24.831
62.637,24.748
62.848,24.666
63.054,24.584
63.258,24.501
63.460,24.418
63.661,24.335
63.862,24.250
64.064,24.164
64.268,24.077
64.473,23.991
64.680,23.905
64.890,23.821
65.102,23.739
65.317,23.660
65.534,23.585
65.755,23.514
65.978,23.448
66.204,23.386
66.431,23.329
66.659,23.277
66.889,23.231
67.119,23.189
67.348,23.153
67.577,23.123
67.805,23.098
68.031,23.081
68.254,23.071
68.472,23.070
68.686,23.078
68.894,23.096
69.095,23.125
69.289,23.167
69.473,23.221
69.647,23.289
69.809,23.371
69.957,23.470
70.089,23.586
70.204,23.720
70.302,23.872
70.383,24.041
70.452,24.223
70.508,24.417
70.556,24.620
70.597,24.830
70.633,25.044
70.666,25.261
70.696,25.478
70.722,25.697
70.743,25.915
70.757,26.133
70.764,26.349
70.762,26.564
70.750,26.776
70.728,26.985
70.697,27.192
70.658,27.397
70.613,27.602
70.564,27.807
70.510,28.014
70.455,28.222
70.400,28.434
70.345,28.649
70.289,28.865
70.233,29.082
70.176,29.298
70.118,29.513
70.058,29.724
69.996,29.931
69.932,30.132
69.864,30.328
69.794,30.519
69.720,30.705
69.643,30.888
69.562,31.069
69.477,31.248
69.387,31.427
69.293,31.606
69.194,31.786
69.092,31.965
68.986,32.145
68.878,32.325
68.767,32.504
68.654,32.684
68.539,32.864
68.424,33.044
68.307,33.225
68.191,33.407
68.075,33.592
67.960,33.779
67.846,33.969
67.733,34.163
67.623,34.362
67.516,34.565
67.409,34.771
67.304,34.981
67.200,35.194
67.095,35.410
66.991,35.627
66.885,35.845
66.778,36.064
66.669,36.283
66.559,36.502
66.446,36.719
66.331,36.933
66.215,37.144
66.096,37.350
65.975,37.550
65.852,37.743
65.727,37.929
65.600,38.107
65.471,38.279
65.339,38.444
65.205,38.606
65.069,38.763
64.931,38.919
64.791,39.074
64.649,39.228
64.504,39.383
64.357,39.536
64.208,39.687
64.058,39.835
63.905,39.980
63.751,40.120
63.594,40.254
63.436,40.382
63.275,40.503
63.108,40.618
62.934,40.725
62.752,40.825
62.559,40.918
62.355,41.003
62.136,41.080
61.905,41.148
61.663,41.205
61.415,41.248
61.162,41.276
60.909,41.286
60.658,41.276
60.412,41.243
60.175,41.187
59.949,41.104
59.735,40.998
59.531,40.877
59.334,40.747
59.144,40.616
58.959,40.490
58.777,40.378
58.596,40.286
58.415,40.221
58.233,40.183
58.049,40.165
57.865,40.159
57.679,40.158
57.494,40.154
57.307,40.139
57.121,40.107
56.933,40.057
56.744,39.992
56.553,39.916
56.358,39.831
56.160,39.740
55.957,39.646
55.748,39.552
55.535,39.461
55.316,39.372
55.093,39.286
54.867,39.204
54.640,39.126
54.410,39.052
54.181,38.983
53.951,38.919
53.723,38.860
53.497,38.806
53.270,38.756
53.042,38.708
52.812,38.661
52.579,38.613
52.342,38.564
52.099,38.511
51.850,38.455
51.594,38.392
51.331,38.325
51.064,38.253
50.793,38.176
50.520,38.097
50.246,38.015
49.973,37.931
49.702,37.846
49.434,37.760
49.171,37.674
48.915,37.589
48.664,37.505
48.417,37.421
48.174,37.337
47.934,37.254
47.694,37.170
47.455,37.085
47.215,37.000
46.972,36.913
46.727,36.825
46.478,36.736
46.227,36.645
45.976,36.552
45.727,36.457
45.481,36.361
45.240,36.262
45.005,36.161
44.778,36.058
44.561,35.952
44.355,35.844
44.161,35.732
43.978,35.617
43.808,35.498
43.651,35.374
43.506,35.244
43.374,35.109
43.256,34.967
43.155,34.820
43.079,34.671
43.036,34.523
43.033,34.379
43.078,34.242
