X,Y
280.000,126.000
280.899,124.497
282.079,123.031
283.508,121.599
285.155,120.196
286.987,118.821
288.973,117.470
291.082,116.139
293.281,114.826
295.539,113.527
297.824,112.239
300.108,110.959
302.386,109.682
304.665,108.407
306.949,107.129
309.245,105.845
311.559,104.550
313.896,103.242
316.262,101.917
318.664,100.572
321.105,99.203
323.594,97.806
326.135,96.377
328.734,94.915
331.387,93.420
334.082,91.902
336.809,90.368
339.555,88.825
342.310,87.283
345.062,85.747
347.799,84.227
350.510,82.730
353.183,81.265
355.807,79.838
358.370,78.458
360.862,77.133
363.269,75.870
365.585,74.676
367.815,73.548
369.972,72.481
372.068,71.471
374.113,70.511
376.122,69.596
378.104,68.721
380.073,67.881
382.041,67.070
384.018,66.284
386.016,65.518
388.024,64.780
390.014,64.091
391.960,63.468
393.834,62.931
395.610,62.499
397.261,62.189
398.760,62.022
400.080,62.015
401.222,62.156
402.238,62.374
403.185,62.592
404.122,62.733
405.103,62.724
406.153,62.576
407.270,62.360
408.453,62.148
409.700,62.013
411.010,62.027
412.371,62.221
413.757,62.572
415.140,63.053
416.495,63.637
417.793,64.297
419.009,65.005
420.117,65.745
421.107,66.530
421.968,67.387
422.692,68.339
423.269,69.410
423.691,70.625
423.967,71.985
424.128,73.476
424.204,75.078
424.224,76.774
424.220,78.547
424.221,80.380
424.258,82.253
424.349,84.154
424.483,86.075
424.644,88.013
424.814,89.962
424.977,91.918
425.117,93.876
425.217,95.831
425.260,97.778
425.229,99.714
425.123,101.636
424.954,103.549
424.741,105.456
424.497,107.364
424.241,109.274
423.989,111.193
423.755,113.124
423.557,115.071
423.409,117.037
423.300,119.013
423.202,120.979
423.087,122.916
422.927,124.803
422.695,126.621
422.362,128.351
421.899,129.974
421.281,131.470
420.495,132.834
419.557,134.089
418.486,135.256
417.300,136.360
416.016,137.422
414.653,138.466
413.230,139.515
411.760,140.586
410.249,141.672
408.698,142.764
407.108,143.850
405.481,144.919
403.819,145.960
402.122,146.962
400.392,147.913
398.631,148.803
396.839,149.628
395.012,150.392
393.149,151.101
391.246,151.762
389.301,152.381
387.310,152.963
385.271,153.514
383.181,154.041
381.038,154.549
378.840,155.043
376.596,155.526
374.312,155.996
371.998,156.456
369.661,156.906
367.311,157.348
364.954,157.781
362.600,158.207
360.256,158.626
357.931,159.040
355.633,159.449
353.363,159.848
351.115,160.229
348.884,160.582
346.664,160.897
344.449,161.164
342.232,161.374
340.009,161.517
337.773,161.584
335.518,161.565
333.239,161.451
330.934,161.238
328.610,160.936
326.274,160.555
323.932,160.103
321.592,159.590
319.260,159.027
316.944,158.421
314.650,157.784
312.386,157.125
310.158,156.452
307.972,155.776
305.835,155.105
303.748,154.446
301.715,153.806
299.740,153.194
297.825,152.617
295.973,152.082
294.189,151.596
292.475,151.167
290.835,150.802
289.279,150.476
287.820,150.141
286.475,149.750
285.258,149.252
284.184,148.601
283.268,147.746
282.511,146.668
281.890,145.396
281.376,143.967
280.945,142.417
280.568,140.780
280.221,139.094
279.876,137.392
279.535,135.700
279.239,134.022
279.033,132.364
278.962,130.728
279.070,129.119
279.401,127.542
280.000,126.000
