X,Y
274.000,141.000
274.489,139.102
275.282,137.267
276.327,135.494
277.572,133.783
278.963,132.134
280.448,130.549
281.974,129.025
283.499,127.565
285.024,126.164
286.559,124.822
288.115,123.535
289.705,122.300
291.339,121.117
293.030,119.981
294.783,118.888
296.595,117.827
298.456,116.781
300.356,115.737
302.288,114.680
304.241,113.595
306.207,112.469
308.178,111.286
310.150,110.052
312.125,108.782
314.106,107.494
316.095,106.204
318.094,104.929
320.104,103.686
322.128,102.492
324.168,101.363
326.221,100.297
328.282,99.277
330.346,98.285
332.406,97.305
334.458,96.320
336.495,95.311
338.513,94.263
340.505,93.161
342.470,92.017
344.405,90.857
346.310,89.707
348.182,88.593
350.021,87.541
351.824,86.578
353.592,85.728
355.327,84.995
357.045,84.349
358.759,83.759
360.485,83.191
362.236,82.612
364.028,81.990
365.872,81.299
367.761,80.545
369.689,79.736
371.646,78.885
373.624,78.001
375.615,77.096
377.610,76.180
379.601,75.266
381.579,74.388
383.537,73.587
385.464,72.906
387.353,72.387
389.196,72.070
390.982,71.999
392.703,72.204
394.333,72.669
395.849,73.368
397.223,74.272
398.430,75.356
399.446,76.590
400.266,77.958
400.908,79.449
401.392,81.055
401.737,82.768
401.963,84.577
402.090,86.473
402.139,88.442
402.133,90.463
402.093,92.520
402.042,94.593
402.003,96.664
401.997,98.714
402.041,100.729
402.119,102.708
402.199,104.662
402.252,106.598
402.248,108.524
402.157,110.450
401.948,112.382
401.605,114.326
401.144,116.271
400.581,118.209
399.937,120.129
399.230,122.022
398.478,123.878
397.700,125.686
396.899,127.439
396.058,129.128
395.158,130.745
394.179,132.284
393.102,133.737
391.908,135.096
390.587,136.358
389.152,137.533
387.623,138.635
386.017,139.678
384.355,140.674
382.656,141.637
380.937,142.581
379.206,143.508
377.459,144.420
375.696,145.313
373.912,146.188
372.107,147.043
370.277,147.877
368.421,148.687
366.535,149.471
364.618,150.225
362.666,150.944
360.677,151.623
358.648,152.259
356.576,152.847
354.461,153.384
352.311,153.872
350.139,154.316
347.959,154.722
345.786,155.096
343.633,155.444
341.515,155.771
339.446,156.083
337.427,156.385
335.442,156.678
333.470,156.964
331.491,157.247
329.484,157.528
327.430,157.809
325.309,158.091
323.116,158.376
320.871,158.660
318.599,158.939
316.321,159.209
314.059,159.467
311.838,159.710
309.679,159.933
307.604,160.132
305.605,160.296
303.661,160.407
301.748,160.449
299.844,160.406
297.925,160.260
295.970,159.995
293.964,159.602
291.936,159.100
289.919,158.515
287.951,157.873
286.066,157.201
284.301,156.526
282.691,155.872
281.254,155.240
279.969,154.572
278.811,153.802
277.753,152.865
276.771,151.696
275.860,150.265
275.064,148.620
274.432,146.816
274.012,144.907
273.852,142.950
274.000,141.000
