X,Y
37.757,16.982
37.811,16.875
37.868,16.777
37.928,16.686
37.990,16.601
38.056,16.521
38.124,16.445
38.196,16.372
38.271,16.302
38.348,16.232
38.430,16.163
38.514,16.093
38.602,16.020
38.693,15.945
38.787,15.865
38.886,15.781
38.987,15.691
39.092,15.598
39.199,15.501
39.310,15.400
39.423,15.296
39.538,15.190
39.656,15.082
39.776,14.973
39.898,14.862
40.022,14.751
40.147,14.640
40.273,14.529
40.401,14.418
40.529,14.309
40.659,14.202
40.789,14.096
40.919,13.993
41.050,13.894
41.181,13.797
41.312,13.705
41.443,13.617
41.573,13.532
41.704,13.451
41.835,13.373
41.966,13.298
42.097,13.225
42.228,13.155
42.360,13.087
42.493,13.020
42.626,12.954
42.759,12.890
42.894,12.826
43.029,12.763
43.165,12.700
43.302,12.637
43.440,12.574
43.580,12.509
43.720,12.444
43.862,12.378
44.005,12.309
44.150,12.240
44.296,12.169
44.443,12.097
44.591,12.024
44.740,11.951
44.890,11.877
45.041,11.802
45.192,11.728
45.345,11.654
45.498,11.580
45.651,11.506
45.805,11.434
45.959,11.362
46.114,11.291
46.269,11.222
46.424,11.154
46.579,11.088
46.734,11.024
46.889,10.962
47.044,10.902
47.199,10.845
47.353,10.791
47.506,10.738
47.659,10.689
47.810,10.641
47.959,10.596
48.105,10.553
48.250,10.512
48.391,10.473
48.529,10.435
48.663,10.400
48.793,10.365
48.919,10.333
49.040,10.301
49.156,10.271
49.267,10.242
49.372,10.214
49.470,10.187
49.562,10.161
49.648,10.136
49.728,10.111
49.804,10.087
49.877,10.064
49.946,10.042
50.015,10.022
50.083,10.002
50.151,9.983
50.220,9.965
50.292,9.949
50.366,9.933
50.443,9.919
50.522,9.905
50.602,9.893
50.685,9.881
50.768,9.870
50.852,9.859
50.937,9.848
51.022,9.838
51.108,9.829
51.193,9.819
51.278,9.810
51.363,9.801
51.449,9.794
51.536,9.789
51.623,9.785
51.712,9.785
51.802,9.787
51.894,9.792
51.988,9.802
52.085,9.815
52.183,9.833
52.285,9.856
52.388,9.883
52.492,9.913
52.597,9.947
52.702,9.983
52.806,10.021
52.910,10.060
53.011,10.100
53.110,10.140
53.206,10.180
53.299,10.219
53.387,10.257
53.470,10.293
53.548,10.327
53.621,10.358
53.690,10.389
53.755,10.421
53.819,10.454
53.880,10.489
53.941,10.529
54.002,10.574
54.064,10.624
54.128,10.682
54.195,10.748
54.263,10.821
54.333,10.900
54.402,10.983
54.469,11.069
54.535,11.155
54.597,11.242
54.654,11.326
54.706,11.407
54.751,11.483
54.788,11.552
54.816,11.614
54.835,11.666
54.844,11.710
54.846,11.749
54.842,11.786
54.833,11.824
54.822,11.866
54.810,11.915
54.797,11.970
54.783,12.031
54.769,12.099
54.755,12.173
54.741,12.253
54.727,12.340
54.714,12.433
54.702,12.532
54.691,12.637
54.682,12.748
54.673,12.863
54.666,12.982
54.658,13.103
54.652,13.225
54.645,13.348
54.638,13.470
54.631,13.591
54.623,13.708
54.615,13.822
54.605,13.930
54.595,14.033
54.582,14.128
54.568,14.216
54.552,14.294
54.535,14.366
54.516,14.431
54.496,14.492
54.475,14.551
54.454,14.609
54.432,14.668
54.411,14.731
54.390,14.798
54.370,14.871
54.351,14.949
54.331,15.031
54.311,15.117
54.291,15.206
54.270,15.297
54.249,15.388
54.225,15.480
54.201,15.571
54.174,15.661
54.145,15.749
54.114,15.833
54.081,15.914
54.045,15.993
54.008,16.070
53.970,16.146
53.930,16.220
53.889,16.295
53.848,16.369
53.807,16.444
53.765,16.521
53.724,16.599
53.684,16.680
53.644,16.763
53.604,16.848
53.564,16.934
53.524,17.022
53.483,17.110
53.440,17.199
