X,Y
59.334,40.172
59.483,40.044
59.641,39.943
59.809,39.866
59.984,39.811
60.167,39.776
60.356,39.759
60.552,39.757
60.753,39.768
60.96,39.79
61.171,39.82
61.385,39.857
61.603,39.899
61.823,39.942
62.045,39.986
62.269,40.026
62.493,40.062
62.717,40.093
62.942,40.117
63.169,40.135
63.396,40.149
63.625,40.158
63.857,40.163
64.091,40.165
64.327,40.163
64.567,40.158
64.811,40.151
65.059,40.143
65.311,40.133
65.568,40.122
65.83,40.11
66.098,40.099
66.372,40.087
66.652,40.077
66.938,40.068
67.232,40.061
67.533,40.056
67.842,40.054
68.158,40.054
68.48,40.057
68.807,40.062
69.14,40.069
69.476,40.079
69.815,40.091
70.156,40.106
70.499,40.122
70.843,40.14
71.187,40.16
71.53,40.183
71.872,40.207
72.211,40.232
72.547,40.259
72.879,40.288
73.206,40.319
73.528,40.35
73.844,40.384
74.152,40.418
74.453,40.454
74.745,40.49
75.028,40.528
75.3,40.567
75.562,40.607
75.811,40.648
76.049,40.689
76.276,40.732
76.492,40.776
76.699,40.822
76.897,40.87
77.087,40.921
77.27,40.974
77.447,41.031
77.618,41.09
77.785,41.154
77.947,41.221
78.107,41.292
78.264,41.369
78.42,41.45
78.575,41.536
78.73,41.627
78.886,41.724
79.041,41.826
79.197,41.933
79.353,42.045
79.508,42.161
79.663,42.281
79.818,42.405
79.973,42.533
80.126,42.664
80.279,42.799
80.431,42.936
80.582,43.077
80.732,43.22
80.881,43.365
81.029,43.512
81.175,43.661
81.319,43.812
81.462,43.966
81.602,44.121
81.74,44.279
81.876,44.44
82.008,44.603
82.138,44.769
82.264,44.938
82.386,45.111
82.504,45.287
82.619,45.466
82.729,45.648
82.834,45.835
82.934,46.026
83.03,46.22
83.12,46.419
83.204,46.622
83.283,46.829
83.357,47.04
83.426,47.253
83.491,47.47
83.551,47.689
83.608,47.909
83.661,48.132
83.71,48.355
83.756,48.579
83.799,48.804
83.839,49.028
83.877,49.252
83.913,49.475
83.947,49.696
83.979,49.916
84.01,50.134
84.04,50.35
84.069,50.562
84.096,50.772
84.122,50.979
84.146,51.183
84.167,51.384
84.186,51.583
84.201,51.779
84.213,51.973
84.221,52.164
84.225,52.352
84.223,52.538
84.217,52.721
84.206,52.902
84.188,53.081
84.164,53.257
84.134,53.431
84.097,53.603
84.054,53.773
84.005,53.942
83.95,54.109
83.889,54.277
83.823,54.444
83.752,54.611
83.677,54.78
83.597,54.949
83.512,55.119
83.424,55.292
83.332,55.467
83.237,55.644
83.139,55.824
83.038,56.008
82.934,56.195
82.828,56.385
82.719,56.577
82.609,56.771
82.496,56.967
82.382,57.164
82.266,57.361
82.149,57.559
82.031,57.757
81.912,57.955
81.792,58.151
81.671,58.346
81.55,58.54
81.429,58.732
81.308,58.921
81.186,59.107
81.065,59.289
80.945,59.468
80.825,59.644
80.704,59.816
80.584,59.985
