X,Y
2073.000,1039.000
2073.215,1037.137
2073.456,1035.193
2073.724,1033.173
2074.020,1031.085
2074.345,1028.935
2074.699,1026.728
2075.085,1024.473
2075.501,1022.175
2075.949,1019.840
2076.430,1017.476
2076.945,1015.088
2077.494,1012.684
2078.078,1010.269
2078.699,1007.850
2079.356,1005.434
2080.051,1003.027
2080.784,1000.636
2081.557,998.266
2082.370,995.925
2083.223,993.620
2084.119,991.355
2085.057,989.139
2086.038,986.977
2087.063,984.876
2088.132,982.840
2089.245,980.867
2090.398,978.953
2091.591,977.093
2092.821,975.284
2094.086,973.522
2095.386,971.801
2096.717,970.120
2098.078,968.472
2099.468,966.855
2100.883,965.264
2102.323,963.695
2103.786,962.144
2105.270,960.607
2106.772,959.081
2108.292,957.560
2109.827,956.041
2111.376,954.519
2112.936,952.992
2114.506,951.454
2116.084,949.902
2117.668,948.331
2119.257,946.739
2120.850,945.123
2122.448,943.487
2124.053,941.830
2125.665,940.153
2127.285,938.458
2128.914,936.746
2130.552,935.018
2132.202,933.275
2133.863,931.517
2135.536,929.746
2137.223,927.964
2138.923,926.170
2140.639,924.367
2142.371,922.554
2144.119,920.734
2145.885,918.907
2147.669,917.074
2149.473,915.237
2151.297,913.396
2153.142,911.553
2155.010,909.708
2156.899,907.862
2158.813,906.017
2160.751,904.174
2162.715,902.333
2164.704,900.496
2166.717,898.662
2168.753,896.833
2170.809,895.007
2172.886,893.187
2174.981,891.371
2177.093,889.560
2179.219,887.754
2181.361,885.954
2183.514,884.160
2185.679,882.372
2187.853,880.590
2190.035,878.815
2192.225,877.047
2194.419,875.286
2196.618,873.532
2198.819,871.787
2201.021,870.049
2203.222,868.319
2205.422,866.598
2207.618,864.886
2209.810,863.183
2211.996,861.489
2214.173,859.805
2216.342,858.131
2218.500,856.467
2220.647,854.813
2222.780,853.170
2224.898,851.538
2227.003,849.917
2229.096,848.307
2231.178,846.710
2233.251,845.126
2235.316,843.554
2237.375,841.995
2239.429,840.450
2241.480,838.918
2243.530,837.401
2245.579,835.899
2247.630,834.412
2249.683,832.940
2251.740,831.484
2253.804,830.044
2255.874,828.621
2257.953,827.214
2260.043,825.825
2262.144,824.454
2264.258,823.100
2266.387,821.765
2268.532,820.449
2270.695,819.152
2272.877,817.875
2275.079,816.617
2277.304,815.380
2279.552,814.164
2281.823,812.967
2284.116,811.791
2286.429,810.634
2288.761,809.496
2291.110,808.375
2293.476,807.273
2295.855,806.187
2298.249,805.117
2300.653,804.064
2303.068,803.026
2305.492,802.002
2307.923,800.992
2310.360,799.997
2312.802,799.014
2315.247,798.043
2317.693,797.084
2320.140,796.137
2322.586,795.200
2325.029,794.273
2327.469,793.356
2329.903,792.448
2332.330,791.548
2334.749,790.656
2337.158,789.771
