X,Y
30.841,26.571
30.930,26.438
31.023,26.313
31.120,26.195
31.222,26.082
31.328,25.971
31.437,25.861
31.551,25.750
31.668,25.636
31.786,25.520
31.904,25.405
32.020,25.290
32.132,25.176
32.239,25.065
32.339,24.957
32.432,24.855
32.522,24.761
32.612,24.677
32.705,24.605
32.805,24.550
32.915,24.511
33.034,24.488
33.162,24.478
33.299,24.478
33.442,24.485
33.593,24.498
33.749,24.513
33.911,24.532
34.079,24.553
34.253,24.576
34.432,24.601
34.615,24.629
34.804,24.657
34.997,24.687
35.194,24.718
35.396,24.750
35.602,24.782
35.814,24.814
36.029,24.845
36.250,24.875
36.475,24.904
36.704,24.932
36.939,24.958
37.177,24.981
37.419,25.004
37.663,25.025
37.908,25.045
38.154,25.065
38.399,25.085
38.643,25.105
38.885,25.125
39.123,25.147
39.357,25.170
39.586,25.195
39.812,25.223
40.034,25.252
40.255,25.286
40.475,25.323
40.695,25.364
40.916,25.410
41.138,25.462
41.364,25.519
41.594,25.583
41.828,25.653
42.066,25.728
42.307,25.808
42.550,25.890
42.796,25.976
43.043,26.062
43.290,26.149
43.538,26.235
43.785,26.320
44.032,26.402
44.277,26.480
44.519,26.554
44.757,26.625
44.990,26.693
45.215,26.760
45.432,26.827
45.639,26.894
45.834,26.963
46.016,27.034
46.183,27.108
46.334,27.187
46.469,27.271
46.590,27.362
46.700,27.462
46.799,27.571
46.890,27.692
46.974,27.826
47.053,27.973
47.129,28.131
47.203,28.298
47.277,28.472
47.351,28.649
47.427,28.827
47.508,29.005
47.593,29.178
47.683,29.346
47.773,29.506
47.858,29.657
47.931,29.799
47.988,29.929
48.023,30.045
48.030,30.148
48.009,30.239
47.968,30.325
47.915,30.414
47.857,30.513
47.802,30.627
47.750,30.754
47.701,30.889
47.656,31.028
47.615,31.167
47.578,31.301
47.546,31.429
47.518,31.552
47.496,31.673
47.480,31.795
47.470,31.920
47.468,32.051
47.474,32.189
47.486,32.332
47.505,32.478
47.530,32.626
47.560,32.775
47.596,32.922
