X,Y
780.000,476.000
780.434,472.831
781.147,469.872
782.102,467.096
783.265,464.475
784.599,461.982
786.070,459.589
787.643,457.267
789.281,454.990
790.949,452.729
792.613,450.457
794.236,448.145
795.785,445.768
797.251,443.317
798.652,440.803
800.004,438.236
801.327,435.627
802.638,432.988
803.955,430.329
805.296,427.661
806.678,424.995
808.121,422.343
809.641,419.715
811.257,417.122
812.986,414.575
814.829,412.075
816.777,409.614
818.817,407.186
820.938,404.783
823.129,402.399
825.379,400.025
827.676,397.655
830.009,395.282
832.368,392.899
834.739,390.498
837.113,388.072
839.478,385.613
841.822,383.116
844.141,380.578
846.439,378.005
848.719,375.406
850.987,372.786
853.247,370.152
855.503,367.513
857.760,364.875
860.022,362.245
862.295,359.630
864.582,357.037
866.887,354.474
869.216,351.947
871.573,349.463
873.963,347.030
876.383,344.649
878.826,342.316
881.283,340.025
883.744,337.772
886.201,335.552
888.645,333.358
891.067,331.187
893.458,329.034
895.808,326.892
898.110,324.758
900.353,322.625
902.530,320.490
904.631,318.346
906.657,316.191
908.621,314.023
910.541,311.842
912.433,309.646
914.313,307.436
916.198,305.210
918.103,302.967
920.046,300.707
922.041,298.429
924.107,296.131
926.258,293.815
928.512,291.477
930.877,289.120
933.346,286.743
935.913,284.348
938.568,281.937
941.303,279.512
944.110,277.074
946.981,274.624
949.907,272.164
952.881,269.696
955.894,267.220
958.938,264.740
962.004,262.255
965.084,259.768
968.171,257.281
971.256,254.794
974.332,252.309
977.400,249.828
980.460,247.352
983.515,244.881
986.564,242.418
989.609,239.964
992.651,237.520
995.692,235.088
998.732,232.667
1001.773,230.261
1004.815,227.870
1007.860,225.495
1010.909,223.139
1013.963,220.801
1017.022,218.484
1020.089,216.188
1023.164,213.914
1026.246,211.659
1029.335,209.422
1032.431,207.200
1035.533,204.991
1038.640,202.793
1041.754,200.603
1044.872,198.420
1047.994,196.241
1051.121,194.065
1054.252,191.888
1057.386,189.709
1060.523,187.525
1063.663,185.335
1066.805,183.136
1069.949,180.928
1073.091,178.713
1076.228,176.498
1079.357,174.287
1082.474,172.087
1085.575,169.903
1088.658,167.740
1091.718,165.604
1094.752,163.500
1097.757,161.434
1100.729,159.411
1103.665,157.437
1106.561,155.517
1109.413,153.657
1112.219,151.861
1114.977,150.134
1117.689,148.474
1120.360,146.878
1122.995,145.342
1125.599,143.863
1128.175,142.438
1130.729,141.065
1133.265,139.739
1135.787,138.459
1138.300,137.220
1140.809,136.019
1143.317,134.855
1145.829,133.721
1148.344,132.615
1150.863,131.530
1153.384,130.460
1155.907,129.402
1158.433,128.348
1160.960,127.293
1163.489,126.233
1166.019,125.162
1168.550,124.074
1171.081,122.964
1173.613,121.829
1176.152,120.671
1178.706,119.494
1181.281,118.304
1183.883,117.105
1186.520,115.901
1189.199,114.697
1191.926,113.497
1194.709,112.306
1197.554,111.128
1200.469,109.967
1203.459,108.829
1206.529,107.716
1209.671,106.629
1212.876,105.570
1216.136,104.537
1219.442,103.533
1222.785,102.556
1226.157,101.609
1229.549,100.690
1232.953,99.801
1236.360,98.942
1239.761,98.114
1243.148,97.317
1246.511,96.551
1249.843,95.817
1253.137,95.116
1256.394,94.454
1259.614,93.835
1262.797,93.264
1265.943,92.745
1269.054,92.283
1272.129,91.884
1275.170,91.551
1278.175,91.290
1281.147,91.106
1284.085,91.002
1286.990,90.985
1289.862,91.058
1292.704,91.221
1295.521,91.472
1298.318,91.807
1301.099,92.224
1303.869,92.719
1306.631,93.289
1309.392,93.932
1312.155,94.644
1314.925,95.422
1317.707,96.264
1320.504,97.167
1323.312,98.130
1326.098,99.167
1328.826,100.290
1331.462,101.511
1333.970,102.844
1336.314,104.300
1338.459,105.894
1340.369,107.638
1342.010,109.544
1343.345,111.625
1344.340,113.894
1344.991,116.349
1345.334,118.967
1345.410,121.724
1345.259,124.596
1344.921,127.560
1344.436,130.592
1343.844,133.667
1343.184,136.763
1342.497,139.855
1341.823,142.920
1341.203,145.933
1340.672,148.872
1340.234,151.728
1339.867,154.500
1339.548,157.188
1339.254,159.794
1338.965,162.316
1338.656,164.756
1338.306,167.113
1337.893,169.387
1337.394,171.578
1336.786,173.688
1336.070,175.718
1335.277,177.678
1334.443,179.576
1333.603,181.419
