X,Y
533.000,286.000
533.826,287.797
534.892,289.588
536.155,291.370
537.570,293.141
539.094,294.901
540.684,296.647
542.294,298.377
543.883,300.090
545.405,301.784
546.818,303.456
548.076,305.107
549.150,306.736
550.049,308.360
550.792,309.993
551.396,311.652
551.881,313.355
552.265,315.117
552.566,316.956
552.803,318.887
552.994,320.928
553.157,323.089
553.303,325.354
553.444,327.702
553.589,330.108
553.751,332.551
553.940,335.008
554.165,337.457
554.439,339.874
554.772,342.236
555.174,344.522
555.657,346.708
556.230,348.773
556.893,350.711
557.625,352.542
558.409,354.288
559.223,355.970
560.047,357.608
560.863,359.225
561.651,360.842
562.389,362.480
563.060,364.160
563.647,365.898
564.155,367.690
564.589,369.530
564.954,371.411
565.258,373.327
565.504,375.271
565.701,377.236
565.852,379.216
565.965,381.204
566.045,383.194
566.107,385.173
566.172,387.129
566.261,389.045
566.395,390.909
566.595,392.704
566.881,394.417
567.276,396.034
567.799,397.538
568.470,398.918
569.286,400.180
570.230,401.338
571.285,402.411
572.433,403.414
573.658,404.366
574.942,405.281
576.268,406.179
577.625,407.071
579.014,407.962
580.438,408.857
581.900,409.759
583.403,410.673
584.950,411.602
586.544,412.550
588.187,413.521
589.884,414.519
591.634,415.538
593.438,416.560
595.296,417.571
597.206,418.554
599.169,419.493
601.185,420.372
603.252,421.174
605.370,421.883
607.540,422.483
609.761,422.958
612.030,423.296
614.335,423.518
616.659,423.651
618.986,423.724
621.299,423.766
623.583,423.807
625.820,423.875
627.994,423.998
630.089,424.207
632.089,424.528
633.976,424.993
635.742,425.619
637.402,426.386
638.982,427.262
640.504,428.216
641.994,429.216
643.475,430.231
644.970,431.230
646.505,432.180
648.102,433.052
649.780,433.820
651.537,434.486
653.364,435.059
655.256,435.544
657.206,435.950
659.206,436.282
661.250,436.549
663.331,436.757
665.442,436.914
667.577,437.026
669.729,437.097
671.897,437.125
674.080,437.105
676.274,437.033
678.478,436.907
680.690,436.723
682.909,436.477
685.131,436.165
687.357,435.783
689.582,435.329
691.806,434.799
694.027,434.190
696.245,433.508
698.460,432.754
700.671,431.933
702.879,431.046
705.082,430.099
707.281,429.093
709.476,428.032
711.665,426.919
713.850,425.758
716.029,424.552
718.203,423.304
720.370,422.021
722.527,420.713
724.673,419.390
726.804,418.062
728.919,416.739
731.016,415.431
733.091,414.147
735.142,412.899
737.168,411.695
739.165,410.545
741.132,409.461
743.066,408.450
744.972,407.513
746.860,406.641
748.739,405.823
750.620,405.050
752.513,404.313
754.428,403.602
756.375,402.908
758.363,402.221
760.405,401.532
762.508,400.831
764.676,400.110
766.896,399.364
769.154,398.588
771.436,397.777
773.727,396.926
776.014,396.031
778.281,395.086
780.515,394.086
782.700,393.027
784.824,391.904
786.872,390.712
788.829,389.447
790.691,388.106
792.464,386.693
794.154,385.212
795.767,383.665
797.310,382.056
798.790,380.389
800.213,378.666
801.585,376.891
802.913,375.067
804.204,373.197
805.464,371.286
806.683,369.341
807.831,367.378
808.875,365.413
809.783,363.463
810.522,361.542
811.061,359.668
811.366,357.857
811.405,356.124
811.146,354.486
810.560,352.957
809.656,351.543
808.467,350.239
807.025,349.043
805.364,347.953
803.517,346.965
801.515,346.076
799.393,345.285
797.183,344.587
794.917,343.979
792.629,343.455
790.353,342.987
788.124,342.545
785.975,342.097
783.941,341.614
782.057,341.063
780.356,340.415
778.873,339.638
777.643,338.702
776.699,337.577
