X	Y
310.750	241.500
311.895	240.090
313.456	238.952
315.358	238.031
317.529	237.271
319.895	236.616
322.382	236.010
324.917	235.398
327.432	234.729
329.914	233.996
332.372	233.213
334.817	232.395
337.260	231.556
339.713	230.711
342.184	229.874
344.686	229.060
347.230	228.283
349.818	227.550
352.445	226.856
355.101	226.194
357.779	225.558
360.469	224.942
363.164	224.337
365.854	223.739
368.533	223.140
371.190	222.534
373.821	221.922
376.424	221.315
378.997	220.727
381.540	220.171
384.049	219.658
386.525	219.203
388.966	218.817
391.369	218.514
393.736	218.303
396.068	218.179
398.371	218.134
400.649	218.159
402.907	218.245
405.149	218.382
407.380	218.562
409.604	218.777
411.820	219.030
414.026	219.337
416.215	219.713
418.383	220.174
420.526	220.737
422.639	221.417
424.717	222.231
426.758	223.177
428.766	224.229
430.742	225.353
432.691	226.519
434.615	227.694
436.517	228.846
438.401	229.944
440.271	230.965
442.130	231.927
443.984	232.859
445.838	233.793
447.696	234.758
449.563	235.784
451.445	236.903
453.339	238.131
455.219	239.448
457.054	240.824
458.813	242.229
460.464	243.634
461.978	245.008
463.323	246.323
464.480	247.559
465.482	248.741
466.374	249.909
467.201	251.099
468.009	252.348
468.831	253.686
469.654	255.111
470.450	256.615
471.197	258.189
471.866	259.824
472.436	261.511
472.901	263.241
473.279	265.005
473.589	266.796
473.849	268.605
474.078	270.422
474.293	272.241
474.496	274.063
474.678	275.899
474.828	277.758
474.937	279.652
474.994	281.591
474.990	283.584
474.927	285.622
474.823	287.674
474.693	289.707
474.557	291.689
474.430	293.588
474.331	295.372
474.266	297.025
474.196	298.596
474.074	300.146
473.854	301.738
473.486	303.437
472.929	305.297
472.183	307.310
471.280	309.426
470.249	311.596
469.120	313.771
467.924	315.898
466.691	317.930
465.451	319.817
464.221	321.529
462.987	323.090
461.728	324.530
460.425	325.881
459.059	327.172
457.610	328.435
456.063	329.698
454.429	330.968
452.730	332.248
450.991	333.537
449.233	334.836
447.480	336.146
445.754	337.468
444.074	338.800
442.429	340.128
440.796	341.433
439.151	342.696
437.472	343.898
435.736	345.019
433.921	346.041
432.011	346.952
430.023	347.765
427.982	348.499
425.911	349.174
423.833	349.807
421.772	350.417
419.752	351.025
417.787	351.641
415.856	352.253
413.932	352.841
411.988	353.388
409.998	353.874
407.932	354.282
405.765	354.591
403.490	354.798
401.133	354.915
398.725	354.958
396.295	354.943
393.871	354.885
391.484	354.800
389.162	354.702
386.934	354.607
384.809	354.512
382.786	354.404
380.861	354.269
379.031	354.093
377.294	353.862
375.646	353.562
374.074	353.172
372.543	352.659
371.017	351.990
369.463	351.130
367.844	350.046
366.129	348.708
364.333	347.140
362.499	345.394
360.669	343.525
358.885	341.586
357.190	339.631
355.625	337.714
354.235	335.889
353.055	334.205
352.063	332.665
351.201	331.239
350.408	329.899
349.624	328.618
348.791	327.365
347.877	326.115
346.907	324.840
345.914	323.513
344.930	322.109
343.987	320.601
343.112	318.969
342.299	317.240
341.529	315.457
340.782	313.664
340.037	311.907
339.275	310.229
338.479	308.671
337.657	307.231
336.838	305.875
336.050	304.572
335.321	303.287
334.678	301.989
334.110	300.662
333.573	299.305
333.019	297.915
332.401	296.495
331.677	295.042
330.849	293.564
329.949	292.072
329.009	290.578
328.063	289.093
327.144	287.630
326.276	286.196
325.459	284.795
324.686	283.428
323.948	282.096
323.239	280.799
322.551	279.536
321.877	278.288
321.210	277.033
320.543	275.746
319.871	274.406
319.189	272.999
318.500	271.540
317.810	270.047
317.124	268.539
316.446	267.032
315.781	265.545
315.136	264.092
314.519	262.686
313.939	261.339
313.402	260.065
312.913	258.864
312.455	257.671
312.007	256.404
311.546	254.981
311.053	253.321
310.549	251.416
310.115	249.356
309.834	247.238
309.790	245.158
310.068	243.213
310.750	241.500
