X,Y
353.000,287.000
354.905,285.728
356.964,284.661
359.165,283.787
361.496,283.093
363.946,282.567
366.503,282.197
369.155,281.970
371.890,281.873
374.698,281.895
377.565,282.021
380.482,282.241
383.435,282.541
386.414,282.909
389.406,283.333
392.400,283.800
395.385,284.297
398.348,284.812
401.278,285.332
404.164,285.846
406.993,286.340
409.754,286.801
412.436,287.219
415.035,287.590
417.555,287.921
420.000,288.217
422.375,288.484
424.682,288.728
426.926,288.957
429.111,289.175
431.241,289.389
433.319,289.606
435.350,289.831
437.338,290.070
439.287,290.330
441.200,290.616
443.082,290.935
444.937,291.294
446.768,291.697
448.579,292.152
450.375,292.661
452.157,293.223
453.929,293.837
455.693,294.501
457.452,295.213
459.209,295.972
460.966,296.776
462.726,297.623
464.493,298.511
466.268,299.440
468.054,300.406
469.855,301.410
471.673,302.448
473.510,303.519
475.370,304.622
477.254,305.756
479.159,306.918
481.077,308.109
483.001,309.329
484.923,310.578
486.835,311.855
488.730,313.160
490.599,314.494
492.436,315.855
494.232,317.243
495.981,318.659
497.673,320.102
499.302,321.572
500.860,323.069
502.340,324.592
503.732,326.142
505.031,327.717
506.228,329.318
507.319,330.945
508.308,332.597
509.199,334.272
509.998,335.971
510.709,337.692
511.337,339.434
511.887,341.198
512.363,342.981
512.771,344.783
513.114,346.603
513.399,348.441
513.630,350.296
513.811,352.167
513.947,354.052
514.044,355.952
514.102,357.865
514.124,359.789
514.108,361.723
514.054,363.665
513.963,365.612
513.834,367.565
513.668,369.520
513.464,371.476
513.223,373.431
512.944,375.384
512.628,377.333
512.274,379.276
511.883,381.211
511.453,383.137
510.987,385.052
510.483,386.954
509.943,388.841
509.371,390.709
508.767,392.555
508.134,394.376
507.474,396.169
506.789,397.932
506.082,399.661
505.354,401.353
504.608,403.005
503.845,404.614
503.068,406.178
502.279,407.693
501.479,409.156
500.672,410.564
499.856,411.917
499.024,413.219
498.172,414.474
497.293,415.686
496.382,416.859
495.432,417.997
494.438,419.103
493.393,420.182
492.293,421.238
491.130,422.275
489.899,423.297
488.594,424.307
487.217,425.306
485.779,426.288
484.293,427.246
482.772,428.174
481.231,429.065
479.680,429.913
478.135,430.711
476.608,431.452
475.112,432.130
473.660,432.738
472.266,433.271
470.942,433.720
469.702,434.080
468.548,434.357
467.466,434.582
466.438,434.786
465.444,435.005
464.467,435.271
463.490,435.617
462.495,436.077
461.462,436.684
460.376,437.469
459.231,438.433
458.036,439.547
456.796,440.783
455.520,442.113
454.215,443.509
452.887,444.942
451.544,446.384
450.193,447.808
448.841,449.184
447.496,450.484
446.164,451.681
444.853,452.746
443.571,453.650
442.323,454.367
441.119,454.887
439.967,455.217
438.876,455.363
437.854,455.334
436.910,455.136
436.053,454.776
435.292,454.263
434.634,453.603
434.066,452.824
433.562,451.967
433.093,451.075
432.630,450.189
432.145,449.353
431.609,448.607
430.994,447.995
430.280,447.544
429.473,447.227
428.591,447.002
427.649,446.829
426.661,446.666
425.644,446.473
424.613,446.208
423.583,445.831
422.562,445.331
421.546,444.732
420.531,444.062
419.513,443.349
418.488,442.621
417.453,441.903
416.402,441.225
415.333,440.614
414.241,440.097
413.123,439.698
411.990,439.403
410.854,439.186
409.731,439.018
408.636,438.870
407.582,438.713
406.585,438.520
405.659,438.262
404.818,437.911
404.065,437.446
403.379,436.864
402.733,436.164
402.102,435.346
401.461,434.408
400.785,433.349
400.049,432.168
399.227,430.864
398.294,429.436
397.227,427.883
396.023,426.208
394.693,424.413
393.246,422.503
391.691,420.481
390.039,418.350
388.300,416.115
386.482,413.778
384.597,411.344
382.653,408.816
380.661,406.197
378.630,403.491
376.570,400.702
374.492,397.833
372.403,394.889
370.316,391.871
368.238,388.785
366.181,385.633
364.153,382.419
362.165,379.147
360.226,375.821
358.346,372.443
356.536,369.018
354.804,365.550
353.160,362.040
351.615,358.495
350.178,354.916
348.854,351.312
347.646,347.693
346.556,344.069
345.586,340.452
344.739,336.852
344.017,333.280
343.421,329.745
342.955,326.259
342.620,322.832
342.419,319.475
342.354,316.198
342.427,313.013
342.641,309.928
342.997,306.956
343.499,304.107
344.147,301.391
344.945,298.819
345.895,296.401
346.999,294.148
348.259,292.071
349.678,290.181
351.258,288.487
353.000,287.000
