X	Y
358.000	179.500
358.505	178.438
359.188	177.344
360.020	176.221
360.970	175.071
362.007	173.897
363.101	172.701
364.221	171.486
365.336	170.256
366.418	169.011
367.452	167.755
368.450	166.490
369.425	165.217
370.389	163.938
371.354	162.655
372.333	161.371
373.339	160.086
374.383	158.803
375.478	157.524
376.635	156.251
377.852	154.982
379.124	153.719
380.447	152.461
381.817	151.208
383.230	149.960
384.680	148.716
386.164	147.477
387.677	146.243
389.215	145.012
390.774	143.786
392.350	142.563
393.943	141.344
395.554	140.128
397.183	138.914
398.830	137.702
400.495	136.492
402.179	135.283
403.883	134.074
405.605	132.865
407.347	131.656
409.109	130.446
410.892	129.235
412.695	128.022
414.520	126.805
416.368	125.584
418.241	124.358
420.139	123.125
422.064	121.884
424.017	120.634
426.000	119.373
428.013	118.101
430.057	116.816
432.135	115.518
434.247	114.204
436.395	112.874
438.579	111.526
440.797	110.162
443.046	108.784
445.320	107.392
447.617	105.990
449.933	104.578
452.262	103.159
454.602	101.735
456.949	100.307
459.297	98.877
461.645	97.447
463.987	96.020
466.319	94.596
468.638	93.177
470.939	91.767
473.219	90.365
475.476	88.974
477.710	87.593
479.925	86.221
482.124	84.858
484.309	83.502
486.483	82.154
488.649	80.811
490.810	79.473
492.969	78.140
495.128	76.810
497.289	75.483
499.457	74.158
501.633	72.834
503.821	71.511
506.023	70.186
508.239	68.862
510.468	67.540
512.705	66.223
514.946	64.913
517.188	63.615
519.427	62.329
521.659	61.060
523.882	59.809
526.091	58.580
528.282	57.376
530.453	56.199
532.598	55.051
534.716	53.937
536.801	52.857
538.851	51.816
540.865	50.812
542.843	49.842
544.785	48.903
546.694	47.993
548.568	47.108
550.409	46.246
552.218	45.404
553.995	44.578
555.741	43.765
557.455	42.964
559.140	42.170
560.797	41.383
562.429	40.608
564.045	39.855
565.652	39.135
567.256	38.458
568.865	37.833
570.486	37.273
572.126	36.785
573.792	36.382
575.491	36.072
577.230	35.865
579.004	35.754
580.806	35.723
582.625	35.758
584.453	35.842
586.280	35.960
588.099	36.096
589.898	36.235
591.671	36.361
593.407	36.459
595.097	36.514
596.735	36.527
598.318	36.528
599.842	36.548
601.306	36.617
602.705	36.765
604.037	37.024
605.300	37.423
606.490	37.994
607.605	38.760
608.649	39.712
609.624	40.835
610.535	42.112
611.385	43.527
612.178	45.065
612.917	46.708
613.607	48.441
614.250	50.248
614.852	52.112
615.411	54.025
615.928	55.983
616.402	57.980
616.830	60.014
617.213	62.078
617.548	64.171
617.835	66.286
618.073	68.420
618.260	70.569
618.396	72.728
618.479	74.893
618.507	77.061
618.482	79.229
618.403	81.401
618.271	83.577
618.087	85.762
617.852	87.955
617.566	90.161
617.230	92.381
616.844	94.617
616.410	96.871
615.927	99.147
615.398	101.445
614.822	103.768
614.199	106.118
613.533	108.493
612.827	110.889
612.083	113.298
611.306	115.716
610.500	118.136
609.667	120.552
608.811	122.959
607.935	125.352
607.044	127.723
606.140	130.068
605.228	132.380
604.310	134.654
603.391	136.884
602.473	139.064
601.558	141.190
600.642	143.262
599.717	145.283
598.778	147.254
597.818	149.177
596.830	151.054
595.807	152.887
594.743	154.678
593.632	156.428
592.467	158.141
591.241	159.817
589.948	161.458
588.583	163.067
587.148	164.643
585.653	166.183
584.108	167.685
582.524	169.146
580.909	170.566
579.273	171.941
577.627	173.269
575.980	174.548
574.341	175.775
572.721	176.949
571.129	178.067
569.574	179.128
568.054	180.130
566.558	181.076
565.073	181.967
563.588	182.804
562.093	183.590
560.574	184.326
559.021	185.013
557.421	185.653
555.764	186.248
554.038	186.799
552.240	187.310
550.374	187.788
548.444	188.239
546.455	188.670
544.409	189.086
542.312	189.494
540.168	189.901
537.981	190.312
535.754	190.735
533.492	191.176
531.200	191.640
528.881	192.135
526.538	192.663
524.177	193.223
521.799	193.813
519.409	194.428
517.010	195.068
514.604	195.729
512.197	196.409
509.790	197.106
507.388	197.816
504.993	198.537
502.610	199.266
500.241	200.002
497.891	200.741
495.561	201.480
493.256	202.218
490.976	202.952
488.721	203.678
486.491	204.395
484.287	205.100
482.108	205.790
479.954	206.462
477.827	207.114
475.725	207.743
473.649	208.347
471.599	208.923
469.575	209.469
467.577	209.981
465.605	210.458
463.657	210.899
461.731	211.307
459.822	211.683
457.930	212.026
456.050	212.339
454.181	212.622
452.320	212.876
450.464	213.103
448.610	213.303
446.756	213.478
444.899	213.628
443.038	213.758
441.170	213.869
439.295	213.965
437.411	214.049
435.516	214.124
433.610	214.194
431.689	214.262
429.754	214.331
427.802	214.405
425.832	214.485
423.843	214.576
421.837	214.672
419.819	214.767
417.790	214.855
415.756	214.927
413.720	214.978
411.686	215.001
409.656	214.989
407.636	214.936
405.628	214.834
403.636	214.677
401.664	214.458
399.714	214.174
397.786	213.832
395.880	213.440
393.993	213.005
392.126	212.535
390.278	212.040
388.447	211.525
386.634	211.000
384.836	210.472
383.054	209.949
381.286	209.439
379.534	208.946
377.801	208.458
376.092	207.966
374.414	207.455
372.770	206.914
371.167	206.332
369.609	205.695
368.101	204.992
366.649	204.210
365.258	203.338
363.934	202.371
362.690	201.325
361.539	200.215
360.493	199.061
359.566	197.879
358.768	196.687
358.115	195.501
357.617	194.341
357.285	193.223
357.097	192.173
357.014	191.220
356.995	190.395
357.000	189.726
356.992	189.238
356.981	188.852
357.010	188.412
357.106	187.810
357.241	187.067
357.377	186.225
357.479	185.321
357.515	184.393
357.503	183.455
357.494	182.501
357.539	181.528
357.691	180.529
358.000	179.500
