X,Y
360.000,189.000
361.038,187.215
362.224,185.499
363.548,183.845
364.996,182.249
366.556,180.704
368.217,179.205
369.967,177.747
371.793,176.324
373.683,174.930
375.626,173.560
377.609,172.207
379.620,170.868
381.648,169.535
383.679,168.204
385.702,166.868
387.706,165.523
389.683,164.164
391.636,162.794
393.568,161.413
395.482,160.022
397.381,158.623
399.267,157.215
401.143,155.801
403.012,154.382
404.877,152.958
406.741,151.530
408.607,150.101
410.477,148.670
412.355,147.239
414.242,145.809
416.143,144.381
418.060,142.956
419.995,141.534
421.950,140.116
423.925,138.698
425.921,137.281
427.938,135.862
429.978,134.441
432.042,133.016
434.129,131.585
436.241,130.147
438.379,128.701
440.542,127.246
442.733,125.780
444.952,124.302
447.199,122.810
449.475,121.303
451.781,119.780
454.118,118.239
456.487,116.680
458.887,115.101
461.316,113.506
463.774,111.898
466.256,110.280
468.763,108.655
471.291,107.027
473.838,105.398
476.402,103.771
478.982,102.151
481.575,100.540
484.179,98.940
486.793,97.357
489.413,95.791
492.038,94.247
494.667,92.728
497.296,91.237
499.925,89.777
502.550,88.351
505.170,86.963
507.782,85.615
510.386,84.311
512.978,83.050
515.560,81.829
518.130,80.645
520.687,79.495
523.231,78.375
525.761,77.282
528.278,76.213
530.779,75.164
533.264,74.132
535.733,73.114
538.186,72.107
540.621,71.107
543.038,70.111
545.436,69.116
547.815,68.118
550.174,67.114
552.512,66.102
554.830,65.076
557.125,64.037
559.397,62.989
561.644,61.940
563.864,60.898
566.057,59.872
568.219,58.869
570.350,57.896
572.449,56.963
574.513,56.076
576.540,55.245
578.530,54.476
580.481,53.778
582.390,53.158
584.258,52.625
586.081,52.186
587.858,51.849
589.590,51.613
591.279,51.464
592.927,51.391
594.536,51.382
596.110,51.424
597.649,51.504
599.156,51.611
600.635,51.732
602.086,51.854
603.512,51.966
604.915,52.056
606.297,52.131
607.658,52.208
608.997,52.305
610.315,52.440
611.612,52.631
612.888,52.895
614.143,53.251
615.378,53.715
616.593,54.307
617.781,55.026
618.932,55.862
620.032,56.800
621.072,57.827
622.037,58.928
622.918,60.092
623.701,61.303
624.376,62.548
624.930,63.814
625.354,65.090
625.654,66.377
625.841,67.684
625.927,69.019
625.925,70.389
625.846,71.802
625.701,73.266
625.503,74.788
625.263,76.377
624.993,78.041
624.703,79.784
624.395,81.603
624.068,83.490
623.723,85.439
623.359,87.444
622.978,89.497
622.578,91.592
622.160,93.723
621.724,95.883
621.270,98.066
620.798,100.263
620.308,102.470
619.800,104.680
619.274,106.885
618.730,109.080
618.169,111.261
617.591,113.430
616.997,115.588
616.389,117.737
615.766,119.878
615.130,122.012
614.482,124.141
613.822,126.266
613.152,128.388
612.472,130.508
611.783,132.629
611.085,134.751
610.381,136.876
609.670,139.006
608.953,141.140
608.231,143.280
607.502,145.420
606.765,147.555
606.019,149.678
605.260,151.783
604.488,153.864
603.701,155.916
602.897,157.933
602.075,159.908
601.233,161.835
600.369,163.708
599.481,165.522
598.568,167.271
597.628,168.947
596.660,170.547
595.663,172.069
594.640,173.523
593.593,174.920
592.525,176.269
591.439,177.580
590.336,178.864
589.219,180.131
588.091,181.391
586.955,182.654
585.812,183.931
584.667,185.230
583.519,186.563
582.372,187.931
581.221,189.326
580.067,190.740
578.905,192.164
577.734,193.590
576.553,195.008
575.359,196.411
574.149,197.790
572.922,199.137
571.676,200.442
570.409,201.698
569.118,202.895
567.802,204.027
566.462,205.096
565.101,206.107
563.721,207.063
562.325,207.971
560.914,208.834
559.491,209.657
558.059,210.446
556.619,211.204
555.174,211.937
553.727,212.649
552.279,213.345
550.830,214.029
549.375,214.704
547.910,215.373
546.430,216.039
544.930,216.705
543.408,217.375
541.857,218.050
540.273,218.736
538.652,219.434
536.990,220.147
535.281,220.879
533.524,221.633
531.721,222.405
529.880,223.194
528.009,223.995
526.115,224.804
524.204,225.619
522.284,226.436
520.363,227.251
518.448,228.062
516.546,228.863
514.664,229.652
512.809,230.426
510.990,231.181
509.212,231.913
507.482,232.619
505.796,233.297
504.146,233.944
502.526,234.559
500.928,235.138
499.344,235.681
497.768,236.184
496.193,236.647
494.610,237.065
493.013,237.438
491.395,237.763
489.748,238.038
488.067,238.264
486.354,238.443
484.610,238.583
482.838,238.689
481.039,238.766
479.216,238.821
477.370,238.858
475.504,238.883
473.620,238.902
471.719,238.921
469.805,238.945
467.878,238.979
465.940,239.030
463.996,239.097
462.047,239.178
460.097,239.269
458.150,239.367
456.209,239.469
454.276,239.570
452.357,239.669
450.453,239.760
448.568,239.842
446.705,239.910
444.868,239.961
443.060,239.992
441.284,240.000
439.540,239.983
437.819,239.945
436.115,239.887
434.420,239.814
432.727,239.726
431.029,239.628
429.318,239.522
427.587,239.410
425.829,239.295
424.036,239.181
422.201,239.069
420.317,238.963
418.382,238.862
416.402,238.766
414.384,238.670
412.334,238.573
410.261,238.472
408.169,238.364
406.067,238.247
403.960,238.118
401.857,237.974
399.762,237.814
397.684,237.633
395.630,237.431
393.605,237.203
391.616,236.948
389.670,236.663
387.765,236.347
385.904,235.997
384.086,235.612
382.310,235.190
380.579,234.730
378.891,234.229
377.248,233.687
375.648,233.101
374.094,232.469
372.584,231.790
371.120,231.063
369.702,230.286
368.335,229.463
367.025,228.602
365.780,227.707
364.604,226.786
363.504,225.844
362.487,224.887
361.558,223.921
360.724,222.953
359.992,221.988
359.363,221.029
358.830,220.061
358.382,219.069
358.007,218.033
357.694,216.937
357.432,215.764
357.209,214.496
357.015,213.115
356.840,211.609
356.691,209.987
356.580,208.265
356.518,206.457
356.516,204.581
356.584,202.652
356.736,200.686
356.980,198.699
357.330,196.706
357.795,194.724
358.388,192.769
359.119,190.855
360.000,189.000
