X,Y
8.682,3.647
8.708,3.614
8.741,3.582
8.778,3.551
8.819,3.521
8.863,3.491
8.911,3.462
8.960,3.433
9.011,3.405
9.062,3.377
9.114,3.350
9.164,3.323
9.214,3.297
9.262,3.271
9.309,3.246
9.355,3.221
9.400,3.197
9.444,3.173
9.488,3.149
9.532,3.126
9.576,3.104
9.620,3.082
9.665,3.061
9.710,3.040
9.756,3.020
9.802,3.001
9.849,2.982
9.896,2.963
9.944,2.944
9.992,2.925
10.040,2.906
10.089,2.887
10.138,2.867
10.187,2.847
10.236,2.827
10.286,2.806
10.336,2.785
10.385,2.763
10.435,2.742
10.485,2.721
10.534,2.700
10.584,2.679
10.634,2.658
10.683,2.638
10.732,2.619
10.781,2.601
10.830,2.583
10.879,2.566
10.928,2.550
10.977,2.534
11.026,2.519
11.075,2.504
11.124,2.490
11.174,2.477
11.224,2.464
11.275,2.451
11.326,2.439
11.378,2.427
11.430,2.416
11.482,2.405
11.535,2.394
11.589,2.383
11.642,2.373
11.696,2.364
11.750,2.354
11.804,2.345
11.858,2.336
11.912,2.328
11.966,2.320
12.020,2.313
12.075,2.305
12.129,2.299
12.184,2.292
12.239,2.286
12.294,2.280
12.350,2.275
12.407,2.270
12.464,2.266
12.521,2.261
12.580,2.258
12.639,2.254
12.699,2.251
12.759,2.249
12.820,2.246
12.881,2.244
12.943,2.242
13.004,2.241
13.065,2.240
13.126,2.238
13.187,2.237
13.247,2.236
13.306,2.236
13.365,2.235
13.423,2.234
13.481,2.234
13.537,2.233
13.592,2.233
13.647,2.233
13.701,2.232
13.753,2.233
13.805,2.233
13.855,2.233
13.905,2.234
13.953,2.235
14.001,2.236
14.047,2.238
14.093,2.241
14.138,2.244
14.183,2.247
14.228,2.252
14.273,2.258
14.319,2.266
14.365,2.275
14.411,2.285
14.459,2.297
14.506,2.311
14.554,2.328
14.601,2.346
14.646,2.367
14.691,2.391
14.733,2.417
14.773,2.446
14.810,2.478
14.843,2.514
14.873,2.553
14.899,2.595
14.920,2.639
14.938,2.685
14.953,2.733
14.963,2.782
14.969,2.831
14.972,2.880
14.971,2.929
14.966,2.977
14.957,3.023
14.944,3.067
14.930,3.111
14.913,3.153
14.896,3.195
14.878,3.236
14.861,3.276
14.845,3.317
14.831,3.358
14.820,3.399
14.812,3.441
14.807,3.483
14.804,3.526
14.802,3.569
14.802,3.614
14.802,3.659
14.802,3.705
14.801,3.752
14.800,3.800
14.796,3.850
14.791,3.900
14.785,3.951
14.777,4.002
14.769,4.054
14.759,4.106
14.749,4.158
14.739,4.210
14.728,4.262
14.718,4.313
14.707,4.364
14.698,4.413
14.688,4.462
14.678,4.509
14.668,4.556
14.656,4.602
14.643,4.646
14.629,4.690
14.612,4.732
14.592,4.774
14.569,4.814
14.543,4.853
14.514,4.892
14.482,4.929
14.447,4.965
14.411,5.001
14.374,5.036
14.335,5.070
14.296,5.104
14.258,5.138
14.219,5.171
14.182,5.204
14.146,5.237
14.111,5.270
14.077,5.301
14.043,5.330
14.008,5.357
13.974,5.382
13.938,5.403
13.901,5.420
13.863,5.434
13.823,5.442
13.781,5.446
13.738,5.446
13.694,5.444
13.649,5.439
13.604,5.433
13.560,5.426
13.516,5.420
13.473,5.413
13.431,5.408
13.391,5.405
13.351,5.402
13.312,5.400
13.273,5.399
13.233,5.397
13.192,5.395
13.150,5.392
13.106,5.388
13.060,5.382
13.012,5.376
12.963,5.368
12.913,5.360
12.864,5.352
12.815,5.343
12.767,5.336
12.721,5.328
12.678,5.322
12.637,5.318
12.600,5.314
12.566,5.313
12.534,5.312
12.502,5.313
12.471,5.314
12.438,5.315
12.404,5.317
12.367,5.318
12.328,5.320
12.287,5.321
12.243,5.321
12.199,5.321
12.153,5.321
12.107,5.321
12.061,5.319
12.015,5.318
11.970,5.316
11.926,5.313
11.882,5.311
11.839,5.308
11.796,5.305
11.753,5.302
11.710,5.299
11.668,5.297
11.624,5.295
11.581,5.293
11.537,5.293
11.493,5.292
11.448,5.293
11.402,5.293
11.356,5.293
11.310,5.294
11.263,5.294
11.216,5.294
11.168,5.294
11.120,5.293
11.071,5.291
11.024,5.288
10.978,5.282
10.935,5.274
10.895,5.263
10.859,5.247
10.828,5.228
10.802,5.203
10.783,5.173
10.769,5.139
10.758,5.103
10.750,5.065
10.741,5.028
10.732,4.993
10.719,4.961
10.701,4.936
10.677,4.916
10.648,4.902
10.615,4.892
10.577,4.885
10.536,4.881
10.491,4.877
10.445,4.874
10.396,4.870
10.347,4.864
10.297,4.857
10.246,4.848
10.195,4.838
10.144,4.826
10.094,4.814
10.045,4.801
9.997,4.788
9.950,4.774
9.906,4.760
9.863,4.747
9.823,4.733
9.785,4.719
9.747,4.706
9.711,4.693
9.674,4.679
9.637,4.665
9.599,4.652
9.560,4.638
9.518,4.623
9.475,4.608
9.430,4.593
9.384,4.578
9.337,4.563
9.290,4.546
9.243,4.530
9.196,4.513
9.149,4.496
9.103,4.479
9.058,4.461
9.015,4.442
8.973,4.423
8.933,4.402
8.895,4.381
8.859,4.358
8.826,4.333
8.795,4.306
8.767,4.277
8.742,4.245
8.721,4.211
8.702,4.175
8.685,4.137
8.671,4.098
8.660,4.058
8.650,4.018
8.642,3.977
8.636,3.937
8.631,3.898
8.628,3.860
8.627,3.822
8.629,3.785
8.635,3.749
8.646,3.714
8.661,3.680
8.682,3.647
