X	Y
350.000	170.000
351.199	169.365
352.450	168.661
353.750	167.913
355.097	167.146
356.488	166.384
357.921	165.651
359.391	164.971
360.898	164.370
362.437	163.871
364.006	163.483
365.605	163.190
367.232	162.970
368.885	162.804
370.564	162.671
372.267	162.551
373.993	162.424
375.741	162.269
377.509	162.067
379.296	161.799
381.102	161.464
382.928	161.074
384.775	160.638
386.642	160.166
388.531	159.668
390.443	159.155
392.377	158.636
394.334	158.123
396.316	157.624
398.323	157.151
400.354	156.712
402.408	156.309
404.482	155.935
406.570	155.587
408.670	155.260
410.778	154.947
412.888	154.644
414.999	154.347
417.105	154.049
419.203	153.746
421.289	153.434
423.359	153.106
425.410	152.758
427.442	152.390
429.457	152.003
431.459	151.598
433.449	151.178
435.430	150.743
437.405	150.296
439.377	149.838
441.347	149.371
443.320	148.897
445.297	148.416
447.281	147.931
449.274	147.443
451.282	146.949
453.307	146.448
455.353	145.938
457.425	145.417
459.526	144.883
461.661	144.333
463.832	143.767
466.045	143.181
468.303	142.574
470.610	141.944
472.969	141.289
475.386	140.608
477.856	139.899
480.373	139.168
482.928	138.415
485.516	137.643
488.127	136.857
490.754	136.057
493.390	135.246
496.028	134.428
498.658	133.605
501.275	132.779
503.871	131.954
506.437	131.132
508.966	130.315
511.451	129.507
513.885	128.709
516.264	127.925
518.594	127.154
520.881	126.398
523.129	125.659
525.344	124.935
527.532	124.230
529.698	123.543
531.847	122.875
533.986	122.228
536.119	121.602
538.252	120.999
540.390	120.419
542.540	119.863
544.704	119.332
546.885	118.826
549.083	118.345
551.300	117.890
553.537	117.461
555.796	117.057
558.077	116.680
560.382	116.329
562.712	116.004
565.068	115.706
567.451	115.435
569.863	115.191
572.304	114.975
574.775	114.786
577.267	114.625
579.773	114.492
582.285	114.389
584.794	114.316
587.293	114.274
589.774	114.263
592.228	114.283
594.648	114.336
597.026	114.421
599.352	114.541
601.621	114.694
603.822	114.882
605.949	115.105
607.999	115.363
609.973	115.656
611.873	115.982
613.703	116.341
615.465	116.731
617.160	117.152
618.792	117.603
620.363	118.083
621.875	118.591
623.330	119.125
624.731	119.692
626.075	120.305
627.363	120.981
628.594	121.737
629.765	122.589
630.877	123.553
631.928	124.647
632.918	125.886
633.843	127.282
634.693	128.818
635.452	130.466
636.105	132.201
636.640	133.996
637.040	135.824
637.292	137.660
637.381	139.477
637.293	141.247
637.013	142.946
636.533	144.552
635.879	146.073
635.086	147.524
634.186	148.918
633.214	150.270
632.204	151.595
631.190	152.907
630.206	154.221
629.286	155.552
628.461	156.913
627.734	158.307
627.091	159.730
626.516	161.179
625.992	162.650
625.505	164.138
625.038	165.641
624.576	167.154
624.104	168.673
623.607	170.194
623.069	171.706
622.479	173.196
621.823	174.650
621.089	176.055
620.264	177.397
619.334	178.663
618.286	179.839
617.109	180.912
615.792	181.871
614.346	182.716
612.788	183.453
611.136	184.086
609.406	184.621
607.617	185.062
605.784	185.415
603.924	185.684
602.056	185.875
600.196	185.992
598.358	186.040
596.539	186.030
594.730	185.971
592.920	185.874
591.102	185.749
589.266	185.606
587.403	185.455
585.503	185.308
583.558	185.173
581.557	185.062
579.493	184.985
577.360	184.947
575.167	184.945
572.923	184.975
570.636	185.031
568.314	185.111
565.966	185.208
563.602	185.319
561.229	185.439
558.856	185.563
556.492	185.688
554.146	185.809
551.826	185.920
549.541	186.019
547.296	186.103
545.090	186.179
542.918	186.254
540.779	186.336
538.668	186.432
536.582	186.550
534.520	186.696
532.477	186.879
530.450	187.106
528.437	187.383
526.433	187.719
524.437	188.120
522.445	188.589
520.452	189.114
518.455	189.685
516.450	190.291
514.434	190.921
512.401	191.563
510.349	192.208
508.273	192.843
506.170	193.458
504.035	194.042
501.865	194.583
499.656	195.072
497.405	195.501
495.114	195.879
492.787	196.217
490.425	196.523
488.031	196.809
485.608	197.085
483.159	197.360
480.685	197.644
478.190	197.948
475.676	198.282
473.146	198.656
470.602	199.080
468.047	199.564
465.483	200.118
462.913	200.745
460.338	201.435
457.758	202.173
455.175	202.948
452.588	203.745
449.999	204.550
447.410	205.352
444.819	206.136
442.229	206.890
439.641	207.600
437.055	208.252
434.471	208.834
431.892	209.332
429.317	209.733
426.747	210.023
424.186	210.199
421.644	210.281
419.133	210.294
416.664	210.266
414.249	210.222
411.899	210.187
409.626	210.188
407.442	210.251
405.357	210.401
403.385	210.665
401.536	211.068
399.822	211.636
398.254	212.394
396.824	213.327
395.505	214.377
394.270	215.487
393.090	216.598
391.938	217.653
390.787	218.593
389.608	219.360
388.373	219.896
387.058	220.148
385.663	220.112
384.205	219.814
382.700	219.280
381.164	218.537
379.612	217.610
378.062	216.525
376.530	215.308
375.031	213.985
373.582	212.583
372.188	211.129
370.838	209.655
369.516	208.192
368.210	206.774
366.904	205.431
365.584	204.197
364.237	203.101
362.848	202.178
361.403	201.458
359.888	200.974
358.295	200.737
356.634	200.697
354.918	200.790
353.163	200.952
351.382	201.117
349.589	201.224
347.798	201.207
346.024	201.002
344.280	200.546
342.581	199.775
340.943	198.661
339.389	197.251
337.942	195.597
336.626	193.753
335.463	191.772
334.476	189.709
333.689	187.615
333.124	185.545
332.806	183.551
332.756	181.688
332.998	180.009
333.543	178.554
334.353	177.313
335.377	176.261
336.565	175.376
337.867	174.633
339.231	174.008
340.607	173.478
341.945	173.018
343.204	172.606
344.391	172.221
345.529	171.843
346.638	171.452
347.739	171.027
348.852	170.550
350.000	170.000
