X,Y
3.363,1.745
3.372,1.736
3.382,1.728
3.395,1.722
3.409,1.716
3.424,1.711
3.441,1.707
3.458,1.703
3.476,1.699
3.494,1.695
3.512,1.691
3.530,1.687
3.549,1.682
3.567,1.676
3.586,1.671
3.605,1.665
3.623,1.658
3.642,1.651
3.661,1.643
3.680,1.635
3.698,1.626
3.717,1.617
3.736,1.607
3.755,1.597
3.774,1.587
3.792,1.576
3.811,1.565
3.831,1.554
3.850,1.543
3.869,1.532
3.888,1.522
3.908,1.512
3.928,1.502
3.947,1.493
3.967,1.484
3.987,1.475
4.008,1.467
4.028,1.459
4.048,1.452
4.068,1.444
4.089,1.436
4.109,1.429
4.129,1.421
4.149,1.413
4.168,1.405
4.188,1.397
4.207,1.388
4.226,1.380
4.245,1.370
4.264,1.361
4.283,1.351
4.302,1.341
4.322,1.331
4.341,1.321
4.360,1.311
4.380,1.301
4.399,1.291
4.419,1.280
4.440,1.270
4.460,1.260
4.481,1.250
4.501,1.240
4.522,1.230
4.543,1.220
4.563,1.211
4.584,1.202
4.604,1.193
4.624,1.184
4.643,1.176
4.662,1.168
4.681,1.161
4.699,1.154
4.717,1.148
4.735,1.141
4.752,1.135
4.770,1.129
4.788,1.123
4.805,1.117
4.824,1.111
4.842,1.105
4.861,1.099
4.881,1.092
4.901,1.085
4.921,1.078
4.942,1.071
4.963,1.064
4.984,1.056
5.005,1.049
5.027,1.042
5.048,1.034
5.068,1.027
5.089,1.020
5.109,1.013
5.128,1.006
5.148,0.999
5.166,0.993
5.184,0.987
5.202,0.981
5.220,0.975
5.237,0.970
5.254,0.964
5.271,0.960
5.288,0.955
5.305,0.951
5.321,0.947
5.338,0.943
5.355,0.940
5.372,0.938
5.388,0.935
5.405,0.933
5.422,0.932
5.438,0.931
5.454,0.931
5.470,0.932
5.486,0.933
5.502,0.934
5.518,0.936
5.534,0.938
5.551,0.940
5.568,0.943
5.586,0.945
5.604,0.948
5.624,0.951
5.645,0.953
5.666,0.955
5.688,0.958
5.710,0.960
5.732,0.963
5.753,0.967
5.773,0.971
5.792,0.976
5.810,0.981
5.826,0.988
5.839,0.997
5.850,1.006
5.858,1.017
5.864,1.029
5.868,1.042
5.871,1.056
5.872,1.070
5.873,1.084
5.873,1.098
5.872,1.113
5.872,1.127
5.871,1.141
5.871,1.156
5.870,1.171
5.870,1.186
5.871,1.202
5.872,1.218
5.874,1.234
5.876,1.252
5.879,1.269
5.881,1.288
5.884,1.306
5.886,1.325
5.888,1.344
5.888,1.364
5.888,1.383
5.886,1.402
5.882,1.421
5.877,1.440
5.870,1.459
5.861,1.477
5.851,1.495
5.840,1.513
5.828,1.530
5.815,1.547
5.802,1.563
5.789,1.579
5.775,1.595
5.762,1.610
5.749,1.624
5.736,1.638
5.723,1.652
5.711,1.664
5.698,1.676
5.685,1.687
5.672,1.697
5.657,1.707
5.642,1.715
5.626,1.722
5.608,1.729
5.589,1.734
5.570,1.738
5.549,1.742
5.527,1.745
5.504,1.747
5.481,1.749
5.457,1.751
5.433,1.753
5.409,1.755
5.384,1.757
5.359,1.760
5.334,1.763
5.310,1.767
5.285,1.771
5.261,1.776
5.237,1.782
5.213,1.787
5.190,1.793
5.167,1.799
5.143,1.805
5.120,1.811
5.098,1.816
5.075,1.821
5.052,1.826
5.030,1.830
5.008,1.834
4.986,1.836
4.964,1.838
4.943,1.839
4.921,1.840
4.899,1.841
4.878,1.841
4.856,1.841
4.835,1.841
4.814,1.841
4.792,1.841
4.770,1.842
4.749,1.843
4.727,1.844
4.705,1.846
4.683,1.849
4.661,1.851
4.639,1.854
4.617,1.858
4.594,1.861
4.572,1.865
4.550,1.868
4.527,1.872
4.504,1.876
4.482,1.879
4.459,1.883
4.436,1.886
4.413,1.889
4.391,1.892
4.368,1.895
4.345,1.898
4.322,1.901
4.300,1.903
4.278,1.906
4.256,1.909
4.234,1.912
4.212,1.916
4.191,1.919
4.170,1.923
4.149,1.927
4.128,1.931
4.108,1.935
4.088,1.940
4.068,1.945
4.048,1.950
4.028,1.955
4.009,1.960
3.989,1.966
3.969,1.972
3.949,1.978
3.929,1.984
3.909,1.991
3.888,1.997
3.868,2.004
3.848,2.010
3.828,2.017
3.808,2.023
3.789,2.029
3.769,2.035
3.751,2.040
3.732,2.045
3.715,2.049
3.698,2.053
3.681,2.056
3.665,2.059
3.648,2.061
3.632,2.062
3.615,2.063
3.598,2.063
3.580,2.062
3.562,2.060
3.542,2.058
3.522,2.055
3.501,2.051
3.480,2.046
3.459,2.040
3.439,2.033
3.419,2.026
3.401,2.017
3.385,2.008
3.371,1.998
3.359,1.987
3.350,1.976
3.344,1.963
3.340,1.950
3.338,1.936
3.338,1.921
3.339,1.906
3.340,1.891
3.342,1.875
3.343,1.859
3.344,1.843
3.345,1.827
3.345,1.811
3.346,1.796
3.348,1.782
3.351,1.768
3.356,1.756
3.363,1.745
