X	Y
1342.000	842.000
1342.136	844.021
1343.377	846.583
1345.509	849.585
1348.315	852.925
1351.582	856.502
1355.092	860.215
1358.631	863.963
1361.983	867.643
1364.936	871.156
1367.403	874.436
1369.499	877.469
1371.351	880.247
1373.090	882.761
1374.844	885.004
1376.744	886.966
1378.915	888.641
1381.396	890.073
1384.106	891.374
1386.959	892.661
1389.868	894.049
1392.747	895.655
1395.508	897.595
1398.078	899.963
1400.472	902.703
1402.745	905.695
1404.950	908.815
1407.143	911.944
1409.377	914.960
1411.708	917.740
1414.190	920.165
1416.860	922.162
1419.698	923.827
1422.676	925.286
1425.762	926.664
1428.927	928.090
1432.141	929.688
1435.373	931.586
1438.598	933.889
1441.810	936.539
1445.016	939.411
1448.223	942.378
1451.435	945.311
1454.660	948.086
1457.904	950.573
1461.172	952.647
1464.471	954.180
1467.808	955.107
1471.188	955.521
1474.621	955.540
1478.113	955.285
1481.671	954.875
1485.304	954.429
1489.017	954.066
1492.816	953.895
1496.679	953.926
1500.572	954.116
1504.459	954.421
1508.304	954.799
1512.074	955.206
1515.732	955.600
1519.244	955.937
1522.580	956.175
1525.760	956.279
1528.828	956.218
1531.825	955.960
1534.796	955.474
1537.782	954.728
1540.827	953.691
1543.946	952.365
1547.102	950.812
1550.255	949.098
1553.363	947.292
1556.385	945.462
1559.278	943.675
1562.002	941.999
1564.527	940.479
1566.867	939.070
1569.048	937.703
1571.096	936.310
1573.037	934.822
1574.897	933.174
1576.672	931.356
1578.332	929.420
1579.845	927.419
1581.180	925.405
1582.305	923.432
1583.282	921.522
1584.333	919.641
1585.694	917.753
1587.603	915.819
1590.299	913.802
1593.936	911.678
1598.429	909.469
1603.645	907.203
1609.451	904.911
1615.714	902.621
1622.303	900.363
1629.085	898.166
1635.927	896.059
1642.697	894.073
1649.262	892.235
1655.490	890.575
1661.249	889.123
1666.405	887.908
1670.853	886.929
1674.571	886.091
1677.554	885.280
1679.796	884.382
1681.290	883.283
1682.032	881.870
1682.102	880.089
1681.849	878.077
1681.675	876.004
1681.983	874.045
1683.082	872.333
1684.884	870.831
1687.193	869.458
1689.813	868.133
1692.548	866.774
1695.208	865.302
1697.726	863.689
1700.182	861.962
1702.658	860.152
1705.239	858.292
1708.009	856.410
1711.051	854.539
1714.436	852.705
1718.109	850.903
1721.939	849.105
1725.793	847.284
1729.542	845.413
1733.052	843.466
1736.194	841.415
1738.835	839.233
1740.850	836.895
1742.258	834.401
1743.235	831.782
1743.969	829.072
1744.645	826.302
1745.449	823.504
1746.564	820.713
1748.068	817.953
1749.924	815.249
1752.091	812.621
1754.526	810.092
1757.188	807.682
1760.033	805.415
1763.020	803.310
1766.111	801.365
1769.273	799.539
1772.476	797.786
1775.688	796.064
1778.876	794.326
1782.011	792.530
1785.060	790.629
1787.993	788.583
1790.792	786.372
1793.449	783.994
1795.953	781.446
1798.297	778.725
1800.469	775.827
1802.461	772.750
1804.263	769.490
1805.870	766.057
1807.287	762.493
1808.518	758.844
1809.571	755.156
1810.450	751.475
1811.163	747.849
1811.714	744.323
1812.109	740.943
1812.343	737.724
1812.392	734.626
1812.229	731.607
1811.830	728.624
1811.168	725.632
1810.217	722.591
1808.954	719.462
1807.379	716.259
1805.498	713.017
1803.318	709.769
1800.848	706.551
1798.095	703.397
1795.066	700.341
1791.770	697.419
1788.212	694.662
1784.396	692.075
1780.318	689.629
1775.975	687.297
1771.364	685.049
1766.480	682.855
1761.321	680.689
1755.884	678.519
1750.164	676.319
1744.158	674.057
1737.864	671.707
1731.277	669.239
1724.395	666.625
1717.239	663.864
1709.849	660.977
1702.267	657.987
1694.535	654.920
1686.696	651.796
1678.790	648.641
1670.861	645.477
1662.949	642.328
1655.098	639.217
1647.349	636.167
1639.743	633.201
1632.324	630.344
1625.132	627.617
1618.210	625.046
1611.600	622.652
1605.344	620.460
1599.477	618.487
1593.986	616.721
1588.833	615.131
1583.982	613.686
1579.395	612.356
1575.034	611.111
1570.861	609.919
1566.841	608.751
1562.934	607.576
1559.105	606.364
1555.316	605.088
1551.548	603.759
1547.789	602.411
1544.028	601.077
1540.254	599.791
1536.455	598.586
1532.621	597.495
1528.740	596.552
1524.801	595.791
1520.808	595.228
1516.786	594.857
1512.765	594.667
1508.773	594.646
1504.841	594.785
1500.996	595.073
1497.268	595.500
1493.686	596.055
1490.258	596.723
1486.933	597.482
1483.647	598.303
1480.337	599.160
1476.938	600.028
1473.388	600.879
1469.622	601.687
1465.581	602.427
1461.272	603.097
1456.754	603.713
1452.087	604.292
1447.332	604.851
1442.550	605.407
1437.800	605.977
1433.144	606.577
1428.642	607.224
1424.354	607.936
1420.327	608.728
1416.536	609.619
1412.931	610.626
1409.465	611.765
1406.088	613.054
1402.752	614.511
1399.408	616.153
1396.007	617.996
1392.511	620.042
1388.928	622.223
1385.274	624.455
1381.566	626.653
1377.823	628.733
1374.061	630.610
1370.298	632.201
1366.552	633.421
1362.840	634.187
1359.180	634.506
1355.593	634.535
1352.099	634.444
1348.719	634.401
1345.472	634.577
1342.381	635.141
1339.464	636.262
1336.745	638.040
1334.254	640.410
