X,Y
18.784,11.765
18.800,11.699
18.821,11.633
18.847,11.566
18.879,11.500
18.915,11.434
18.955,11.368
18.999,11.301
19.047,11.235
19.098,11.169
19.153,11.102
19.210,11.036
19.269,10.970
19.330,10.903
19.394,10.837
19.458,10.771
19.524,10.705
19.591,10.639
19.658,10.573
19.725,10.507
19.792,10.442
19.858,10.376
19.924,10.311
19.989,10.245
20.053,10.180
20.116,10.115
20.178,10.050
20.239,9.986
20.300,9.921
20.360,9.856
20.419,9.792
20.478,9.727
20.537,9.663
20.595,9.598
20.653,9.534
20.711,9.469
20.768,9.405
20.826,9.340
20.884,9.276
20.942,9.211
21.000,9.146
21.058,9.082
21.117,9.017
21.176,8.952
21.236,8.887
21.296,8.822
21.357,8.756
21.418,8.691
21.480,8.625
21.543,8.560
21.606,8.494
21.669,8.428
21.733,8.362
21.798,8.297
21.863,8.231
21.928,8.165
21.993,8.099
22.059,8.034
22.125,7.968
22.192,7.903
22.258,7.837
22.325,7.772
22.391,7.707
22.458,7.642
22.525,7.578
22.592,7.513
22.659,7.449
22.726,7.385
22.792,7.322
22.859,7.258
22.925,7.195
22.992,7.133
23.058,7.070
23.124,7.008
23.189,6.946
23.255,6.884
23.320,6.822
23.386,6.760
23.450,6.699
23.515,6.637
23.580,6.576
23.644,6.514
23.708,6.453
23.771,6.391
23.835,6.329
23.898,6.267
23.960,6.205
24.023,6.143
24.085,6.081
24.147,6.018
24.208,5.955
24.269,5.892
24.330,5.828
24.390,5.764
24.451,5.699
24.510,5.635
24.570,5.570
24.629,5.504
24.689,5.439
24.748,5.373
24.807,5.307
24.867,5.241
24.927,5.175
24.986,5.109
25.047,5.043
25.107,4.977
25.168,4.912
25.229,4.846
25.291,4.780
25.354,4.715
25.417,4.650
25.481,4.585
25.546,4.520
25.611,4.456
25.678,4.392
25.745,4.328
25.814,4.265
25.883,4.203
25.954,4.141
26.025,4.079
26.098,4.018
26.171,3.957
26.244,3.897
26.319,3.837
26.393,3.778
26.468,3.719
26.544,3.660
26.620,3.602
26.695,3.544
26.771,3.487
26.847,3.430
26.923,3.373
26.998,3.317
27.073,3.261
27.148,3.206
27.223,3.151
27.296,3.096
27.370,3.041
27.442,2.987
27.514,2.934
27.585,2.880
27.655,2.827
27.724,2.774
27.792,2.722
27.859,2.670
27.926,2.618
27.992,2.567
28.057,2.516
28.122,2.466
28.187,2.416
28.252,2.367
28.317,2.318
28.381,2.270
28.445,2.223
28.510,2.176
28.575,2.130
28.640,2.085
28.706,2.040
28.772,1.996
28.838,1.953
28.906,1.911
28.974,1.870
29.043,1.830
29.112,1.790
