X	Y
26.769	13.407
26.768	13.344
26.775	13.276
26.788	13.204
26.807	13.128
26.831	13.051
26.859	12.973
26.892	12.894
26.928	12.817
26.966	12.742
27.006	12.671
27.048	12.603
27.091	12.539
27.136	12.477
27.182	12.417
27.229	12.359
27.277	12.302
27.326	12.245
27.376	12.188
27.427	12.130
27.479	12.070
27.531	12.010
27.584	11.948
27.637	11.885
27.692	11.822
27.747	11.757
27.803	11.693
27.859	11.627
27.917	11.562
27.975	11.496
28.034	11.431
28.094	11.365
28.154	11.300
28.215	11.236
28.277	11.172
28.339	11.109
28.401	11.048
28.463	10.987
28.525	10.928
28.587	10.871
28.649	10.816
28.711	10.762
28.772	10.710
28.834	10.659
28.896	10.610
28.958	10.560
29.022	10.511
29.086	10.460
29.152	10.409
29.220	10.356
29.289	10.302
29.361	10.244
29.435	10.184
29.511	10.122
29.588	10.059
29.666	9.993
29.746	9.927
29.826	9.861
29.906	9.795
29.986	9.729
30.065	9.663
30.144	9.599
30.221	9.537
30.297	9.477
30.372	9.420
30.445	9.365
30.516	9.311
30.587	9.260
30.657	9.209
30.727	9.159
30.798	9.109
30.869	9.059
30.941	9.009
31.014	8.957
31.090	8.904
31.167	8.850
31.246	8.793
31.326	8.735
31.408	8.676
31.492	8.615
31.576	8.553
31.660	8.490
31.745	8.427
31.830	8.362
31.914	8.297
31.998	8.232
32.081	8.166
32.163	8.100
32.243	8.035
32.323	7.969
32.402	7.904
32.480	7.839
32.558	7.774
32.636	7.710
32.714	7.647
32.793	7.584
32.873	7.523
32.954	7.462
33.037	7.402
33.122	7.343
33.208	7.285
33.297	7.228
33.389	7.173
33.481	7.119
33.575	7.066
33.670	7.014
33.766	6.963
33.862	6.913
33.958	6.864
34.054	6.817
34.149	6.770
34.244	6.724
34.337	6.679
34.428	6.635
34.518	6.591
34.606	6.549
34.692	6.508
34.778	6.467
34.862	6.427
34.946	6.389
35.028	6.351
35.111	6.314
35.193	6.278
35.275	6.244
35.357	6.210
35.440	6.178
35.523	6.146
35.606	6.116
35.690	6.087
35.774	6.060
35.859	6.035
35.944	6.011
36.030	5.989
36.115	5.969
36.201	5.951
36.288	5.935
36.374	5.922
36.461	5.911
36.547	5.902
36.633	5.895
36.718	5.890
36.802	5.886
36.884	5.884
36.964	5.883
37.042	5.883
37.117	5.884
37.190	5.885
37.259	5.888
37.325	5.893
37.389	5.901
37.450	5.914
37.509	5.933
37.566	5.958
37.621	5.993
37.675	6.036
37.727	6.090
37.777	6.152
37.824	6.222
37.870	6.299
37.913	6.381
37.953	6.468
37.990	6.558
38.024	6.650
38.054	6.744
38.080	6.838
38.102	6.931
38.121	7.023
38.135	7.113
38.147	7.203
38.155	7.293
38.162	7.382
38.167	7.472
38.171	7.563
38.174	7.655
38.177	7.749
38.180	7.846
