X,Y
28.551,19.855
28.672,19.699
28.856,19.534
29.093,19.361
29.375,19.183
29.693,19.004
30.036,18.824
30.397,18.647
30.766,18.476
31.135,18.312
31.493,18.158
31.833,18.017
32.154,17.890
32.459,17.774
32.753,17.669
33.037,17.574
33.317,17.489
33.596,17.413
33.876,17.344
34.162,17.282
34.458,17.226
34.764,17.176
35.078,17.133
35.398,17.097
35.722,17.070
36.048,17.052
36.373,17.044
36.696,17.048
37.013,17.064
37.322,17.093
37.623,17.136
37.915,17.192
38.201,17.259
38.483,17.335
38.763,17.419
39.045,17.510
39.329,17.604
39.620,17.701
39.918,17.800
40.225,17.897
40.542,17.993
40.866,18.089
41.196,18.185
41.528,18.281
41.862,18.379
42.195,18.477
42.525,18.577
42.850,18.679
43.168,18.784
43.477,18.891
43.777,19.003
44.068,19.119
44.352,19.242
44.629,19.371
44.902,19.508
45.171,19.655
45.436,19.812
45.700,19.980
45.963,20.160
46.226,20.353
46.488,20.558
46.748,20.774
47.005,20.999
47.256,21.231
47.502,21.469
47.740,21.712
47.970,21.959
48.190,22.207
48.400,22.456
48.597,22.705
48.780,22.955
48.949,23.207
49.101,23.465
49.235,23.729
49.349,24.002
49.443,24.287
49.514,24.584
49.562,24.895
49.585,25.223
49.585,25.563
49.565,25.911
49.529,26.261
49.479,26.608
49.418,26.947
49.349,27.274
49.276,27.582
49.201,27.868
49.128,28.125
49.057,28.352
48.988,28.550
48.917,28.726
48.843,28.884
48.761,29.029
48.671,29.166
48.570,29.301
48.463,29.439
48.354,29.586
48.248,29.747
48.149,29.929
48.060,30.137
47.981,30.370
47.906,30.620
47.832,30.883
47.754,31.151
47.667,31.419
47.566,31.680
47.448,31.929
47.307,32.159
47.143,32.370
46.958,32.565
46.754,32.748
46.533,32.923
46.298,33.093
46.049,33.262
45.790,33.434
45.523,33.613
45.249,33.800
44.970,33.995
44.685,34.195
44.396,34.395
44.103,34.594
43.807,34.788
43.509,34.973
43.208,35.147
42.906,35.307
42.603,35.449
42.299,35.570
41.997,35.672
41.697,35.756
41.402,35.826
41.112,35.885
40.831,35.936
40.558,35.983
40.297,36.029
40.049,36.077
39.814,36.129
39.592,36.187
39.379,36.248
39.170,36.314
38.964,36.382
38.756,36.453
38.543,36.524
38.322,36.596
38.094,36.661
37.859,36.715
37.618,36.750
37.372,36.761
37.122,36.742
36.869,36.685
36.613,36.587
36.355,36.449
36.095,36.280
35.833,36.086
35.569,35.874
35.303,35.652
35.036,35.426
34.767,35.204
34.497,34.992
34.226,34.798
33.954,34.628
33.683,34.478
33.414,34.344
33.151,34.220
32.893,34.102
32.645,33.984
32.407,33.861
32.181,33.727
31.970,33.579
31.774,33.412
31.590,33.229
31.415,33.031
31.247,32.820
31.081,32.597
30.917,32.365
30.750,32.126
30.577,31.880
30.397,31.630
30.211,31.376
30.022,31.118
29.832,30.856
29.643,30.589
29.457,30.319
29.278,30.044
29.107,29.765
28.947,29.481
28.801,29.194
28.669,28.902
28.551,28.609
28.448,28.314
28.359,28.019
28.283,27.727
28.221,27.437
28.172,27.153
28.135,26.874
28.111,26.603
28.099,26.340
28.095,26.083
28.098,25.833
28.104,25.586
28.111,25.342
28.117,25.100
28.117,24.857
28.111,24.613
28.099,24.367
28.085,24.118
28.072,23.865
28.065,23.606
28.067,23.342
28.081,23.071
28.110,22.792
28.159,22.506
28.222,22.215
28.293,21.924
28.366,21.638
28.435,21.362
28.493,21.101
28.534,20.860
28.551,20.643
28.540,20.455
28.513,20.291
28.491,20.143
28.496,20.000
28.551,19.855
