X	Y
67.750	139.397
67.791	139.325
67.839	139.255
67.893	139.186
67.953	139.119
68.018	139.053
68.088	138.988
68.162	138.925
68.241	138.863
68.324	138.802
68.410	138.742
68.500	138.683
68.592	138.625
68.687	138.568
68.783	138.512
68.882	138.457
68.982	138.402
69.083	138.349
69.184	138.296
69.286	138.243
69.387	138.192
69.489	138.140
69.590	138.089
69.691	138.039
69.793	137.989
69.894	137.939
69.995	137.889
70.097	137.840
70.198	137.790
70.300	137.741
70.403	137.691
70.505	137.641
70.608	137.591
70.712	137.541
70.817	137.490
70.922	137.439
71.027	137.388
71.134	137.335
71.241	137.283
71.350	137.229
71.459	137.175
71.569	137.120
71.681	137.063
71.794	137.006
71.907	136.949
72.022	136.890
72.137	136.830
72.253	136.770
72.370	136.710
72.487	136.648
72.604	136.586
72.722	136.524
72.839	136.461
72.957	136.398
73.075	136.335
73.192	136.272
73.310	136.208
73.426	136.144
73.543	136.081
73.658	136.017
73.773	135.954
73.887	135.890
74.000	135.827
74.112	135.765
74.223	135.702
74.332	135.640
74.440	135.579
74.547	135.518
74.652	135.458
74.756	135.398
74.858	135.339
74.959	135.280
75.059	135.222
75.157	135.165
75.255	135.109
75.352	135.053
75.448	134.998
75.543	134.943
75.638	134.890
75.733	134.837
75.827	134.784
75.921	134.733
76.014	134.682
76.108	134.632
76.202	134.583
76.296	134.535
76.390	134.487
76.484	134.440
76.579	134.394
76.674	134.349
76.770	134.305
76.866	134.261
76.962	134.218
77.059	134.176
77.155	134.135
77.252	134.094
77.348	134.054
77.444	134.014
77.540	133.975
77.635	133.937
77.730	133.898
77.824	133.861
77.917	133.824
78.009	133.787
78.101	133.750
78.191	133.714
78.280	133.678
78.368	133.643
78.455	133.607
78.540	133.572
78.624	133.537
78.706	133.503
78.787	133.470
78.867	133.437
78.946	133.406
79.024	133.375
79.100	133.346
79.176	133.318
79.250	133.291
79.324	133.267
79.396	133.244
79.468	133.223
79.538	133.204
79.608	133.188
79.677	133.173
79.745	133.162
79.812	133.153
79.878	133.146
79.943	133.143
80.006	133.143
80.068	133.146
80.129	133.153
80.188	133.164
80.245	133.178
80.300	133.196
80.353	133.218
80.404	133.245
80.453	133.275
80.500	133.310
80.545	133.349
80.587	133.392
80.626	133.438
80.663	133.488
80.697	133.542
80.729	133.599
80.757	133.659
80.783	133.723
80.805	133.789
80.825	133.859
80.842	133.932
80.857	134.007
80.869	134.084
80.879	134.163
80.888	134.245
80.896	134.328
80.902	134.413
80.908	134.499
80.913	134.586
80.918	134.674
80.923	134.763
80.928	134.852
80.934	134.941
80.941	135.030
80.949	135.120
80.959	135.209
80.969	135.297
80.981	135.385
80.993	135.473
81.005	135.560
81.018	135.646
81.030	135.732
81.042	135.817
81.053	135.901
81.063	135.984
81.073	136.066
81.081	136.148
81.087	136.228
81.092	136.307
81.094	136.385
81.094	136.461
81.092	136.536
81.087	136.611
81.079	136.684
81.070	136.756
81.057	136.829
81.043	136.900
81.026	136.972
81.007	137.044
80.986	137.116
80.963	137.189
80.938	137.262
80.911	137.336
80.882	137.411
80.851	137.488
80.818	137.566
80.784	137.646
80.747	137.726
80.709	137.808
80.670	137.890
80.629	137.972
80.587	138.055
80.543	138.137
80.498	138.218
80.451	138.298
80.404	138.377
80.355	138.455
80.305	138.530
80.254	138.604
80.202	138.675
80.150	138.744
80.096	138.809
80.042	138.871
79.987	138.930
79.930	138.985
79.873	139.037
79.813	139.087
79.751	139.133
79.687	139.177
79.620	139.219
79.549	139.258
79.476	139.296
79.398	139.331
79.317	139.364
79.231	139.396
79.140	139.427
79.044	139.456
78.943	139.484
78.836	139.511
78.724	139.537
78.605	139.562
78.482	139.587
78.353	139.611
78.219	139.635
78.080	139.658
77.937	139.681
77.790	139.703
77.639	139.725
77.485	139.747
77.327	139.768
77.166	139.789
77.002	139.810
76.836	139.832
76.667	139.853
76.497	139.874
76.324	139.896
76.150	139.917
75.975	139.939
75.799	139.962
75.622	139.984
75.444	140.007
75.267	140.031
75.089	140.055
74.912	140.080
74.735	140.106
74.559	140.132
74.384	140.159
74.211	140.187
74.039	140.216
73.869	140.246
73.701	140.277
73.536	140.309
73.373	140.341
73.213	140.375
73.055	140.410
72.901	140.445
72.750	140.481
72.602	140.517
72.458	140.554
72.318	140.592
72.182	140.630
72.051	140.668
71.924	140.707
71.801	140.746
71.683	140.785
71.571	140.825
71.463	140.864
71.361	140.904
71.265	140.943
71.174	140.983
71.090	141.022
71.012	141.061
70.940	141.100
70.874	141.138
70.816	141.176
70.764	141.214
70.717	141.250
70.674	141.285
70.633	141.318
70.595	141.350
70.556	141.378
70.517	141.404
70.475	141.426
70.430	141.445
70.381	141.459
70.326	141.469
70.268	141.475
70.205	141.476
70.141	141.473
70.075	141.466
70.008	141.455
69.942	141.439
69.876	141.419
69.813	141.394
69.753	141.366
69.697	141.333
69.646	141.296
69.600	141.255
69.558	141.212
69.519	141.165
69.482	141.117
69.446	141.067
69.409	141.017
69.372	140.967
69.332	140.919
69.289	140.871
69.242	140.826
69.189	140.785
69.129	140.746
69.063	140.712
68.990	140.681
68.913	140.653
68.831	140.627
68.746	140.603
68.659	140.580
68.570	140.557
68.480	140.534
68.391	140.511
68.303	140.486
68.218	140.459
68.136	140.430
68.058	140.397
67.984	140.361
67.917	140.321
67.857	140.276
67.804	140.226
67.759	140.171
67.722	140.111
67.692	140.048
67.670	139.981
67.655	139.912
67.647	139.841
67.646	139.768
67.653	139.694
67.667	139.619
67.688	139.544
67.715	139.470
67.750	139.397
