X,Y
64.792,129.167
64.816,128.923
64.899,128.660
65.037,128.379
65.227,128.082
65.463,127.769
65.743,127.443
66.063,127.105
66.419,126.756
66.807,126.397
67.224,126.031
67.665,125.659
68.126,125.282
68.605,124.902
69.096,124.520
69.597,124.138
70.104,123.757
70.612,123.378
71.118,123.004
71.618,122.635
72.108,122.274
72.586,121.920
73.051,121.574
73.505,121.236
73.949,120.903
74.383,120.577
74.809,120.255
75.228,119.938
75.641,119.625
76.048,119.314
76.452,119.006
76.852,118.700
77.250,118.394
77.646,118.089
78.043,117.783
78.440,117.477
78.839,117.168
79.241,116.857
79.647,116.543
80.057,116.225
80.474,115.903
80.897,115.576
81.328,115.242
81.767,114.904
82.212,114.561
82.664,114.214
83.123,113.864
83.588,113.510
84.058,113.154
84.534,112.795
85.016,112.436
85.502,112.075
85.993,111.713
86.488,111.352
86.987,110.991
87.490,110.631
87.996,110.272
88.505,109.916
89.017,109.562
89.531,109.211
90.048,108.864
90.566,108.521
91.086,108.182
91.607,107.849
92.129,107.521
92.651,107.199
93.174,106.884
93.695,106.577
94.216,106.276
94.733,105.984
95.248,105.700
95.758,105.424
96.264,105.158
96.763,104.902
97.256,104.655
97.741,104.420
98.218,104.195
98.686,103.981
99.144,103.779
99.591,103.590
100.026,103.413
100.448,103.249
100.857,103.099
101.252,102.962
101.631,102.840
101.995,102.733
102.342,102.641
102.674,102.563
102.992,102.500
103.301,102.451
103.601,102.415
103.896,102.391
104.188,102.380
104.479,102.379
104.772,102.390
105.069,102.410
105.373,102.440
105.685,102.479
106.009,102.526
106.344,102.582
106.690,102.644
107.043,102.713
107.404,102.788
107.770,102.868
108.139,102.954
108.510,103.043
108.882,103.137
109.252,103.234
109.619,103.333
109.982,103.434
110.338,103.537
110.687,103.641
111.026,103.745
111.354,103.849
111.671,103.955
111.974,104.064
112.265,104.179
112.541,104.300
112.803,104.431
113.049,104.572
113.279,104.727
113.491,104.896
113.686,105.081
113.862,105.285
114.019,105.510
114.157,105.754
114.277,106.016
114.381,106.292
114.470,106.580
114.545,106.876
114.607,107.178
114.659,107.483
114.702,107.788
114.736,108.090
114.764,108.385
114.786,108.672
114.805,108.948
114.819,109.213
114.830,109.469
114.838,109.721
114.842,109.970
114.842,110.219
114.838,110.471
114.830,110.729
114.819,110.995
114.804,111.272
114.784,111.562
114.761,111.867
114.732,112.184
114.697,112.511
114.654,112.846
114.602,113.186
114.541,113.529
114.469,113.873
114.386,114.216
114.289,114.556
114.178,114.889
114.053,115.214
113.911,115.528
113.752,115.830
113.576,116.117
113.383,116.391
113.177,116.655
112.961,116.911
112.736,117.160
112.505,117.406
112.271,117.651
112.035,117.897
111.802,118.146
111.572,118.401
111.349,118.664
111.135,118.938
110.932,119.223
110.743,119.524
110.568,119.840
110.407,120.172
110.257,120.517
110.118,120.875
109.987,121.245
109.864,121.627
109.747,122.019
109.635,122.420
109.526,122.830
109.419,123.248
109.313,123.672
109.206,124.103
109.096,124.538
108.983,124.978
108.865,125.421
108.741,125.866
108.609,126.313
108.469,126.760
108.322,127.206
108.167,127.651
108.006,128.092
107.837,128.530
107.661,128.962
107.479,129.387
107.290,129.806
107.094,130.215
106.892,130.615
106.683,131.004
106.469,131.381
106.248,131.745
106.022,132.095
105.790,132.429
105.552,132.747
105.309,133.047
105.060,133.330
104.806,133.596
104.546,133.846
104.280,134.082
104.009,134.306
103.733,134.516
103.450,134.717
103.162,134.907
102.867,135.088
102.567,135.262
102.261,135.430
101.949,135.592
101.630,135.750
101.306,135.906
100.975,136.058
100.638,136.205
100.295,136.347
99.945,136.481
99.590,136.607
99.228,136.722
98.860,136.826
98.485,136.916
98.105,136.992
97.718,137.053
97.325,137.096
96.925,137.120
96.520,137.125
96.108,137.107
95.690,137.067
95.266,137.004
94.836,136.919
94.401,136.815
93.961,136.694
93.517,136.557
93.069,136.406
92.618,136.244
92.164,136.073
91.707,135.894
91.248,135.709
90.788,135.520
90.327,135.329
89.865,135.139
89.403,134.950
88.941,134.766
88.480,134.588
88.020,134.417
87.562,134.256
87.105,134.107
86.651,133.971
86.200,133.845
85.750,133.729
85.301,133.622
84.854,133.522
84.408,133.427
83.964,133.337
83.519,133.250
83.076,133.165
82.633,133.081
82.189,132.995
81.746,132.908
81.303,132.817
80.858,132.721
80.413,132.619
79.967,132.510
79.520,132.392
79.072,132.264
78.621,132.125
78.171,131.978
77.719,131.823
77.268,131.664
76.818,131.502
76.370,131.339
75.924,131.176
75.480,131.017
75.040,130.862
74.604,130.713
74.172,130.573
73.746,130.444
73.325,130.327
72.910,130.224
72.503,130.137
72.103,130.069
71.712,130.020
71.329,129.993
70.955,129.989
70.589,130.003
70.231,130.032
69.880,130.073
69.535,130.123
69.196,130.178
68.863,130.234
68.533,130.289
68.208,130.339
67.886,130.380
67.566,130.410
67.248,130.424
66.931,130.420
66.616,130.394
66.306,130.345
66.008,130.274
65.729,130.181
65.474,130.066
65.250,129.929
65.064,129.771
64.921,129.591
64.828,129.389
64.792,129.167
