X,Y
65.417,131.458
65.579,131.130
65.766,130.822
65.977,130.535
66.210,130.270
66.465,130.027
66.741,129.806
67.038,129.609
67.354,129.437
67.689,129.288
68.042,129.166
68.413,129.069
68.800,128.999
69.203,128.956
69.621,128.940
70.054,128.950
70.500,128.985
70.959,129.043
71.430,129.122
71.912,129.221
72.405,129.338
72.908,129.471
73.421,129.619
73.942,129.780
74.470,129.953
75.006,130.137
75.548,130.328
76.095,130.527
76.648,130.730
77.205,130.938
77.765,131.147
78.328,131.357
78.892,131.566
79.458,131.772
80.025,131.975
80.593,132.175
81.161,132.371
81.729,132.563
82.298,132.753
82.866,132.939
83.435,133.122
84.003,133.302
84.571,133.479
85.139,133.652
85.705,133.823
86.271,133.991
86.836,134.156
87.400,134.318
87.962,134.477
88.523,134.633
89.083,134.787
89.640,134.938
90.196,135.087
90.750,135.233
91.301,135.376
91.850,135.517
92.396,135.656
92.936,135.794
93.470,135.931
93.996,136.068
94.513,136.205
95.018,136.344
95.511,136.485
95.989,136.629
96.452,136.776
96.898,136.927
97.325,137.082
97.731,137.243
98.116,137.410
98.478,137.583
98.815,137.764
99.126,137.953
99.408,138.150
99.663,138.356
99.891,138.573
100.095,138.800
100.279,139.038
100.444,139.289
100.593,139.552
100.730,139.828
100.855,140.119
100.973,140.424
101.086,140.744
101.197,141.080
101.307,141.433
101.417,141.803
101.528,142.186
101.636,142.582
101.740,142.989
101.840,143.406
101.934,143.829
102.021,144.259
102.099,144.692
102.167,145.128
102.224,145.564
102.269,145.999
102.299,146.431
102.314,146.858
102.312,147.279
102.293,147.692
102.254,148.095
102.197,148.489
102.122,148.874
102.030,149.252
101.921,149.622
101.797,149.987
101.657,150.346
101.503,150.700
101.335,151.050
101.153,151.396
100.960,151.740
100.755,152.083
100.539,152.424
100.312,152.765
100.076,153.106
99.831,153.448
99.576,153.791
99.311,154.133
99.037,154.474
98.754,154.815
98.460,155.155
98.157,155.493
97.844,155.829
97.520,156.163
97.187,156.494
96.843,156.822
96.489,157.147
96.125,157.469
95.750,157.786
95.365,158.100
94.969,158.408
94.562,158.711
94.145,159.009
93.720,159.301
93.289,159.587
92.851,159.866
92.410,160.138
91.967,160.402
91.523,160.658
91.080,160.905
90.639,161.143
90.202,161.372
89.771,161.591
89.346,161.800
88.930,161.998
88.524,162.184
88.130,162.359
87.748,162.522
87.382,162.673
87.031,162.810
86.695,162.935
86.372,163.049
86.060,163.153
85.758,163.248
85.462,163.335
85.172,163.415
84.885,163.490
84.600,163.560
84.313,163.627
84.025,163.691
83.731,163.754
83.432,163.816
83.126,163.875
82.816,163.929
82.501,163.974
82.183,164.008
81.862,164.028
81.538,164.032
81.212,164.017
80.886,163.981
80.559,163.919
80.232,163.831
79.907,163.713
79.583,163.564
79.263,163.388
78.949,163.187
78.641,162.964
78.343,162.721
78.055,162.463
77.779,162.191
77.517,161.910
77.271,161.621
77.042,161.328
76.832,161.033
76.644,160.740
76.477,160.452
76.335,160.171
76.214,159.896
76.112,159.628
76.025,159.363
75.950,159.102
75.885,158.843
75.825,158.585
75.768,158.327
75.710,158.067
75.649,157.804
75.581,157.538
75.505,157.267
75.422,156.991
75.332,156.710
75.235,156.423
75.131,156.130
75.022,155.830
74.907,155.523
74.786,155.209
74.660,154.887
74.530,154.556
74.395,154.217
74.256,153.870
74.113,153.513
73.966,153.150
73.814,152.780
73.658,152.404
73.496,152.024
73.329,151.640
73.158,151.253
72.980,150.865
72.797,150.475
72.609,150.086
72.414,149.698
72.213,149.311
72.006,148.928
71.792,148.548
71.571,148.173
71.344,147.802
71.111,147.437
70.873,147.076
70.632,146.719
70.387,146.366
70.140,146.017
69.892,145.670
69.643,145.327
69.395,144.986
69.147,144.647
68.902,144.310
68.659,143.975
68.420,143.641
68.186,143.308
67.957,142.976
67.734,142.644
67.518,142.312
67.309,141.979
67.106,141.644
66.911,141.306
66.723,140.965
66.543,140.620
66.370,140.270
66.205,139.915
66.049,139.553
65.900,139.185
65.761,138.808
65.630,138.424
65.507,138.029
65.394,137.625
65.291,137.211
65.198,136.789
65.116,136.360
65.048,135.927
64.992,135.492
64.952,135.057
64.927,134.624
64.919,134.194
64.928,133.770
64.957,133.354
65.005,132.947
65.074,132.553
65.165,132.171
65.279,131.806
65.417,131.458
