X	Y
68.886	37.636
68.954	37.360
69.043	37.078
69.153	36.792
69.283	36.500
69.432	36.205
69.599	35.904
69.784	35.600
69.986	35.292
70.205	34.979
70.439	34.664
70.688	34.345
70.951	34.022
71.228	33.697
71.519	33.369
71.821	33.038
72.135	32.705
72.459	32.370
72.794	32.033
73.139	31.694
73.492	31.354
73.853	31.012
74.222	30.670
74.597	30.326
74.979	29.981
75.365	29.636
75.757	29.291
76.152	28.946
76.551	28.600
76.952	28.255
77.356	27.910
77.760	27.567
78.165	27.224
78.570	26.882
78.974	26.541
79.377	26.202
79.777	25.865
80.175	25.529
80.568	25.196
80.958	24.865
81.343	24.536
81.721	24.210
82.094	23.888
82.460	23.568
82.819	23.251
83.171	22.938
83.517	22.628
83.856	22.320
84.190	22.016
84.517	21.716
84.839	21.418
85.155	21.124
85.466	20.833
85.772	20.545
86.072	20.261
86.368	19.979
86.659	19.701
86.946	19.427
87.228	19.156
87.506	18.888
87.779	18.623
88.049	18.362
88.316	18.104
88.579	17.849
88.838	17.598
89.095	17.351
89.348	17.106
89.599	16.866
89.847	16.628
90.093	16.395
90.336	16.164
90.577	15.937
90.817	15.714
91.054	15.494
91.290	15.278
91.525	15.065
91.758	14.856
91.991	14.650
92.222	14.448
92.453	14.250
92.683	14.055
92.913	13.864
93.142	13.675
93.371	13.490
93.600	13.308
93.829	13.130
94.059	12.954
94.288	12.781
94.518	12.611
94.748	12.443
94.979	12.278
95.211	12.116
95.444	11.956
95.677	11.799
95.912	11.644
96.148	11.491
96.386	11.340
96.625	11.191
96.865	11.044
97.108	10.900
97.352	10.756
97.598	10.615
97.847	10.475
98.098	10.337
98.351	10.200
98.606	10.065
98.864	9.931
99.124	9.798
99.386	9.668
99.649	9.539
99.914	9.412
100.180	9.287
100.447	9.165
100.714	9.044
100.982	8.927
101.251	8.812
101.519	8.699
101.787	8.589
102.054	8.483
102.321	8.379
102.587	8.279
102.852	8.181
103.116	8.088
103.377	7.998
103.637	7.911
103.895	7.829
104.151	7.750
104.404	7.675
104.654	7.605
104.902	7.539
105.146	7.477
105.387	7.420
105.624	7.367
105.858	7.319
106.089	7.274
106.318	7.234
106.543	7.198
106.766	7.166
106.986	7.138
107.204	7.114
107.419	7.093
107.633	7.076
107.844	7.062
108.054	7.052
108.261	7.044
108.468	7.040
108.673	7.039
108.876	7.041
109.078	7.046
109.280	7.053
109.480	7.063
109.680	7.076
109.879	7.091
110.077	7.108
110.276	7.128
110.474	7.149
110.673	7.172
110.872	7.198
111.072	7.225
111.273	7.253
111.475	7.283
111.679	7.314
111.884	7.346
112.090	7.380
112.299	7.414
112.510	7.450
112.723	7.486
112.939	7.522
113.157	7.559
113.379	7.597
113.604	7.634
113.831	7.673
114.060	7.712
114.290	7.753
114.519	7.796
114.746	7.842
114.971	7.891
115.193	7.944
115.409	8.001
115.620	8.063
115.824	8.130
116.020	8.203
116.207	8.282
116.384	8.369
116.551	8.462
116.705	8.564
116.846	8.675
116.974	8.794
117.086	8.923
117.182	9.062
117.262	9.210
117.328	9.368
117.382	9.533
117.424	9.705
117.455	9.882
117.478	10.065
117.494	10.251
117.503	10.441
117.508	10.633
117.510	10.825
117.509	11.018
117.508	11.211
117.508	11.401
117.510	11.589
117.516	11.773
117.526	11.953
117.543	12.127
117.565	12.297
117.591	12.462
117.621	12.625
117.654	12.785
117.688	12.944
117.724	13.102
117.759	13.260
117.794	13.419
117.827	13.579
117.857	13.742
117.883	13.908
117.905	14.079
117.922	14.254
117.932	14.434
117.935	14.622
117.930	14.815
117.919	15.015
117.900	15.220
117.876	15.430
117.845	15.644
117.809	15.861
117.768	16.081
117.723	16.304
117.673	16.528
117.620	16.753
117.563	16.978
