X	Y
18.012	5.119
18.050	5.103
18.094	5.092
18.142	5.087
18.196	5.088
18.253	5.094
18.315	5.103
18.381	5.118
18.450	5.136
18.522	5.157
18.597	5.181
18.675	5.208
18.754	5.238
18.836	5.269
18.918	5.302
19.002	5.335
19.087	5.370
19.172	5.405
19.257	5.440
19.342	5.475
19.426	5.509
19.510	5.542
19.592	5.574
19.672	5.603
19.751	5.631
19.828	5.656
19.903	5.680
19.977	5.701
20.049	5.721
20.119	5.740
20.187	5.756
20.255	5.771
20.320	5.785
20.384	5.798
20.447	5.809
20.508	5.820
20.568	5.829
20.627	5.838
20.685	5.846
20.741	5.853
20.797	5.860
20.851	5.866
20.905	5.872
20.957	5.878
21.009	5.884
21.060	5.890
21.110	5.896
21.159	5.902
21.209	5.908
21.258	5.915
21.307	5.921
21.356	5.928
21.405	5.935
21.454	5.943
21.504	5.950
21.555	5.959
21.606	5.968
21.658	5.977
21.711	5.988
21.764	5.998
21.820	6.010
21.875	6.022
21.932	6.035
21.990	6.048
22.048	6.062
22.106	6.077
22.165	6.092
22.223	6.107
22.282	6.123
22.340	6.140
22.398	6.156
22.455	6.173
22.512	6.190
22.568	6.208
22.623	6.225
22.677	6.243
22.729	6.261
22.781	6.279
22.830	6.297
22.879	6.316
22.926	6.334
22.972	6.353
23.017	6.371
23.060	6.390
23.103	6.409
23.145	6.428
23.186	6.448
23.226	6.467
23.265	6.487
23.304	6.507
23.342	6.528
23.380	6.548
23.417	6.569
23.454	6.590
23.490	6.612
23.526	6.633
23.561	6.655
23.595	6.677
23.629	6.700
23.661	6.723
23.693	6.746
23.725	6.769
23.755	6.793
23.784	6.817
23.812	6.841
23.840	6.865
23.866	6.890
23.892	6.915
23.918	6.941
23.944	6.967
23.969	6.993
23.995	7.020
24.020	7.048
24.047	7.076
24.073	7.104
24.101	7.133
24.129	7.163
24.158	7.193
24.188	7.224
24.218	7.255
24.249	7.286
24.279	7.318
24.310	7.350
24.340	7.382
24.371	7.414
24.400	7.446
24.430	7.478
24.459	7.510
24.487	7.542
24.514	7.574
24.541	7.606
24.567	7.638
24.592	7.670
24.618	7.701
24.642	7.734
24.667	7.766
24.692	7.799
24.716	7.832
24.741	7.865
24.766	7.899
24.792	7.934
24.818	7.969
24.844	8.005
24.870	8.042
24.897	8.079
24.923	8.117
24.948	8.155
24.973	8.194
24.997	8.233
25.019	8.272
25.040	8.311
25.059	8.351
25.076	8.391
25.091	8.431
25.103	8.471
25.113	8.511
25.120	8.552
25.124	8.592
25.127	8.632
25.128	8.673
25.126	8.714
25.124	8.755
25.120	8.796
25.114	8.838
25.108	8.880
25.101	8.923
25.093	8.966
25.085	9.009
25.077	9.053
25.069	9.098
25.060	9.142
25.051	9.187
25.041	9.232
25.031	9.276
25.021	9.320
25.011	9.364
25.000	9.407
24.989	9.449
24.977	9.491
24.965	9.531
24.952	9.570
24.939	9.608
24.926	9.645
24.912	9.681
24.897	9.716
24.881	9.750
24.864	9.784
24.847	9.817
24.828	9.851
24.808	9.884
24.786	9.918
24.763	9.952
24.739	9.987
24.712	10.023
24.685	10.059
24.655	10.097
24.625	10.134
24.593	10.172
24.561	10.210
24.527	10.249
24.493	10.287
24.458	10.325
24.422	10.363
24.386	10.401
24.350	10.439
24.314	10.475
24.278	10.511
24.242	10.547
24.207	10.581
24.172	10.615
24.137	10.647
24.102	10.678
24.068	10.708
24.034	10.736
24.000	10.764
23.966	10.789
23.932	10.813
23.899	10.835
23.865	10.856
23.832	10.874
23.798	10.891
23.765	10.906
23.731	10.918
23.698	10.929
23.664	10.939
23.630	10.948
23.596	10.957
23.562	10.965
23.528	10.973
23.494	10.982
23.459	10.992
23.425	11.002
23.390	11.014
23.355	11.027
23.320	11.042
23.284	11.057
23.249	11.073
23.213	11.088
23.177	11.104
23.140	11.120
23.103	11.134
23.066	11.148
23.029	11.161
22.991	11.173
22.953	11.182
22.915	11.190
22.876	11.198
22.838	11.204
22.800	11.211
22.763	11.218
22.726	11.226
22.690	11.234
22.655	11.245
22.621	11.257
22.589	11.272
22.558	11.289
22.529	11.309
22.502	11.332
22.475	11.357
22.449	11.383
22.424	11.410
22.399	11.438
22.374	11.465
22.349	11.492
22.323	11.518
22.297	11.543
22.270	11.565
22.242	11.585
22.213	11.604
22.183	11.620
22.152	11.635
22.120	11.648
22.089	11.659
22.056	11.670
22.023	11.679
21.991	11.688
21.958	11.696
21.924	11.703
21.891	11.710
21.858	11.717
21.825	11.724
21.792	11.730
21.758	11.737
21.725	11.744
21.691	11.751
21.657	11.759
21.622	11.768
21.587	11.777
21.552	11.787
21.516	11.798
21.480	11.810
21.444	11.822
21.407	11.835
21.369	11.848
21.331	11.861
21.293	11.875
21.253	11.889
21.213	11.903
21.172	11.916
21.131	11.930
21.089	11.944
21.046	11.958
21.003	11.971
20.959	11.983
20.916	11.996
20.872	12.007
20.828	12.018
20.785	12.028
20.742	12.038
20.700	12.046
20.659	12.053
20.618	12.059
20.578	12.064
20.539	12.068
20.502	12.070
20.465	12.070
20.428	12.069
20.392	12.065
20.357	12.060
20.321	12.052
20.286	12.042
20.250	12.030
20.213	12.014
20.176	11.996
20.139	11.975
20.100	11.951
20.061	11.924
20.022	11.895
19.982	11.864
19.942	11.831
19.902	11.796
19.863	11.761
19.823	11.724
19.785	11.687
19.747	11.650
19.709	11.612
19.673	11.575
19.638	11.538
19.604	11.502
19.572	11.467
19.542	11.434
19.512	11.401
19.484	11.370
19.457	11.340
19.431	11.310
19.406	11.281
19.381	11.253
19.357	11.225
19.332	11.198
19.308	11.170
19.284	11.143
19.259	11.116
19.234	11.089
19.209	11.061
19.183	11.034
19.157	11.005
19.132	10.977
19.107	10.947
19.082	10.917
19.058	10.886
19.035	10.855
19.013	10.822
18.991	10.788
18.971	10.754
18.953	10.718
18.935	10.680
18.919	10.642
18.905	10.602
18.891	10.562
18.879	10.520
18.869	10.477
18.860	10.433
18.852	10.388
18.845	10.341
18.840	10.294
18.836	10.245
18.833	10.196
18.832	10.145
18.832	10.094
18.833	10.042
18.834	9.989
18.835	9.937
18.835	9.886
18.836	9.835
18.835	9.785
18.832	9.736
18.829	9.689
18.823	9.644
18.815	9.601
18.804	9.561
18.790	9.523
18.773	9.488
18.752	9.457
18.729	9.428
18.703	9.401
18.675	9.376
18.646	9.352
18.616	9.328
18.586	9.304
18.556	9.280
18.526	9.255
18.497	9.229
18.470	9.200
18.445	9.170
18.422	9.136
18.401	9.101
18.382	9.064
18.364	9.025
18.347	8.985
18.332	8.944
18.317	8.901
18.304	8.859
18.291	8.816
18.278	8.772
18.266	8.729
18.254	8.687
18.242	8.645
18.230	8.603
18.218	8.563
18.205	8.523
18.193	8.484
18.181	8.445
18.168	8.407
18.156	8.369
18.143	8.332
18.131	8.295
18.118	8.258
18.105	8.222
18.093	8.186
18.080	8.150
18.068	8.114
18.055	8.078
18.043	8.041
18.030	8.004
18.018	7.966
18.006	7.927
17.994	7.887
17.982	7.845
17.970	7.802
17.959	7.757
17.948	7.710
17.937	7.661
17.926	7.610
17.916	7.556
17.906	7.501
17.896	7.444
17.887	7.386
17.879	7.327
17.870	7.267
17.863	7.207
17.856	7.145
17.850	7.084
17.844	7.023
17.839	6.961
17.835	6.900
17.832	6.840
17.830	6.780
17.828	6.722
17.828	6.665
17.828	6.609
17.830	6.554
17.832	6.501
17.835	6.449
17.838	6.397
17.842	6.346
17.846	6.296
17.850	6.246
17.854	6.196
17.858	6.145
17.862	6.095
17.866	6.044
17.869	5.992
17.871	5.940
17.873	5.886
17.874	5.831
17.874	5.775
17.873	5.718
17.872	5.660
17.872	5.602
17.872	5.545
17.873	5.489
17.876	5.434
17.881	5.382
17.888	5.332
17.898	5.285
17.912	5.242
17.930	5.204
17.953	5.170
17.980	5.142
18.012	5.119
