X	Y
14.460	4.932
14.470	4.917
14.482	4.903
14.495	4.889
14.510	4.875
14.526	4.861
14.543	4.848
14.560	4.835
14.579	4.822
14.599	4.809
14.619	4.797
14.641	4.785
14.662	4.773
14.685	4.761
14.708	4.749
14.731	4.737
14.755	4.725
14.779	4.714
14.804	4.702
14.828	4.691
14.853	4.680
14.877	4.668
14.902	4.657
14.926	4.646
14.951	4.635
14.975	4.623
14.998	4.612
15.021	4.601
15.044	4.589
15.066	4.578
15.087	4.566
15.108	4.555
15.128	4.543
15.147	4.531
15.165	4.519
15.183	4.507
15.200	4.495
15.216	4.483
15.232	4.472
15.247	4.460
15.262	4.448
15.277	4.437
15.291	4.425
15.305	4.414
15.319	4.403
15.332	4.393
15.346	4.382
15.359	4.372
15.372	4.362
15.385	4.353
15.398	4.344
15.412	4.336
15.425	4.328
15.439	4.320
15.453	4.313
15.467	4.306
15.481	4.300
15.496	4.295
15.511	4.290
15.526	4.285
15.542	4.281
15.557	4.277
15.573	4.273
15.589	4.270
15.605	4.267
15.620	4.264
15.636	4.261
15.652	4.258
15.667	4.255
15.683	4.252
15.698	4.249
15.713	4.246
15.727	4.243
15.741	4.239
15.755	4.235
15.769	4.231
15.782	4.227
15.795	4.222
15.807	4.217
15.820	4.211
15.832	4.206
15.844	4.199
15.856	4.193
15.868	4.186
15.880	4.179
15.892	4.172
15.904	4.165
15.917	4.157
15.930	4.149
15.944	4.141
15.958	4.133
15.972	4.125
15.987	4.116
16.003	4.107
16.020	4.098
16.037	4.089
16.055	4.080
16.074	4.071
16.094	4.062
16.114	4.052
16.136	4.042
16.158	4.033
16.180	4.023
16.204	4.013
16.228	4.002
16.252	3.992
16.277	3.982
16.303	3.971
16.329	3.960
16.356	3.950
16.383	3.939
16.411	3.927
16.439	3.916
16.468	3.905
16.497	3.893
16.526	3.881
16.556	3.869
16.586	3.857
16.616	3.845
16.647	3.833
16.678	3.820
16.709	3.808
16.741	3.795
16.772	3.782
16.804	3.769
16.836	3.756
16.868	3.742
16.900	3.729
16.933	3.715
16.965	3.701
16.997	3.687
17.029	3.673
17.062	3.659
17.094	3.644
17.126	3.629
17.158	3.615
17.191	3.600
17.223	3.584
17.255	3.569
17.286	3.554
17.318	3.538
17.350	3.522
17.382	3.506
17.413	3.490
17.445	3.474
17.477	3.458
17.508	3.442
17.540	3.426
17.571	3.409
17.602	3.393
17.634	3.376
17.665	3.360
17.696	3.343
17.728	3.326
17.759	3.309
17.790	3.293
17.821	3.276
17.852	3.259
17.883	3.242
17.914	3.225
17.946	3.208
17.977	3.191
18.008	3.174
18.039	3.158
18.070	3.141
18.101	3.124
18.132	3.107
18.162	3.090
18.193	3.074
18.224	3.057
18.255	3.040
18.286	3.024
18.317	3.007
18.348	2.991
18.379	2.974
18.410	2.958
18.441	2.942
18.472	2.926
18.503	2.910
18.534	2.894
18.565	2.879
18.596	2.863
18.627	2.848
18.658	2.832
18.690	2.817
18.721	2.802
18.752	2.787
18.783	2.772
18.813	2.757
18.844	2.743
18.875	2.728
18.906	2.714
18.937	2.700
18.967	2.685
18.998	2.671
19.028	2.658
19.059	2.644
19.089	2.630
19.119	2.617
19.149	2.603
19.179	2.590
19.209	2.577
19.238	2.564
19.268	2.551
19.297	2.538
19.326	2.526
19.355	2.513
19.384	2.501
19.412	2.489
19.441	2.477
19.469	2.465
19.497	2.453
19.525	2.441
19.552	2.429
19.579	2.418
19.606	2.407
19.633	2.395
19.660	2.384
19.686	2.373
19.712	2.362
19.738	2.352
19.763	2.341
19.788	2.331
19.813	2.320
19.838	2.310
19.862	2.300
19.886	2.290
19.910	2.280
19.934	2.271
19.957	2.261
19.980	2.252
20.003	2.242
20.026	2.233
20.049	2.224
20.071	2.215
20.093	2.206
20.115	2.197
20.137	2.189
20.159	2.180
20.181	2.171
20.203	2.163
20.224	2.155
20.246	2.147
20.267	2.139
20.288	2.131
20.310	2.123
20.331	2.115
20.352	2.107
20.373	2.099
20.394	2.092
20.416	2.084
20.437	2.077
20.458	2.070
20.479	2.062
20.500	2.055
20.521	2.048
20.543	2.041
20.564	2.034
20.585	2.027
20.607	2.020
20.628	2.013
20.649	2.007
20.671	2.000
20.692	1.993
20.713	1.987
20.735	1.980
20.756	1.973
20.778	1.967
20.799	1.960
20.821	1.953
20.842	1.947
20.864	1.940
20.885	1.933
20.907	1.927
20.928	1.920
20.950	1.913
20.971	1.907
20.993	1.900
21.014	1.893
21.036	1.886
21.058	1.880
21.079	1.873
21.101	1.866
21.123	1.859
21.144	1.851
21.166	1.844
21.188	1.837
21.209	1.830
21.231	1.823
21.253	1.816
21.274	1.808
21.296	1.801
21.318	1.794
21.340	1.786
21.361	1.779
21.383	1.772
21.405	1.764
21.427	1.757
21.449	1.750
21.471	1.743
21.493	1.735
21.515	1.728
21.537	1.721
21.559	1.714
21.581	1.707
21.603	1.700
21.625	1.693
21.648	1.686
21.670	1.679
21.692	1.672
21.715	1.665
21.737	1.659
21.759	1.652
21.782	1.645
21.804	1.639
21.827	1.633
21.850	1.626
21.872	1.620
21.895	1.614
21.918	1.608
21.940	1.602
21.963	1.596
21.986	1.591
22.009	1.585
22.032	1.580
22.055	1.574
22.079	1.569
22.102	1.564
22.125	1.559
22.148	1.554
22.172	1.550
22.195	1.545
22.219	1.541
22.242	1.537
22.266	1.533
22.290	1.529
22.314	1.525
22.337	1.521
22.361	1.518
22.385	1.515
22.409	1.512
22.434	1.509
22.458	1.506
22.482	1.504
22.506	1.501
22.531	1.499
22.555	1.497
22.580	1.495
22.604	1.494
22.628	1.492
22.653	1.491
22.677	1.490
22.701	1.489
22.725	1.488
22.749	1.487
22.773	1.486
22.796	1.486
22.820	1.485
22.843	1.485
22.866	1.485
22.888	1.485
22.911	1.485
22.933	1.485
22.955	1.486
22.976	1.486
22.998	1.487
23.019	1.487
23.039	1.488
23.059	1.489
23.079	1.490
23.098	1.490
23.117	1.491
23.136	1.493
23.154	1.494
23.171	1.495
23.189	1.496
23.206	1.497
23.222	1.499
23.239	1.500
23.255	1.502
23.271	1.504
23.287	1.506
23.302	1.508
23.318	1.510
23.334	1.512
23.349	1.514
23.365	1.517
23.381	1.520
23.396	1.522
23.412	1.525
23.428	1.529
23.445	1.532
23.461	1.535
23.478	1.539
23.495	1.543
23.512	1.547
23.530	1.551
23.548	1.556
23.566	1.560
23.583	1.565
23.601	1.570
23.619	1.576
23.637	1.581
23.655	1.587
23.673	1.593
23.691	1.599
23.708	1.606
23.726	1.613
23.743	1.620
23.760	1.628
23.776	1.636
23.792	1.644
23.808	1.652
23.823	1.661
23.838	1.670
23.853	1.680
23.866	1.690
23.880	1.700
23.892	1.711
23.905	1.721
23.916	1.733
23.928	1.744
23.939	1.756
23.949	1.768
23.959	1.780
23.969	1.793
23.978	1.806
23.987	1.819
23.996	1.832
24.005	1.845
24.013	1.858
24.021	1.872
24.029	1.886
24.037	1.899
24.045	1.913
24.052	1.927
24.060	1.941
24.068	1.955
24.075	1.969
24.083	1.983
24.090	1.997
24.098	2.011
24.105	2.025
24.112	2.040
24.120	2.054
24.127	2.068
24.134	2.083
24.140	2.097
24.147	2.112
24.154	2.126
24.160	2.141
24.166	2.156
24.172	2.171
24.178	2.186
24.184	2.201
24.189	2.217
24.195	2.232
24.199	2.248
24.204	2.264
24.209	2.279
24.213	2.296
24.217	2.312
24.220	2.328
24.224	2.344
24.227	2.361
24.230	2.378
24.233	2.394
24.236	2.411
24.239	2.428
24.241	2.445
24.244	2.462
24.246	2.479
24.248	2.496
24.250	2.513
24.252	2.530
24.254	2.547
24.256	2.564
24.258	2.581
24.260	2.597
24.261	2.614
24.263	2.631
24.265	2.648
24.267	2.665
24.268	2.682
24.270	2.698
24.271	2.715
24.272	2.731
24.274	2.748
24.274	2.765
24.275	2.781
24.276	2.797
24.276	2.814
24.276	2.830
24.276	2.847
24.275	2.863
24.274	2.879
24.273	2.895
24.271	2.911
24.269	2.928
24.266	2.944
24.263	2.960
24.260	2.976
24.256	2.992
24.252	3.008
24.247	3.024
24.242	3.040
24.236	3.056
24.230	3.072
24.224	3.088
24.217	3.104
24.210	3.121
24.203	3.137
24.195	3.153
24.188	3.169
24.180	3.185
24.172	3.202
24.163	3.218
24.155	3.235
24.146	3.252
24.137	3.268
24.128	3.285
24.119	3.302
24.110	3.319
24.101	3.336
24.092	3.354
24.083	3.371
24.073	3.389
24.064	3.406
24.055	3.424
24.046	3.442
24.037	3.459
24.027	3.477
24.018	3.495
24.009	3.512
24.000	3.530
23.990	3.547
23.981	3.565
23.972	3.582
23.963	3.599
23.953	3.616
23.944	3.632
23.935	3.649
23.925	3.665
23.916	3.680
23.907	3.696
23.898	3.711
23.888	3.726
23.879	3.740
23.870	3.754
23.860	3.768
23.851	3.781
23.842	3.794
23.832	3.806
23.823	3.818
23.814	3.830
23.804	3.842
23.795	3.854
23.785	3.865
23.776	3.877
23.766	3.888
23.756	3.899
23.746	3.911
23.736	3.922
23.726	3.934
23.716	3.946
23.706	3.958
23.695	3.970
23.685	3.983
23.674	3.996
23.663	4.009
23.652	4.023
23.641	4.037
23.630	4.051
23.618	4.066
23.607	4.081
23.595	4.097
23.583	4.113
23.571	4.128
23.559	4.145
23.547	4.161
23.535	4.177
23.522	4.194
23.510	4.211
23.497	4.228
23.484	4.245
23.472	4.262
23.459	4.279
23.446	4.296
23.433	4.313
23.420	4.330
23.407	4.347
23.393	4.364
23.380	4.381
23.367	4.397
23.353	4.414
23.340	4.430
23.327	4.447
23.313	4.463
23.300	4.478
23.286	4.494
23.273	4.510
23.259	4.525
23.246	4.540
23.232	4.555
23.219	4.570
23.205	4.585
23.192	4.600
23.178	4.615
23.165	4.630
23.152	4.644
23.139	4.659
23.126	4.673
23.113	4.687
23.100	4.702
23.087	4.716
23.074	4.730
23.062	4.745
23.049	4.759
23.037	4.773
23.025	4.787
23.013	4.802
23.001	4.816
22.989	4.831
22.978	4.845
22.966	4.859
22.955	4.873
22.944	4.888
22.933	4.902
22.922	4.916
22.911	4.929
22.900	4.943
22.890	4.956
22.879	4.969
22.869	4.982
22.858	4.994
22.848	5.006
22.838	5.018
22.827	5.029
22.817	5.039
22.807	5.050
22.797	5.059
22.787	5.069
22.776	5.077
22.766	5.085
22.756	5.093
22.746	5.100
22.736	5.107
22.727	5.113
22.717	5.120
22.708	5.126
22.700	5.132
22.691	5.139
22.683	5.145
22.676	5.152
22.669	5.159
22.662	5.166
22.657	5.174
22.652	5.182
22.647	5.191
22.643	5.201
22.639	5.211
22.636	5.221
22.632	5.231
22.628	5.241
22.625	5.252
22.621	5.263
22.616	5.273
22.611	5.284
22.606	5.294
22.599	5.305
22.592	5.315
22.583	5.324
22.574	5.333
22.564	5.342
22.552	5.351
22.540	5.359
22.528	5.367
22.514	5.375
22.500	5.383
22.486	5.390
22.472	5.398
22.457	5.405
22.442	5.412
22.427	5.419
22.412	5.426
22.397	5.433
22.382	5.440
22.368	5.447
22.353	5.454
22.340	5.461
22.327	5.468
22.315	5.476
22.303	5.483
22.292	5.491
22.281	5.499
22.271	5.507
22.261	5.515
22.251	5.523
22.241	5.531
22.231	5.540
22.222	5.548
22.212	5.557
22.202	5.565
22.191	5.574
22.180	5.582
22.169	5.591
22.157	5.599
22.145	5.608
22.132	5.616
22.117	5.624
22.103	5.633
22.087	5.641
22.071	5.650
22.054	5.658
22.037	5.666
22.019	5.675
22.001	5.683
21.982	5.691
21.963	5.700
21.944	5.708
21.925	5.716
21.906	5.725
21.886	5.733
21.867	5.742
21.848	5.751
21.829	5.759
21.810	5.768
21.791	5.777
21.773	5.786
21.755	5.795
21.738	5.804
21.721	5.813
21.705	5.823
21.689	5.832
21.675	5.842
21.661	5.852
21.647	5.862
21.634	5.872
21.622	5.882
21.610	5.892
21.599	5.902
21.588	5.912
21.577	5.922
21.567	5.932
21.557	5.942
21.547	5.951
21.537	5.961
21.527	5.970
21.517	5.980
21.507	5.989
21.496	5.998
21.486	6.007
21.475	6.015
21.464	6.023
21.453	6.031
21.441	6.039
21.429	6.046
21.416	6.053
21.404	6.060
21.391	6.067
21.378	6.073
21.364	6.080
21.351	6.086
21.337	6.092
21.323	6.098
21.310	6.104
21.296	6.110
21.282	6.116
21.268	6.121
21.254	6.127
21.240	6.133
21.226	6.138
21.212	6.144
21.198	6.150
21.184	6.155
21.171	6.161
21.157	6.167
21.144	6.172
21.130	6.178
21.117	6.184
21.103	6.189
21.090	6.195
21.076	6.200
21.063	6.205
21.050	6.211
21.037	6.216
21.023	6.221
21.010	6.226
20.997	6.230
20.984	6.235
20.970	6.239
20.957	6.243
20.944	6.248
20.930	6.251
20.917	6.255
