X	Y
8.806	4.727
8.823	4.701
8.842	4.674
8.862	4.647
8.883	4.620
8.906	4.593
8.929	4.565
8.954	4.537
8.980	4.509
9.007	4.481
9.035	4.453
9.064	4.425
9.094	4.397
9.124	4.369
9.155	4.341
9.187	4.313
9.220	4.285
9.253	4.257
9.287	4.230
9.321	4.203
9.356	4.176
9.391	4.150
9.426	4.124
9.462	4.098
9.498	4.073
9.534	4.048
9.570	4.024
9.606	4.000
9.642	3.977
9.678	3.954
9.714	3.933
9.750	3.911
9.786	3.890
9.822	3.870
9.858	3.849
9.894	3.830
9.929	3.810
9.965	3.791
10.000	3.772
10.036	3.754
10.071	3.736
10.106	3.717
10.141	3.699
10.176	3.681
10.211	3.664
10.246	3.646
10.280	3.628
10.315	3.610
10.349	3.592
10.383	3.574
10.417	3.556
10.451	3.538
10.484	3.519
10.518	3.501
10.551	3.482
10.584	3.462
10.617	3.443
10.650	3.423
10.683	3.403
10.715	3.382
10.748	3.361
10.780	3.340
10.812	3.319
10.844	3.297
10.876	3.275
10.909	3.253
10.941	3.231
10.973	3.209
11.005	3.186
11.037	3.163
11.069	3.140
11.101	3.117
11.133	3.093
11.166	3.070
11.198	3.046
11.231	3.022
11.264	2.998
11.297	2.974
11.330	2.950
11.363	2.926
11.396	2.902
11.430	2.877
11.464	2.853
11.498	2.829
11.533	2.804
11.567	2.780
11.602	2.755
11.637	2.731
11.672	2.706
11.707	2.682
11.742	2.658
11.777	2.633
11.812	2.609
11.847	2.585
11.882	2.561
11.917	2.537
11.952	2.513
11.986	2.489
12.020	2.466
12.054	2.442
12.088	2.419
12.122	2.396
12.155	2.373
12.188	2.350
12.220	2.327
12.252	2.305
12.283	2.282
12.314	2.260
12.345	2.239
12.375	2.217
12.404	2.196
12.433	2.175
12.461	2.154
12.489	2.134
12.516	2.114
12.543	2.094
12.569	2.074
12.595	2.054
12.620	2.035
12.646	2.016
12.671	1.997
12.696	1.979
12.720	1.960
12.745	1.942
12.769	1.923
12.794	1.905
12.818	1.887
12.843	1.870
12.867	1.852
12.892	1.835
12.917	1.817
12.942	1.800
12.967	1.783
12.993	1.765
13.019	1.748
13.045	1.731
13.071	1.714
13.098	1.698
13.125	1.681
13.152	1.664
13.179	1.648
13.206	1.632
13.233	1.616
13.261	1.600
13.288	1.584
13.315	1.568
13.343	1.552
13.370	1.537
13.398	1.522
13.425	1.507
13.453	1.492
13.480	1.477
13.507	1.463
13.534	1.449
13.561	1.435
13.587	1.421
13.614	1.407
13.640	1.394
13.667	1.381
13.693	1.368
13.719	1.355
13.745	1.343
13.771	1.331
13.797	1.319
13.823	1.307
13.849	1.296
13.874	1.285
13.900	1.274
13.926	1.264
13.952	1.253
13.978	1.244
14.004	1.234
14.030	1.225
14.056	1.216
14.082	1.207
14.109	1.199
14.135	1.191
14.161	1.183
14.187	1.176
14.213	1.170
14.239	1.163
14.265	1.157
14.291	1.152
14.316	1.147
14.342	1.142
14.367	1.138
14.391	1.135
14.415	1.132
14.439	1.129
14.462	1.127
14.485	1.126
14.508	1.125
14.529	1.124
14.551	1.125
14.571	1.126
14.591	1.128
14.611	1.131
14.630	1.135
14.648	1.140
14.665	1.146
14.682	1.154
14.698	1.162
14.714	1.173
14.728	1.184
14.742	1.198
14.755	1.213
14.767	1.229
14.778	1.246
14.787	1.264
14.795	1.283
14.801	1.303
14.805	1.322
14.806	1.342
14.805	1.361
14.802	1.380
14.796	1.398
14.786	1.416
14.774	1.432
14.758	1.447
14.740	1.461
14.718	1.475
14.695	1.487
14.669	1.498
14.641	1.509
14.611	1.519
14.579	1.528
14.546	1.537
14.512	1.545
14.477	1.553
14.440	1.560
14.404	1.568
14.367	1.574
14.329	1.581
14.292	1.588
14.255	1.594
14.219	1.601
14.183	1.608
14.148	1.615
14.114	1.622
14.081	1.630
14.050	1.637
14.020	1.646
13.991	1.654
13.963	1.663
13.936	1.672
13.910	1.682
13.885	1.692
13.861	1.703
13.837	1.713
13.814	1.724
13.791	1.736
13.768	1.748
13.746	1.760
13.724	1.773
13.702	1.786
13.681	1.800
13.659	1.814
13.637	1.828
13.615	1.843
13.593	1.859
13.570	1.874
13.547	1.890
13.524	1.907
13.501	1.923
13.478	1.940
13.455	1.957
13.431	1.975
13.408	1.992
13.384	2.010
13.360	2.027
13.337	2.045
13.313	2.063
13.289	2.081
13.265	2.099
13.241	2.117
13.217	2.135
13.193	2.153
13.169	2.171
13.145	2.188
13.121	2.206
13.097	2.223
13.074	2.240
13.050	2.258
13.027	2.275
13.003	2.291
12.980	2.308
12.957	2.325
12.934	2.341
12.912	2.358
12.889	2.374
12.867	2.390
12.845	2.407
12.824	2.423
12.803	2.439
12.782	2.454
12.761	2.470
12.741	2.486
12.721	2.502
12.702	2.517
12.683	2.533
12.664	2.548
12.645	2.563
12.626	2.578
12.607	2.593
12.589	2.608
12.570	2.622
12.551	2.636
12.531	2.650
12.511	2.664
12.491	2.678
12.471	2.691
12.450	2.704
12.428	2.716
12.405	2.729
12.382	2.741
12.359	2.752
12.334	2.764
12.309	2.775
12.284	2.786
12.258	2.797
12.232	2.809
12.206	2.820
12.179	2.831
12.153	2.842
12.126	2.854
12.099	2.866
12.073	2.878
12.046	2.890
12.020	2.903
11.994	2.917
11.968	2.930
11.942	2.945
11.917	2.960
11.893	2.976
11.869	2.992
11.847	3.008
11.825	3.025
11.805	3.041
11.786	3.057
11.770	3.072
11.755	3.087
11.744	3.100
11.734	3.111
11.728	3.121
11.725	3.129
11.725	3.134
11.729	3.138
11.737	3.138
11.748	3.137
11.762	3.133
11.780	3.127
11.800	3.119
11.822	3.109
11.847	3.098
11.874	3.085
11.903	3.072
11.934	3.056
11.966	3.040
11.999	3.023
12.034	3.006
12.069	2.987
12.105	2.969
12.141	2.950
12.177	2.931
12.213	2.912
12.248	2.893
12.283	2.875
12.318	2.857
12.351	2.839
12.384	2.822
12.417	2.806
12.448	2.789
12.479	2.774
12.510	2.758
12.540	2.743
12.570	2.729
12.599	2.714
12.628	2.700
12.657	2.687
12.685	2.673
12.714	2.660
12.742	2.647
12.770	2.635
12.798	2.622
12.826	2.610
12.853	2.598
12.881	2.586
12.909	2.575
12.938	2.563
12.966	2.552
12.995	2.540
13.023	2.529
13.052	2.518
13.081	2.507
13.111	2.496
13.140	2.485
13.169	2.474
13.199	2.463
13.228	2.452
13.258	2.441
13.287	2.429
13.317	2.418
13.346	2.406
13.375	2.395
13.405	2.383
13.434	2.371
13.463	2.359
13.492	2.346
13.520	2.334
13.549	2.321
13.577	2.307
13.605	2.294
13.633	2.280
13.660	2.266
13.688	2.252
13.715	2.238
13.742	2.223
13.769	2.208
13.795	2.194
13.822	2.179
13.848	2.164
13.874	2.149
13.900	2.134
13.926	2.120
13.952	2.105
13.978	2.090
14.004	2.076
14.030	2.062
14.055	2.048
14.081	2.034
14.106	2.020
14.132	2.007
14.157	1.994
14.183	1.982
14.209	1.970
14.234	1.958
14.260	1.947
14.285	1.937
14.311	1.927
14.337	1.918
14.362	1.910
14.388	1.902
14.414	1.895
14.440	1.889
14.466	1.884
14.492	1.880
14.518	1.877
14.544	1.875
14.571	1.874
14.597	1.875
14.624	1.876
14.650	1.879
14.677	1.883
14.703	1.888
14.728	1.894
14.752	1.900
14.776	1.908
14.798	1.917
14.819	1.926
14.839	1.936
14.856	1.947
14.872	1.959
14.886	1.971
14.897	1.984
14.906	1.997
14.913	2.010
14.916	2.024
14.917	2.039
14.916	2.053
14.911	2.068
14.904	2.084
14.894	2.099
14.882	2.115
14.866	2.131
14.848	2.147
14.827	2.163
14.804	2.180
14.778	2.196
14.749	2.213
14.717	2.230
14.683	2.246
14.647	2.263
14.609	2.280
14.569	2.296
14.527	2.313
14.483	2.330
14.438	2.346
14.392	2.363
14.345	2.379
14.297	2.395
14.248	2.411
14.198	2.427
14.148	2.443
14.098	2.459
14.048	2.475
13.997	2.490
13.947	2.505
13.898	2.520
13.848	2.535
13.800	2.549
13.752	2.564
13.706	2.577
13.660	2.591
13.616	2.604
13.574	2.617
13.533	2.630
13.494	2.642
13.457	2.654
13.422	2.666
13.389	2.677
13.359	2.688
13.330	2.698
13.304	2.708
13.279	2.718
13.256	2.728
13.234	2.737
13.213	2.746
13.193	2.755
13.173	2.764
13.154	2.773
13.135	2.782
13.116	2.791
13.097	2.800
13.077	2.809
13.057	2.819
13.036	2.828
13.014	2.838
12.991	2.848
12.967	2.858
12.942	2.868
12.917	2.879
12.891	2.889
12.864	2.900
12.836	2.911
12.809	2.922
12.780	2.933
12.752	2.945
12.723	2.957
12.695	2.968
12.666	2.980
12.637	2.992
12.608	3.004
12.579	3.016
12.551	3.029
12.523	3.041
12.495	3.053
12.468	3.066
12.441	3.078
12.415	3.091
12.389	3.104
12.363	3.117
12.337	3.130
12.312	3.143
12.287	3.156
12.262	3.170
12.238	3.183
12.213	3.197
12.189	3.211
12.164	3.225
12.139	3.239
12.115	3.253
12.090	3.268
12.065	3.283
12.040	3.298
12.014	3.313
11.989	3.329
11.963	3.345
11.936	3.361
11.910	3.377
11.883	3.393
11.855	3.410
11.828	3.427
11.800	3.443
11.772	3.460
11.743	3.477
11.715	3.495
11.686	3.512
11.657	3.529
11.627	3.546
11.597	3.563
11.567	3.580
11.537	3.598
11.507	3.615
11.476	3.632
11.445	3.648
11.414	3.665
11.383	3.682
11.352	3.698
11.320	3.714
11.288	3.730
11.256	3.746
11.224	3.762
11.192	3.777
11.160	3.792
11.128	3.807
11.097	3.822
11.065	3.836
11.034	3.850
11.003	3.864
10.973	3.878
10.943	3.891
10.914	3.905
10.885	3.918
10.856	3.930
10.829	3.943
10.802	3.955
10.776	3.966
10.751	3.978
10.727	3.989
10.704	4.000
10.682	4.011
10.661	4.021
10.641	4.031
10.621	4.041
10.603	4.051
10.585	4.060
10.568	4.069
10.551	4.078
10.535	4.087
10.518	4.096
10.502	4.105
10.486	4.114
10.470	4.122
10.453	4.131
10.436	4.139
10.419	4.148
10.401	4.157
10.383	4.165
10.364	4.174
10.345	4.183
10.326	4.191
10.307	4.200
10.287	4.209
10.268	4.217
10.248	4.226
10.228	4.235
10.209	4.244
10.189	4.253
10.169	4.261
10.150	4.270
10.131	4.279
