X	Y
8.863	5.363
8.879	5.362
8.895	5.366
8.910	5.375
8.926	5.388
8.940	5.404
8.955	5.424
8.970	5.446
8.984	5.471
8.998	5.497
9.012	5.524
9.026	5.551
9.040	5.578
9.054	5.604
9.068	5.629
9.082	5.652
9.096	5.673
9.110	5.692
9.125	5.709
9.139	5.724
9.154	5.738
9.169	5.751
9.184	5.764
9.200	5.776
9.215	5.787
9.231	5.798
9.247	5.810
9.263	5.822
9.280	5.835
9.296	5.849
9.313	5.863
9.331	5.877
9.348	5.892
9.366	5.908
9.384	5.923
9.403	5.938
9.422	5.954
9.442	5.968
9.461	5.983
9.481	5.997
9.502	6.010
9.523	6.022
9.545	6.034
9.567	6.044
9.589	6.053
9.612	6.062
9.635	6.070
9.659	6.077
9.683	6.083
9.708	6.090
9.732	6.096
9.758	6.101
9.783	6.107
9.809	6.113
9.836	6.119
9.862	6.126
9.889	6.132
9.917	6.140
9.944	6.148
9.972	6.157
10.000	6.166
10.029	6.176
10.057	6.187
10.086	6.199
10.115	6.210
10.145	6.223
10.174	6.236
10.204	6.249
10.234	6.262
10.264	6.276
10.294	6.289
10.324	6.303
10.355	6.317
10.386	6.332
10.416	6.346
10.447	6.359
10.478	6.373
10.509	6.387
10.540	6.400
10.572	6.413
10.603	6.426
10.634	6.439
10.665	6.451
10.696	6.463
10.728	6.475
10.758	6.487
10.789	6.499
10.820	6.510
10.850	6.521
10.881	6.533
10.911	6.544
10.940	6.555
10.970	6.566
10.999	6.576
11.028	6.587
11.056	6.598
11.084	6.609
11.111	6.619
11.138	6.630
11.165	6.641
11.191	6.652
11.217	6.663
11.242	6.674
11.267	6.685
11.292	6.696
11.317	6.708
11.342	6.719
11.366	6.731
11.391	6.743
11.416	6.755
11.440	6.768
11.465	6.780
11.490	6.794
11.515	6.807
11.541	6.821
11.566	6.835
11.593	6.849
11.619	6.864
11.646	6.879
11.673	6.895
11.700	6.911
11.728	6.927
11.756	6.944
11.784	6.960
11.812	6.978
11.840	6.995
11.869	7.013
11.897	7.031
11.926	7.049
11.955	7.068
11.984	7.087
12.013	7.106
12.042	7.125
12.071	7.145
12.100	7.164
12.129	7.184
12.158	7.205
12.186	7.225
12.215	7.246
12.244	7.266
12.273	7.287
12.301	7.308
12.329	7.328
12.358	7.349
12.386	7.370
12.413	7.391
12.441	7.412
