X	Y
5.320	2.542
5.328	2.537
5.338	2.532
5.349	2.527
5.360	2.521
5.372	2.516
5.384	2.510
5.397	2.504
5.411	2.499
5.425	2.493
5.439	2.487
5.455	2.481
5.470	2.476
5.486	2.470
5.503	2.464
5.520	2.458
5.537	2.453
5.555	2.447
5.573	2.441
5.591	2.436
5.610	2.430
5.629	2.425
5.648	2.419
5.667	2.414
5.687	2.409
5.706	2.404
5.726	2.399
5.746	2.395
5.766	2.390
5.786	2.386
5.806	2.381
5.826	2.377
5.846	2.374
5.866	2.370
5.886	2.366
5.906	2.363
5.925	2.360
5.945	2.357
5.965	2.354
5.985	2.351
6.005	2.348
6.025	2.346
6.045	2.343
6.065	2.341
6.085	2.339
6.105	2.337
6.124	2.335
6.144	2.333
6.164	2.331
6.184	2.329
6.203	2.327
6.223	2.326
6.243	2.324
6.262	2.323
6.282	2.321
6.301	2.320
6.321	2.318
6.340	2.317
6.360	2.315
6.379	2.314
6.398	2.313
6.418	2.311
6.437	2.310
6.456	2.309
6.475	2.307
6.494	2.306
6.513	2.305
6.532	2.303
6.551	2.302
6.569	2.300
6.588	2.299
6.607	2.297
6.625	2.296
6.644	2.294
6.662	2.293
6.680	2.291
6.698	2.290
6.716	2.288
6.734	2.287
6.752	2.285
6.770	2.284
6.787	2.282
6.805	2.280
6.822	2.279
6.839	2.277
6.856	2.275
6.873	2.274
6.890	2.272
6.907	2.270
6.923	2.269
6.940	2.267
6.956	2.265
6.972	2.263
6.988	2.262
7.004	2.260
7.019	2.258
7.035	2.257
7.050	2.255
7.065	2.253
7.080	2.251
7.095	2.250
7.110	2.248
7.124	2.246
7.139	2.245
7.153	2.243
7.168	2.242
7.182	2.240
7.196	2.239
7.210	2.238
7.225	2.236
7.239	2.235
7.253	2.234
7.267	2.234
7.281	2.233
7.295	2.232
7.310	2.232
7.324	2.231
7.338	2.231
7.352	2.231
7.367	2.231
7.381	2.232
7.396	2.232
7.411	2.233
7.425	2.233
7.440	2.234
7.455	2.235
7.470	2.237
7.484	2.238
7.499	2.239
7.514	2.241
7.529	2.243
7.543	2.244
7.558	2.246
7.572	2.248
7.586	2.250
7.600	2.252
7.614	2.254
7.628	2.256
7.642	2.259
7.655	2.261
7.669	2.263
7.682	2.265
7.695	2.268
7.707	2.270
7.719	2.272
7.731	2.274
7.743	2.277
7.755	2.279
7.766	2.281
7.777	2.283
7.788	2.285
7.799	2.287
7.810	2.289
7.820	2.291
7.831	2.292
7.842	2.294
7.852	2.295
7.863	2.297
7.874	2.298
7.885	2.299
7.896	2.299
7.908	2.300
7.919	2.300
7.931	2.301
7.943	2.300
7.955	2.300
7.968	2.300
7.981	2.299
7.994	2.298
8.008	2.297
8.021	2.296
8.035	2.295
8.049	2.294
8.063	2.292
8.077	2.291
8.091	2.289
8.106	2.287
8.120	2.286
8.135	2.284
8.149	2.282
8.164	2.280
8.178	2.279
8.192	2.277
8.207	2.276
8.221	2.274
8.235	2.273
8.249	2.272
8.262	2.270
8.276	2.269
8.289	2.269
8.303	2.268
8.316	2.267
8.328	2.267
8.341	2.267
8.354	2.267
8.366	2.266
8.378	2.266
8.390	2.266
8.402	2.266
8.414	2.266
8.426	2.267
8.437	2.267
8.449	2.267
8.460	2.267
8.472	2.267
8.483	2.267
8.494	2.267
8.505	2.267
8.516	2.266
8.527	2.266
8.538	2.265
8.549	2.265
8.560	2.264
8.571	2.264
8.582	2.263
8.592	2.263
8.602	2.262
8.613	2.262
8.623	2.262
8.632	2.263
8.642	2.263
8.651	2.264
8.660	2.265
8.669	2.266
8.677	2.268
8.685	2.271
8.693	2.274
8.700	2.277
8.707	2.281
8.713	2.285
8.719	2.290
8.725	2.295
8.731	2.300
8.736	2.306
8.741	2.312
8.746	2.319
8.750	2.326
8.755	2.332
8.759	2.340
8.762	2.347
8.766	2.354
8.770	2.362
8.773	2.370
8.776	2.378
8.779	2.385
8.782	2.393
8.784	2.401
8.787	2.409
8.789	2.417
8.791	2.425
8.793	2.433
8.794	2.441
8.796	2.449
8.797	2.456
8.799	2.464
8.800	2.471
8.800	2.478
8.801	2.485
8.802	2.492
8.802	2.500
8.802	2.507
8.803	2.514
8.803	2.521
8.803	2.529
8.802	2.537
8.802	2.545
8.802	2.553
8.801	2.561
8.800	2.570
8.800	2.579
8.799	2.588
8.798	2.598
8.797	2.607
8.795	2.617
8.794	2.627
8.792	2.637
8.791	2.647
8.789	2.657
8.786	2.667
8.784	2.677
8.781	2.687
8.778	2.697
8.775	2.707
8.772	2.717
8.768	2.727
8.765	2.736
8.761	2.746
8.756	2.755
8.752	2.764
8.747	2.773
8.742	2.782
8.737	2.791
8.732	2.800
8.727	2.809
8.721	2.818
8.716	2.827
8.710	2.835
8.705	2.844
8.699	2.852
8.693	2.861
8.688	2.870
8.682	2.878
8.677	2.887
8.671	2.896
8.665	2.904
8.660	2.913
8.654	2.922
8.648	2.930
8.643	2.939
8.637	2.948
8.631	2.957
8.625	2.966
8.619	2.974
8.613	2.983
8.606	2.992
8.600	3.001
8.593	3.010
8.586	3.019
8.579	3.028
8.571	3.037
8.564	3.046
8.556	3.055
8.547	3.064
8.539	3.073
8.530	3.082
8.521	3.091
8.512	3.101
8.503	3.110
8.493	3.119
8.483	3.128
8.474	3.137
8.463	3.146
8.453	3.155
8.443	3.165
8.432	3.174
8.422	3.183
8.411	3.192
8.400	3.201
8.389	3.210
8.378	3.219
8.368	3.229
8.356	3.238
8.345	3.247
8.334	3.256
8.323	3.265
8.312	3.274
8.301	3.283
8.290	3.292
8.279	3.301
8.267	3.309
8.256	3.318
8.245	3.327
8.234	3.335
8.222	3.344
8.211	3.352
8.199	3.361
8.188	3.369
8.176	3.377
8.165	3.385
8.153	3.392
8.141	3.400
8.129	3.407
8.117	3.415
8.105	3.422
8.092	3.429
8.080	3.435
8.068	3.442
8.055	3.448
8.042	3.454
8.029	3.460
8.016	3.465
8.003	3.471
7.990	3.476
7.976	3.481
7.963	3.486
7.949	3.490
7.935	3.495
7.921	3.499
7.907	3.503
7.893	3.507
7.879	3.511
7.864	3.515
7.850	3.518
7.835	3.522
7.821	3.526
7.806	3.529
7.791	3.532
7.776	3.536
7.761	3.539
7.746	3.542
7.731	3.545
7.716	3.549
7.700	3.552
7.685	3.555
7.670	3.558
7.654	3.562
7.639	3.565
7.623	3.568
7.607	3.571
7.591	3.575
7.576	3.578
7.560	3.581
7.544	3.584
7.528	3.588
7.512	3.591
7.496	3.594
7.480	3.597
7.464	3.600
7.447	3.602
7.431	3.605
7.415	3.608
7.398	3.610
7.382	3.612
7.366	3.615
7.349	3.617
7.333	3.619
7.316	3.620
7.300	3.622
7.283	3.623
7.267	3.624
7.250	3.625
7.233	3.626
7.217	3.627
7.200	3.627
7.183	3.627
7.166	3.627
7.150	3.627
7.133	3.627
7.116	3.626
7.099	3.625
7.082	3.624
7.065	3.623
7.048	3.621
7.031	3.620
7.014	3.618
6.997	3.617
6.980	3.615
6.963	3.613
6.946	3.610
6.928	3.608
6.911	3.606
6.894	3.603
6.876	3.601
6.859	3.598
6.841	3.596
6.824	3.593
6.806	3.590
6.789	3.587
6.771	3.584
6.753	3.581
6.736	3.579
6.718	3.576
6.700	3.573
6.682	3.570
6.664	3.567
6.646	3.564
6.628	3.561
6.610	3.558
6.592	3.555
6.574	3.552
6.555	3.549
6.537	3.546
6.519	3.543
6.501	3.540
6.483	3.537
6.465	3.534
6.447	3.531
6.430	3.528
6.412	3.525
6.394	3.521
6.377	3.518
6.359	3.515
6.342	3.512
6.325	3.509
6.308	3.505
6.291	3.502
6.274	3.499
6.257	3.496
6.241	3.492
6.225	3.489
6.208	3.485
6.193	3.482
6.177	3.478
6.161	3.475
6.146	3.471
6.131	3.467
6.116	3.464
6.102	3.460
6.087	3.456
6.073	3.452
6.059	3.448
6.044	3.444
6.030	3.440
6.016	3.436
6.003	3.432
5.989	3.427
5.975	3.423
5.961	3.418
5.947	3.413
5.933	3.408
5.920	3.403
5.906	3.398
5.892	3.393
5.878	3.387
5.863	3.382
5.849	3.376
5.835	3.370
5.820	3.364
5.805	3.357
5.790	3.351
5.775	3.344
5.760	3.337
5.744	3.330
5.729	3.323
5.713	3.316
5.697	3.308
5.681	3.301
5.665	3.293
5.650	3.285
5.634	3.276
5.618	3.268
5.602	3.260
5.587	3.251
5.571	3.242
5.556	3.233
5.541	3.224
5.526	3.215
5.512	3.206
5.498	3.196
5.484	3.187
5.470	3.177
5.457	3.167
5.444	3.158
5.431	3.148
5.419	3.137
5.408	3.127
5.397	3.117
5.386	3.107
5.376	3.096
5.367	3.086
5.358	3.075
5.349	3.065
5.341	3.054
5.334	3.043
5.327	3.033
5.320	3.022
5.314	3.012
5.308	3.001
5.303	2.991
5.297	2.981
5.292	2.970
5.288	2.960
5.283	2.951
5.279	2.941
5.274	2.932
5.270	2.922
5.266	2.913
5.262	2.905
5.258	2.896
5.254	2.888
5.250	2.880
5.246	2.873
5.242	2.865
5.239	2.858
5.235	2.850
5.232	2.843
5.229	2.836
5.226	2.828
5.223	2.821
5.221	2.813
5.219	2.805
5.217	2.797
5.216	2.789
5.216	2.780
5.215	2.770
5.216	2.761
5.216	2.751
5.217	2.741
5.218	2.731
5.220	2.720
5.222	2.710
5.224	2.700
5.227	2.689
5.229	2.679
5.232	2.669
5.235	2.659
5.238	2.650
5.241	2.641
