X,Y
347.000,128.000
348.710,127.664
350.382,127.390
352.031,127.167
353.673,126.981
355.323,126.820
356.997,126.673
358.709,126.527
360.476,126.369
362.313,126.188
364.236,125.972
366.252,125.712
368.351,125.414
370.520,125.086
372.742,124.737
375.006,124.374
377.295,124.005
379.597,123.638
381.896,123.281
384.179,122.943
386.431,122.630
388.638,122.352
390.786,122.115
392.861,121.928
394.862,121.793
396.803,121.704
398.697,121.656
400.561,121.642
402.409,121.657
404.256,121.695
406.117,121.751
408.006,121.818
409.939,121.891
411.929,121.964
413.993,122.031
416.128,122.094
418.319,122.162
420.547,122.244
422.796,122.350
425.049,122.489
427.287,122.671
429.494,122.904
431.653,123.198
433.745,123.563
435.754,124.008
437.662,124.542
439.452,125.174
441.121,125.900
442.689,126.688
444.182,127.502
445.622,128.308
447.036,129.071
448.446,129.755
449.878,130.327
451.356,130.751
452.904,130.992
454.542,131.024
456.269,130.859
458.079,130.524
459.965,130.043
461.921,129.442
463.940,128.747
466.015,127.981
468.140,127.172
470.307,126.344
472.510,125.523
474.743,124.733
476.999,124.000
479.270,123.346
481.550,122.771
483.831,122.275
486.106,121.854
488.366,121.506
490.604,121.230
492.813,121.022
494.986,120.881
497.113,120.804
499.188,120.789
501.204,120.834
503.152,120.936
505.027,121.093
506.832,121.297
508.586,121.533
510.304,121.789
512.005,122.051
513.703,122.306
515.418,122.540
517.165,122.739
518.961,122.891
520.824,122.981
522.770,122.996
524.805,122.933
526.921,122.797
529.110,122.599
531.363,122.346
533.671,122.046
536.027,121.709
538.420,121.342
540.843,120.953
543.286,120.552
545.742,120.146
548.201,119.744
550.655,119.355
553.095,118.986
555.512,118.647
557.895,118.349
560.234,118.104
562.517,117.925
564.733,117.823
566.873,117.810
568.923,117.898
570.875,118.099
572.716,118.426
574.435,118.890
576.023,119.504
577.467,120.278
578.763,121.215
579.912,122.301
580.916,123.519
581.780,124.854
582.504,126.290
583.093,127.812
583.548,129.404
583.873,131.051
584.070,132.736
584.145,134.447
584.105,136.178
583.959,137.920
583.715,139.667
583.381,141.411
582.966,143.144
582.478,144.859
581.925,146.549
581.315,148.206
580.657,149.823
579.956,151.401
579.217,152.946
578.444,154.467
577.640,155.970
576.809,157.463
575.956,158.953
575.084,160.449
574.198,161.957
573.301,163.484
572.397,165.039
571.491,166.621
570.586,168.225
569.686,169.846
568.795,171.481
567.917,173.125
567.055,174.772
566.215,176.419
565.399,178.061
564.612,179.693
563.857,181.311
563.132,182.909
562.415,184.483
561.685,186.027
560.919,187.535
560.096,189.002
559.192,190.422
558.185,191.789
557.053,193.099
555.774,194.345
554.325,195.521
552.706,196.629
550.938,197.673
549.043,198.660
547.045,199.596
544.966,200.487
542.828,201.339
540.656,202.159
538.471,202.951
536.295,203.723
534.153,204.481
532.066,205.231
530.058,205.978
528.144,206.724
526.309,207.450
524.529,208.129
522.782,208.737
521.043,209.248
519.290,209.635
517.499,209.874
515.646,209.939
513.708,209.805
511.662,209.445
509.484,208.836
507.171,207.977
504.763,206.927
502.303,205.748
499.834,204.506
497.402,203.264
495.049,202.086
492.819,201.036
490.757,200.177
488.906,199.574
487.310,199.290
486.013,199.390
485.059,199.936
484.476,200.974
484.218,202.440
484.212,204.243
484.387,206.288
484.671,208.481
484.993,210.730
485.282,212.939
485.465,215.016
485.471,216.867
485.230,218.398
484.670,219.519
483.779,220.219
482.593,220.566
481.154,220.630
479.501,220.479
477.675,220.186
475.716,219.818
473.664,219.447
471.560,219.142
469.443,218.972
467.339,218.977
465.250,219.134
463.171,219.417
461.100,219.797
459.034,220.247
456.970,220.739
454.906,221.245
452.838,221.738
450.764,222.191
448.681,222.575
446.586,222.863
444.476,223.028
442.350,223.057
440.211,222.972
438.064,222.795
435.910,222.551
433.755,222.263
431.600,221.955
429.450,221.650
427.308,221.372
425.178,221.146
423.062,220.993
420.965,220.939
418.890,221.007
416.840,221.205
414.815,221.490
412.817,221.805
410.846,222.098
408.902,222.311
406.986,222.391
405.099,222.283
403.242,221.930
401.414,221.280
399.617,220.275
397.851,218.862
396.116,217.008
394.408,214.749
392.726,212.134
391.064,209.212
389.421,206.034
387.792,202.649
386.174,199.106
384.563,195.454
382.957,191.744
381.352,188.024
379.745,184.344
378.132,180.754
376.509,177.303
374.874,174.040
373.223,171.016
371.553,168.278
369.860,165.878
368.141,163.864
366.393,162.286
364.613,161.184
362.810,160.514
360.996,160.196
359.185,160.150
357.390,160.293
355.624,160.545
353.901,160.825
352.232,161.052
350.632,161.144
349.113,161.021
347.686,160.616
346.346,159.937
345.085,159.017
343.893,157.888
342.763,156.581
341.686,155.129
340.652,153.563
339.653,151.916
338.681,150.220
337.726,148.506
336.795,146.799
335.918,145.112
335.129,143.456
334.460,141.842
333.946,140.281
333.620,138.784
333.514,137.362
333.663,136.027
334.099,134.790
334.836,133.657
335.841,132.628
337.074,131.697
338.494,130.862
340.062,130.119
341.736,129.465
343.477,128.896
345.245,128.409
347.000,128.000
