X,Y
1110.000,696.000
1113.622,694.492
1117.492,693.117
1121.600,691.869
1125.938,690.746
1130.496,689.744
1135.266,688.858
1140.240,688.086
1145.408,687.423
1150.761,686.865
1156.291,686.410
1161.989,686.053
1167.846,685.790
1173.853,685.617
1180.002,685.532
1186.283,685.529
1192.688,685.606
1199.208,685.759
1205.835,685.983
1212.559,686.275
1219.371,686.632
1226.263,687.049
1233.226,687.523
1240.251,688.050
1247.330,688.626
1254.453,689.248
1261.612,689.911
1268.797,690.613
1276.001,691.348
1283.214,692.114
1290.427,692.907
1297.632,693.723
1304.820,694.558
1311.982,695.409
1319.109,696.271
1326.193,697.141
1333.224,698.015
1340.194,698.890
1347.093,699.761
1353.914,700.625
1360.648,701.478
1367.284,702.317
1373.816,703.137
1380.233,703.936
1386.528,704.708
1392.690,705.451
1398.713,706.160
1404.585,706.832
1410.300,707.463
1415.848,708.049
1421.219,708.587
1426.407,709.073
1431.401,709.503
1436.192,709.873
1440.774,710.180
1445.148,710.425
1449.329,710.613
1453.328,710.750
1457.158,710.840
1460.833,710.889
1464.363,710.901
1467.762,710.881
1471.043,710.835
1474.219,710.768
1477.301,710.685
1480.302,710.590
1483.236,710.489
1486.115,710.387
1488.950,710.289
1491.756,710.201
1494.545,710.126
1497.328,710.071
1500.120,710.040
1502.932,710.038
1505.777,710.070
1508.668,710.143
1511.617,710.259
1514.637,710.425
1517.741,710.646
1520.942,710.927
1524.250,711.272
1527.681,711.688
1531.246,712.178
1534.950,712.745
1538.788,713.388
1542.756,714.105
1546.848,714.894
1551.057,715.753
1555.378,716.679
1559.806,717.672
1564.335,718.729
1568.958,719.848
1573.671,721.028
1578.468,722.266
1583.343,723.561
1588.291,724.910
1593.305,726.312
1598.381,727.764
1603.511,729.266
1608.692,730.814
1613.917,732.408
1619.180,734.044
1624.477,735.722
1629.800,737.439
1635.145,739.194
1640.505,740.984
1645.876,742.807
1651.251,744.662
1656.625,746.547
1661.992,748.459
1667.347,750.398
1672.684,752.360
1677.996,754.345
1683.280,756.349
1688.528,758.372
1693.735,760.411
1698.896,762.465
1704.004,764.531
1709.055,766.608
1714.042,768.693
1718.960,770.785
1723.803,772.881
1728.566,774.981
1733.243,777.082
1737.828,779.182
1742.315,781.278
1746.699,783.370
1750.975,785.456
1755.142,787.535
1759.203,789.610
1763.160,791.680
1767.015,793.748
1770.771,795.815
1774.431,797.883
1777.996,799.952
1781.469,802.024
1784.853,804.099
1788.150,806.181
1791.363,808.269
1794.493,810.366
1797.544,812.472
1800.517,814.588
1803.416,816.717
1806.242,818.859
1808.998,821.016
1811.687,823.189
1814.310,825.379
1816.871,827.588
1819.371,829.817
1821.814,832.067
1824.201,834.340
1826.536,836.636
1828.819,838.958
1831.055,841.307
1833.245,843.683
1835.392,846.089
1837.497,848.525
1839.565,850.992
1841.596,853.493
1843.593,856.028
1845.553,858.595
1847.469,861.189
1849.338,863.807
1851.152,866.445
1852.907,869.099
1854.598,871.766
1856.218,874.440
1857.762,877.119
1859.226,879.799
1860.602,882.475
1861.887,885.144
1863.074,887.802
1864.158,890.444
1865.134,893.068
1865.995,895.669
1866.737,898.244
1867.354,900.787
1867.841,903.297
1868.192,905.768
1868.402,908.197
1868.465,910.579
1868.376,912.912
1868.129,915.191
1867.719,917.412
1867.148,919.576
1866.418,921.685
1865.535,923.741
1864.502,925.748
1863.325,927.708
1862.007,929.623
1860.553,931.496
1858.968,933.329
1857.256,935.126
1855.420,936.889
1853.466,938.620
1851.398,940.321
1849.220,941.996
1846.937,943.648
1844.553,945.278
1842.073,946.889
1839.500,948.484
1836.839,950.066
1834.095,951.636
1831.272,953.198
1828.374,954.755
1825.406,956.308
1822.372,957.859
1819.275,959.409
1816.119,960.957
1812.906,962.503
1809.641,964.046
1806.327,965.585
1802.967,967.121
1799.565,968.654
1796.123,970.182
1792.646,971.705
1789.136,973.223
1785.597,974.735
1782.033,976.242
1778.447,977.743
1774.841,979.237
1771.220,980.724
1767.588,982.203
1763.946,983.675
1760.299,985.139
1756.650,986.594
1753.002,988.040
1749.359,989.477
1745.724,990.904
1742.101,992.321
1738.493,993.727
1734.903,995.123
1731.334,996.508
1727.791,997.881
1724.276,999.242
1720.792,1000.590
1717.344,1001.926
1713.934,1003.248
1710.567,1004.557
1707.241,1005.853
1703.953,1007.133
1700.701,1008.398
1697.480,1009.647
1694.287,1010.880
1691.117,1012.096
1687.968,1013.294
1684.836,1014.474
1681.717,1015.634
1678.607,1016.775
1675.503,1017.896
1672.401,1018.996
1669.297,1020.075
1666.188,1021.132
1663.071,1022.166
1659.941,1023.177
1656.795,1024.164
1653.629,1025.126
1650.439,1026.064
1647.223,1026.975
1643.975,1027.861
1640.694,1028.719
1637.374,1029.550
1634.013,1030.353
1630.606,1031.126
1627.150,1031.871
1623.642,1032.585
1620.077,1033.269
1616.453,1033.922
1612.765,1034.542
1609.016,1035.131
1605.207,1035.690
1601.341,1036.218
1597.421,1036.716
1593.448,1037.184
1589.426,1037.624
1585.356,1038.036
1581.242,1038.420
1577.086,1038.776
1572.889,1039.106
1568.655,1039.410
1564.386,1039.688
1560.085,1039.942
1555.753,1040.170
1551.394,1040.375
1547.009,1040.556
1542.602,1040.714
1538.174,1040.850
1533.728,1040.964
1529.267,1041.057
1524.793,1041.129
1520.308,1041.180
1515.815,1041.212
1511.317,1041.225
1506.815,1041.219
1502.312,1041.195
1497.812,1041.153
1493.315,1041.095
1488.824,1041.019
1484.343,1040.928
1479.873,1040.822
1475.417,1040.700
1470.977,1040.564
1466.556,1040.414
1462.156,1040.251
1457.780,1040.075
1453.430,1039.887
1449.106,1039.686
1444.810,1039.471
1440.541,1039.241
1436.298,1038.994
1432.082,1038.730
1427.893,1038.446
1423.730,1038.142
1419.594,1037.817
1415.485,1037.468
1411.401,1037.096
1407.344,1036.698
1403.314,1036.273
1399.309,1035.821
1395.330,1035.340
1391.378,1034.828
1387.451,1034.284
1383.550,1033.708
1379.675,1033.098
1375.826,1032.452
1372.002,1031.769
1368.204,1031.048
1364.431,1030.289
1360.683,1029.488
1356.961,1028.646
1353.265,1027.762
1349.593,1026.833
1345.946,1025.858
1342.325,1024.837
1338.728,1023.767
1335.157,1022.649
1331.610,1021.479
1328.087,1020.258
1324.590,1018.984
1321.117,1017.656
1317.668,1016.273
1314.242,1014.837
1310.838,1013.349
1307.454,1011.811
1304.089,1010.224
1300.742,1008.590
1297.411,1006.910
1294.096,1005.186
1290.794,1003.420
1287.505,1001.613
1284.228,999.766
1280.960,997.882
1277.702,995.961
1274.450,994.005
1271.205,992.016
1267.965,989.995
1264.729,987.944
1261.495,985.864
1258.262,983.757
1255.029,981.625
1251.795,979.469
1248.557,977.290
1245.316,975.090
1242.069,972.870
1238.816,970.633
1235.555,968.379
1232.285,966.111
1229.004,963.829
1225.711,961.536
1222.406,959.232
1219.086,956.920
1215.750,954.600
1212.398,952.276
1209.028,949.946
1205.643,947.612
1202.245,945.273
1198.839,942.928
1195.427,940.575
1192.014,938.214
1188.601,935.845
1185.193,933.466
1181.793,931.077
1178.404,928.676
1175.030,926.263
1171.673,923.838
1168.338,921.398
1165.026,918.944
1161.743,916.474
1158.491,913.989
1155.273,911.486
1152.093,908.965
1148.954,906.425
1145.859,903.866
1142.812,901.286
1139.816,898.685
1136.874,896.061
1133.990,893.415
1131.167,890.745
1128.408,888.050
1125.717,885.330
1123.097,882.584
1120.550,879.810
1118.082,877.008
1115.694,874.178
1113.391,871.318
1111.175,868.427
1109.049,865.505
1107.018,862.551
1105.082,859.565
1103.237,856.548
1101.483,853.501
1099.817,850.426
1098.236,847.325
1096.739,844.197
1095.323,841.044
1093.985,837.868
1092.723,834.670
1091.536,831.451
1090.420,828.212
1089.374,824.955
1088.395,821.680
1087.481,818.389
1086.630,815.083
1085.838,811.763
1085.105,808.431
1084.428,805.088
1083.803,801.735
1083.230,798.373
1082.706,795.003
1082.229,791.627
1081.795,788.246
1081.404,784.861
1081.052,781.474
1080.738,778.085
1080.458,774.695
1080.211,771.307
1079.995,767.921
1079.809,764.539
1079.660,761.165
1079.557,757.805
1079.509,754.464
1079.524,751.147
1079.612,747.859
1079.780,744.605
1080.038,741.390
1080.395,738.219
1080.858,735.097
1081.438,732.030
1082.142,729.022
1082.980,726.078
1083.960,723.205
1085.091,720.406
1086.382,717.686
1087.841,715.052
1089.478,712.508
1091.300,710.058
1093.317,707.709
1095.538,705.465
1097.971,703.331
1100.625,701.312
1103.508,699.414
1106.631,697.642
1110.000,696.000
