X,Y
1433.000,942.000
1433.826,939.160
1434.824,936.464
1435.985,933.905
1437.299,931.479
1438.756,929.178
1440.345,926.997
1442.056,924.929
1443.880,922.968
1445.807,921.109
1447.825,919.344
1449.926,917.669
1452.099,916.077
1454.334,914.561
1456.621,913.116
1458.950,911.735
1461.310,910.413
1463.692,909.142
1466.086,907.918
1468.482,906.734
1470.869,905.584
1473.242,904.463
1475.605,903.366
1477.959,902.289
1480.307,901.230
1482.653,900.183
1484.998,899.145
1487.345,898.112
1489.698,897.079
1492.059,896.044
1494.431,895.001
1496.815,893.948
1499.217,892.879
1501.637,891.792
1504.078,890.682
1506.544,889.545
1509.038,888.377
1511.561,887.175
1514.116,885.934
1516.708,884.650
1519.336,883.320
1522.002,881.945
1524.701,880.532
1527.427,879.085
1530.176,877.613
1532.943,876.120
1535.724,874.615
1538.515,873.102
1541.309,871.589
1544.104,870.081
1546.894,868.585
1549.674,867.108
1552.439,865.656
1555.186,864.235
1557.910,862.851
1560.605,861.511
1563.267,860.222
1565.892,858.989
1568.474,857.820
1571.010,856.720
1573.494,855.695
1575.922,854.753
1578.289,853.900
1580.594,853.137
1582.844,852.457
1585.050,851.849
1587.221,851.303
1589.366,850.808
1591.495,850.354
1593.617,849.932
1595.742,849.529
1597.879,849.137
1600.038,848.744
1602.228,848.341
1604.460,847.917
1606.741,847.462
1609.083,846.965
1611.494,846.416
1613.984,845.805
1616.563,845.121
1619.238,844.356
1622.010,843.508
1624.874,842.582
1627.828,841.579
1630.866,840.504
1633.986,839.360
1637.184,838.150
1640.456,836.876
1643.798,835.542
1647.207,834.152
1650.679,832.708
1654.209,831.214
1657.796,829.673
1661.433,828.087
1665.119,826.460
1668.848,824.796
1672.618,823.097
1676.425,821.367
1680.265,819.608
1684.134,817.825
1688.028,816.019
1691.944,814.195
1695.878,812.355
1699.826,810.502
1703.785,808.641
1707.751,806.773
1711.719,804.902
1715.687,803.031
1719.651,801.164
1723.606,799.304
1727.552,797.450
1731.487,795.605
1735.409,793.769
1739.318,791.943
1743.211,790.128
1747.087,788.324
1750.946,786.533
1754.785,784.754
1758.603,782.990
1762.399,781.240
1766.171,779.505
1769.918,777.786
1773.639,776.085
1777.333,774.401
1780.997,772.735
1784.631,771.089
1788.233,769.463
1791.801,767.858
1795.335,766.275
1798.833,764.714
1802.294,763.176
1805.715,761.662
1809.097,760.173
1812.437,758.709
1815.734,757.272
1818.987,755.862
1822.194,754.480
1825.354,753.126
1828.466,751.802
1831.529,750.508
1834.547,749.242
1837.526,748.002
1840.469,746.787
1843.380,745.596
1846.265,744.426
1849.127,743.275
1851.971,742.143
1854.802,741.027
1857.623,739.925
1860.440,738.837
1863.256,737.760
1866.076,736.693
1868.905,735.633
1871.747,734.580
1874.606,733.532
1877.487,732.486
1880.394,731.442
1883.332,730.397
1886.304,729.350
1889.317,728.299
1892.372,727.242
1895.477,726.178
1898.633,725.106
1901.839,724.026
1905.092,722.940
1908.388,721.850
1911.722,720.758
1915.092,719.665
1918.493,718.573
1921.921,717.484
1925.373,716.400
1928.845,715.323
1932.333,714.253
1935.833,713.194
1939.342,712.147
1942.855,711.114
1946.370,710.096
1949.881,709.096
1953.386,708.114
1956.880,707.153
1960.360,706.215
1963.822,705.302
1967.262,704.414
1970.676,703.555
1974.061,702.725
1977.412,701.927
1980.727,701.162
1984.000,700.432
1987.229,699.740
1990.411,699.085
1993.548,698.468
1996.642,697.889
1999.693,697.349
2002.703,696.846
2005.674,696.382
2008.606,695.956
2011.501,695.568
2014.361,695.219
2017.187,694.907
2019.979,694.634
2022.741,694.400
2025.472,694.204
2028.175,694.046
2030.851,693.927
2033.500,693.846
2036.125,693.804
2038.727,693.800
2041.307,693.835
2043.867,693.909
2046.408,694.021
2048.929,694.172
2051.427,694.366
2053.896,694.606
2056.332,694.895
2058.729,695.236
2061.083,695.632
2063.389,696.087
2065.641,696.603
2067.835,697.185
2069.965,697.835
2072.028,698.556
2074.017,699.352
2075.929,700.226
2077.757,701.182
2079.498,702.222
2081.145,703.349
2082.695,704.567
2084.145,705.876
2085.494,707.271
2086.744,708.748
2087.894,710.302
2088.946,711.930
2089.898,713.626
2090.753,715.386
2091.509,717.206
2092.168,719.082
2092.729,721.008
2093.194,722.982
2093.562,724.997
2093.833,727.050
2094.009,729.137
2094.090,731.253
2094.082,733.394
2093.992,735.558
2093.826,737.740
2093.591,739.936
2093.292,742.144
2092.937,744.360
2092.532,746.580
2092.083,748.800
2091.596,751.018
2091.079,753.229
2090.537,755.430
2089.977,757.618
2089.406,759.788
2088.829,761.938
2088.254,764.064
2087.686,766.162
2087.129,768.231
2086.583,770.274
2086.049,772.292
2085.528,774.286
2085.020,776.259
2084.526,778.211
2084.046,780.146
2083.580,782.063
2083.130,783.966
2082.696,785.855
2082.279,787.733
2081.878,789.601
2081.495,791.461
2081.131,793.314
2080.785,795.162
2080.456,797.007
2080.144,798.851
2079.845,800.697
2079.558,802.547
2079.281,804.402
2079.011,806.264
2078.748,808.137
2078.488,810.022
2078.230,811.921
2077.972,813.837
2077.713,815.771
2077.449,817.726
2077.179,819.704
2076.901,821.706
2076.614,823.735
2076.313,825.789
2075.997,827.869
2075.664,829.972
2075.310,832.100
2074.934,834.251
2074.532,836.424
2074.103,838.620
2073.643,840.836
2073.150,843.074
2072.622,845.332
2072.056,847.610
2071.449,849.907
2070.799,852.222
2070.104,854.555
2069.361,856.906
2068.567,859.273
2067.723,861.657
2066.830,864.058
2065.891,866.476
2064.907,868.912
2063.880,871.365
2062.813,873.837
2061.708,876.326
2060.567,878.835
2059.391,881.362
2058.182,883.908
2056.944,886.474
2055.677,889.060
2054.385,891.666
2053.068,894.292
2051.729,896.939
2050.370,899.606
2048.994,902.295
2047.601,905.005
2046.194,907.738
2044.776,910.492
2043.348,913.268
2041.911,916.065
2040.465,918.877
2039.011,921.701
2037.547,924.531
2036.074,927.363
2034.592,930.193
2033.101,933.015
2031.600,935.825
