X	Y
24.797	21.565
24.819	21.527
24.848	21.486
24.882	21.443
24.922	21.396
24.968	21.347
25.019	21.296
25.075	21.242
25.135	21.188
25.201	21.131
25.271	21.074
25.345	21.015
25.423	20.956
25.505	20.897
25.591	20.838
25.680	20.779
25.773	20.720
25.869	20.663
25.967	20.606
26.069	20.551
26.173	20.497
26.279	20.445
26.388	20.395
26.498	20.347
26.611	20.301
26.725	20.257
26.842	20.214
26.959	20.173
27.079	20.133
27.200	20.094
27.322	20.057
27.445	20.020
27.569	19.985
27.695	19.950
27.821	19.915
27.948	19.881
28.075	19.848
28.204	19.815
28.332	19.782
28.461	19.749
28.591	19.716
28.720	19.682
28.850	19.649
28.979	19.615
29.108	19.580
29.237	19.544
29.365	19.508
29.493	19.471
29.621	19.432
29.747	19.393
29.873	19.352
29.998	19.310
30.121	19.266
30.244	19.221
30.366	19.174
30.486	19.126
30.606	19.077
30.724	19.027
30.842	18.976
30.959	18.924
31.074	18.872
31.189	18.820
31.303	18.767
31.416	18.714
31.529	18.661
31.640	18.608
31.751	18.556
31.861	18.503
31.970	18.452
32.078	18.401
32.186	18.351
32.293	18.302
32.400	18.254
32.505	18.208
32.611	18.162
32.715	18.119
32.819	18.077
32.923	18.037
33.026	17.998
33.129	17.962
33.231	17.928
33.332	17.897
33.434	17.867
33.534	17.840
33.635	17.815
33.735	17.791
33.835	17.769
33.935	17.748
34.034	17.728
34.133	17.709
34.232	17.691
34.331	17.673
34.429	17.656
34.528	17.640
34.626	17.623
34.724	17.606
34.823	17.589
34.921	17.572
35.019	17.554
35.118	17.535
35.216	17.515
35.314	17.494
35.413	17.471
35.512	17.447
35.611	17.422
35.710	17.394
35.809	17.365
35.908	17.335
36.008	17.303
36.107	17.271
36.207	17.238
36.306	17.205
36.405	17.171
36.504	17.138
36.602	17.105
36.700	17.073
36.798	17.041
36.895	17.011
36.992	16.981
37.088	16.954
37.184	16.928
37.279	16.904
37.373	16.883
37.467	16.864
37.560	16.848
37.652	16.835
37.743	16.825
37.832	16.819
37.921	16.817
38.009	16.818
