X,Y
57.392,45.682
57.466,45.457
57.540,45.233
57.616,45.009
57.693,44.786
57.772,44.564
57.853,44.343
57.936,44.124
58.021,43.906
58.110,43.689
58.202,43.475
58.297,43.262
58.396,43.052
58.499,42.843
58.607,42.637
58.720,42.434
58.837,42.233
58.960,42.036
59.089,41.841
59.224,41.649
59.365,41.461
59.513,41.276
59.666,41.094
59.825,40.914
59.990,40.737
60.160,40.561
60.336,40.388
60.517,40.216
60.703,40.045
60.894,39.876
61.089,39.707
61.290,39.539
61.495,39.372
61.705,39.204
61.918,39.037
62.136,38.869
62.358,38.700
62.584,38.531
62.813,38.361
63.046,38.189
63.282,38.016
63.522,37.842
63.765,37.665
64.010,37.488
64.259,37.310
64.510,37.130
64.764,36.950
65.021,36.770
65.280,36.589
65.541,36.407
65.805,36.226
66.070,36.045
66.338,35.864
66.607,35.684
66.878,35.504
67.151,35.326
67.425,35.148
67.700,34.971
67.977,34.796
68.254,34.622
68.533,34.450
68.813,34.280
69.093,34.112
69.374,33.947
69.655,33.783
69.937,33.623
70.219,33.465
70.501,33.309
70.783,33.157
71.064,33.008
71.344,32.861
71.623,32.718
71.900,32.577
72.175,32.440
72.449,32.306
72.720,32.175
72.988,32.047
73.253,31.922
73.514,31.800
73.772,31.682
74.026,31.567
74.276,31.456
74.521,31.348
74.761,31.243
74.996,31.142
75.225,31.044
75.448,30.950
75.666,30.860
75.877,30.773
76.081,30.690
76.279,30.611
76.471,30.535
76.658,30.464
76.841,30.397
77.020,30.334
77.197,30.275
77.370,30.222
77.543,30.173
77.714,30.129
77.885,30.090
78.056,30.056
78.228,30.027
78.402,30.004
78.578,29.986
78.756,29.974
78.938,29.968
79.121,29.969
79.304,29.975
79.488,29.989
79.671,30.009
79.853,30.037
80.032,30.072
80.207,30.115
80.379,30.166
80.545,30.226
80.706,30.293
80.860,30.370
81.006,30.456
81.145,30.551
81.274,30.656
81.396,30.770
81.510,30.892
81.617,31.023
81.717,31.162
81.811,31.309
81.898,31.464
81.980,31.626
82.056,31.795
82.127,31.971
82.194,32.154
82.256,32.342
82.315,32.537
82.370,32.737
82.421,32.943
82.469,33.153
82.513,33.367
82.551,33.584
82.584,33.804
82.611,34.024
82.631,34.246
82.643,34.467
82.648,34.687
82.645,34.906
82.632,35.123
82.610,35.336
82.578,35.546
82.535,35.751
82.481,35.950
82.415,36.143
82.337,36.330
82.246,36.509
82.145,36.681
82.034,36.847
81.914,37.009
81.788,37.165
81.658,37.318
81.523,37.468
81.386,37.615
81.248,37.761
81.111,37.906
80.977,38.050
80.846,38.195
80.720,38.341
80.600,38.489
80.489,38.639
80.387,38.793
80.295,38.951
80.213,39.112
80.140,39.278
80.076,39.449
80.020,39.624
79.971,39.804
79.929,39.989
79.894,40.180
79.864,40.377
79.841,40.579
79.822,40.788
79.807,41.003
79.796,41.225
79.788,41.453
79.784,41.689
79.781,41.932
79.780,42.182
79.781,42.438
79.782,42.700
79.784,42.967
79.786,43.237
79.788,43.510
79.790,43.786
79.790,44.063
79.788,44.341
79.785,44.619
79.779,44.895
79.771,45.170
79.760,45.442
79.745,45.711
79.726,45.975
79.702,46.234
79.674,46.488
79.641,46.735
79.603,46.974
79.558,47.205
79.507,47.427
79.449,47.640
79.385,47.843
79.315,48.036
79.239,48.221
79.156,48.398
79.068,48.565
78.974,48.725
78.875,48.876
78.770,49.019
78.659,49.155
78.544,49.283
78.424,49.404
78.299,49.518
78.169,49.625
78.035,49.725
77.896,49.819
77.751,49.906
77.599,49.988
77.440,50.065
77.272,50.135
77.095,50.201
76.908,50.262
76.709,50.319
76.499,50.371
76.275,50.419
76.038,50.463
75.785,50.504
75.517,50.541
75.233,50.576
74.931,50.607
74.611,50.637
74.272,50.664
73.913,50.689
73.532,50.712
73.131,50.734
72.711,50.754
72.274,50.772
71.820,50.787
71.351,50.801
70.869,50.811
70.375,50.819
69.871,50.824
69.358,50.825
68.838,50.824
68.312,50.818
67.782,50.809
67.248,50.796
66.713,50.779
66.179,50.757
65.645,50.731
65.115,50.700
64.589,50.664
64.069,50.623
63.557,50.577
63.053,50.525
62.560,50.468
62.078,50.404
61.610,50.335
61.157,50.259
60.720,50.177
60.300,50.088
59.900,49.992
59.521,49.890
59.164,49.780
58.830,49.662
58.521,49.537
58.240,49.405
57.986,49.264
57.762,49.115
57.568,48.957
57.406,48.792
57.273,48.618
57.167,48.438
57.086,48.251
57.028,48.058
56.992,47.859
56.976,47.655
56.977,47.446
56.994,47.234
57.025,47.018
57.067,46.800
57.120,46.579
57.181,46.356
57.247,46.132
57.318,45.907
57.392,45.682
