X,Y
4.899,2.515
4.905,2.501
4.911,2.486
4.917,2.472
4.923,2.456
4.929,2.441
4.936,2.425
4.942,2.410
4.949,2.394
4.955,2.378
4.962,2.362
4.969,2.346
4.975,2.331
4.982,2.316
4.989,2.301
4.996,2.286
5.003,2.272
5.011,2.259
5.018,2.246
5.025,2.233
5.032,2.220
5.040,2.208
5.048,2.196
5.055,2.184
5.063,2.172
5.071,2.161
5.079,2.149
5.087,2.137
5.095,2.126
5.103,2.114
5.112,2.102
5.120,2.090
5.129,2.078
5.138,2.066
5.147,2.054
5.156,2.043
5.165,2.031
5.174,2.019
5.184,2.008
5.193,1.997
5.203,1.986
5.213,1.975
5.222,1.965
5.232,1.955
5.242,1.946
5.252,1.937
5.263,1.928
5.273,1.919
5.283,1.910
5.294,1.901
5.304,1.893
5.314,1.884
5.325,1.875
5.335,1.866
5.346,1.857
5.356,1.847
5.366,1.837
5.377,1.827
5.387,1.816
5.398,1.806
5.408,1.795
5.419,1.783
5.430,1.772
5.441,1.761
5.452,1.749
5.463,1.737
5.475,1.726
5.487,1.714
5.499,1.702
5.512,1.690
5.525,1.679
5.538,1.667
5.552,1.656
5.566,1.644
5.580,1.633
5.595,1.622
5.609,1.611
5.624,1.600
5.639,1.589
5.653,1.579
5.668,1.568
5.683,1.558
5.697,1.547
5.711,1.537
5.725,1.527
5.738,1.517
5.752,1.507
5.765,1.497
5.777,1.488
5.789,1.478
5.801,1.469
5.813,1.459
5.824,1.450
5.836,1.441
5.847,1.431
5.858,1.422
5.870,1.412
5.881,1.403
5.893,1.393
5.904,1.384
5.916,1.374
5.928,1.364
5.941,1.354
5.953,1.343
5.966,1.333
5.979,1.323
5.992,1.312
6.005,1.302
6.018,1.291
6.031,1.280
6.045,1.270
6.058,1.259
6.072,1.249
6.085,1.238
6.098,1.228
6.112,1.217
6.125,1.207
6.138,1.197
6.151,1.186
6.164,1.176
6.177,1.166
6.190,1.156
6.203,1.146
6.216,1.137
6.229,1.127
6.243,1.117
6.256,1.108
6.269,1.098
6.283,1.089
6.296,1.079
6.310,1.070
6.324,1.061
6.338,1.051
6.352,1.042
6.366,1.033
6.381,1.024
6.395,1.015
6.410,1.006
6.425,0.997
6.440,0.988
6.456,0.979
6.471,0.970
6.487,0.961
6.502,0.952
6.518,0.943
6.534,0.934
6.550,0.924
6.567,0.915
6.583,0.906
6.599,0.896
6.616,0.887
6.633,0.878
6.649,0.868
6.666,0.859
6.683,0.849
6.700,0.839
6.716,0.830
6.733,0.820
6.750,0.810
6.767,0.801
6.783,0.791
6.800,0.781
6.816,0.771
6.833,0.762
6.849,0.752
6.865,0.742
6.881,0.732
6.897,0.723
6.913,0.713
6.929,0.704
6.945,0.694
6.960,0.684
6.976,0.675
6.992,0.666
7.008,0.656
7.024,0.647
7.041,0.638
7.057,0.629
7.074,0.620
7.092,0.611
7.109,0.602
7.127,0.594
7.145,0.585
7.164,0.577
7.183,0.569
7.202,0.561
7.222,0.553
7.242,0.545
7.262,0.537
7.282,0.530
7.303,0.523
7.324,0.515
7.344,0.508
7.365,0.501
7.386,0.494
7.406,0.488
7.427,0.481
7.447,0.474
7.467,0.468
7.487,0.462
7.507,0.455
7.526,0.449
7.545,0.443
7.564,0.437
7.582,0.431
7.600,0.425
7.617,0.420
7.635,0.414
7.652,0.409
7.669,0.404
7.685,0.399
7.702,0.394
7.718,0.389
7.734,0.385
7.750,0.381
7.766,0.377
7.782,0.373
7.799,0.370
7.815,0.366
7.831,0.363
7.847,0.361
7.863,0.358
7.880,0.356
7.896,0.354
7.913,0.352
7.930,0.350
7.947,0.349
7.964,0.348
7.981,0.346
7.999,0.345
8.016,0.344
8.034,0.343
8.052,0.343
8.070,0.342
8.089,0.341
8.107,0.340
8.126,0.340
8.145,0.339
8.164,0.338
8.183,0.338
8.202,0.337
8.221,0.337
8.239,0.337
8.258,0.337
8.276,0.337
8.294,0.337
8.311,0.337
8.328,0.338
8.345,0.338
8.361,0.339
8.376,0.340
8.391,0.342
8.404,0.343
8.418,0.345
8.430,0.347
8.442,0.350
8.454,0.353
8.465,0.357
8.475,0.361
8.485,0.366
8.494,0.371
8.504,0.378
8.512,0.385
8.520,0.392
8.528,0.401
8.536,0.410
8.542,0.420
8.549,0.430
8.554,0.441
8.559,0.452
8.563,0.463
8.567,0.475
8.570,0.486
8.572,0.498
8.573,0.510
8.573,0.521
8.573,0.533
8.572,0.545
8.571,0.557
8.570,0.570
8.568,0.582
8.566,0.595
8.564,0.607
8.562,0.620
8.561,0.634
8.559,0.647
