X,Y
39.255,15.851
39.388,15.733
39.555,15.637
39.750,15.558
39.972,15.496
40.216,15.447
40.478,15.409
40.754,15.381
41.042,15.360
41.337,15.343
41.636,15.328
41.935,15.313
42.231,15.296
42.526,15.279
42.818,15.262
43.107,15.246
43.393,15.231
43.676,15.218
43.956,15.208
44.232,15.201
44.505,15.197
44.774,15.199
45.039,15.205
45.300,15.218
45.557,15.236
45.812,15.260
46.064,15.289
46.316,15.323
46.567,15.361
46.820,15.402
47.075,15.447
47.332,15.494
47.594,15.544
47.861,15.595
48.134,15.648
48.413,15.701
48.697,15.754
48.985,15.808
49.276,15.862
49.569,15.916
49.861,15.969
50.152,16.022
50.441,16.074
50.726,16.125
51.006,16.174
51.279,16.222
51.545,16.268
51.802,16.312
52.051,16.355
52.293,16.397
52.529,16.440
52.762,16.485
52.991,16.533
53.220,16.584
53.448,16.639
53.678,16.700
53.911,16.768
54.148,16.843
54.388,16.925
54.630,17.016
54.871,17.116
55.110,17.223
55.342,17.339
55.567,17.463
55.782,17.595
55.985,17.736
56.172,17.886
56.343,18.044
56.494,18.211
56.628,18.385
56.745,18.565
56.848,18.749
56.939,18.935
57.021,19.122
57.095,19.308
57.164,19.491
57.230,19.670
57.295,19.843
57.354,20.010
57.406,20.172
57.444,20.327
57.466,20.477
57.467,20.622
57.443,20.761
57.391,20.896
57.315,21.028
57.217,21.160
57.101,21.293
56.970,21.430
56.827,21.574
56.677,21.725
56.522,21.886
56.363,22.058
56.202,22.238
56.038,22.423
55.871,22.613
55.702,22.803
55.530,22.993
55.355,23.180
55.178,23.361
54.998,23.535
54.816,23.699
54.631,23.851
54.446,23.992
54.260,24.120
54.075,24.238
53.892,24.345
53.712,24.442
53.537,24.529
53.368,24.606
53.206,24.675
53.051,24.735
52.901,24.789
52.753,24.836
52.605,24.880
52.453,24.921
52.295,24.960
52.126,25.000
51.946,25.042
51.755,25.084
51.557,25.126
51.354,25.168
51.148,25.207
50.943,25.244
50.740,25.276
50.542,25.305
50.353,25.327
50.172,25.345
49.999,25.358
49.833,25.370
49.672,25.381
49.516,25.394
49.363,25.411
49.212,25.432
49.062,25.460
48.911,25.495
48.760,25.536
48.607,25.584
48.451,25.640
48.292,25.703
48.127,25.773
47.959,25.851
47.792,25.936
47.630,26.029
47.479,26.130
47.343,26.239
47.226,26.355
47.134,26.480
47.068,26.611
47.020,26.744
46.978,26.871
46.930,26.986
46.863,27.082
46.766,27.152
46.634,27.193
46.471,27.210
46.283,27.207
46.075,27.187
45.852,27.155
45.619,27.115
45.381,27.071
45.144,27.028
44.913,26.988
44.687,26.952
44.468,26.917
44.255,26.882
44.046,26.843
43.842,26.800
43.643,26.750
43.447,26.692
43.255,26.622
43.066,26.539
42.880,26.444
42.697,26.337
42.517,26.219
42.341,26.092
42.170,25.956
42.002,25.814
41.839,25.665
41.680,25.511
41.527,25.354
41.378,25.193
41.235,25.031
41.096,24.866
40.963,24.699
40.836,24.532
40.714,24.364
40.597,24.197
40.485,24.029
40.380,23.863
40.279,23.698
40.183,23.533
40.091,23.367
40.002,23.201
39.915,23.033
39.830,22.862
39.746,22.689
39.661,22.512
39.577,22.331
39.493,22.146
39.411,21.958
39.332,21.766
39.258,21.571
39.189,21.374
39.126,21.175
39.071,20.973
39.025,20.769
38.988,20.564
38.960,20.358
38.939,20.151
38.926,19.945
38.919,19.738
38.918,19.533
38.922,19.328
38.931,19.126
38.944,18.925
38.960,18.727
38.977,18.530
38.995,18.333
39.011,18.137
39.026,17.939
39.036,17.740
39.042,17.538
39.042,17.334
39.036,17.126
39.029,16.918
39.025,16.713
39.030,16.515
39.050,16.326
39.091,16.150
39.157,15.991
39.255,15.851
