X	Y
56.334	25.862
56.590	25.606
56.868	25.406
57.167	25.257
57.484	25.155
57.817	25.095
58.164	25.074
58.522	25.086
58.890	25.127
59.264	25.193
59.644	25.279
60.025	25.381
60.408	25.495
60.788	25.616
61.164	25.741
61.534	25.864
61.898	25.986
62.257	26.108
62.611	26.230
62.962	26.355
63.310	26.483
63.656	26.614
64.000	26.750
64.345	26.892
64.689	27.042
65.035	27.199
65.382	27.365
65.732	27.541
66.086	27.727
66.443	27.926
66.806	28.138
67.175	28.363
67.548	28.602
67.926	28.852
68.307	29.113
68.692	29.385
69.080	29.667
69.471	29.957
69.863	30.256
70.257	30.562
70.652	30.874
71.047	31.193
71.442	31.517
71.836	31.845
72.229	32.176
72.620	32.510
73.009	32.846
73.395	33.184
73.778	33.521
74.157	33.859
74.532	34.195
74.902	34.530
75.267	34.862
75.626	35.192
75.979	35.520
76.326	35.844
76.666	36.165
76.998	36.482
77.324	36.795
77.641	37.105
77.949	37.409
78.249	37.709
78.539	38.003
78.820	38.292
79.091	38.575
79.351	38.852
79.601	39.123
79.839	39.387
80.066	39.644
80.281	39.894
80.487	40.137
80.684	40.375
80.875	40.608
81.061	40.836
81.244	41.059
81.425	41.280
81.606	41.497
81.788	41.712
81.972	41.925
82.162	42.138
82.357	42.349
82.559	42.561
82.767	42.772
82.982	42.985
83.202	43.198
83.427	43.413
83.656	43.629
83.889	43.847
84.126	44.068
84.365	44.292
84.607	44.519
84.851	44.750
85.096	44.984
85.342	45.223
85.587	45.465
85.827	45.710
86.057	45.954
86.275	46.198
86.475	46.437
86.653	46.671
86.805	46.898
86.927	47.116
87.015	47.323
87.065	47.517
87.071	47.696
87.033	47.860
86.955	48.009
86.847	48.146
86.715	48.274
86.567	48.394
86.412	48.511
86.257	48.624
86.109	48.739
85.971	48.856
85.843	48.981
85.726	49.116
85.620	49.266
85.525	49.434
85.441	49.624
85.369	49.838
85.308	50.079
85.255	50.340
85.205	50.614
85.156	50.893
85.104	51.168
85.043	51.434
84.971	51.681
84.884	51.903
84.778	52.092
84.649	52.240
84.494	52.342
84.316	52.401
84.118	52.428
83.905	52.430
83.682	52.415
83.452	52.393
83.220	52.371
82.989	52.358
82.765	52.363
82.550	52.390
82.342	52.439
82.142	52.508
81.948	52.597
81.760	52.704
81.577	52.829
81.399	52.969
81.223	53.124
81.051	53.292
80.880	53.472
80.710	53.659
80.540	53.851
80.369	54.044
80.197	54.236
80.022	54.422
79.843	54.599
79.660	54.764
79.472	54.913
79.278	55.044
79.077	55.156
78.871	55.251
78.662	55.333
78.450	55.406
78.237	55.474
78.023	55.540
77.812	55.607
77.603	55.681
77.398	55.763
77.199	55.857
77.003	55.961
76.812	56.074
76.624	56.193
76.439	56.317
76.256	56.443
76.074	56.571
75.894	56.698
75.713	56.822
75.533	56.943
75.353	57.059
75.175	57.173
74.997	57.284
74.822	57.394
74.648	57.503
74.478	57.612
74.312	57.721
74.149	57.831
73.990	57.941
73.832	58.049
73.674	58.154
73.514	58.253
73.350	58.345
73.180	58.426
73.004	58.497
72.818	58.554
72.623	58.600
72.418	58.639
72.203	58.672
71.978	58.704
71.742	58.737
71.495	58.775
71.238	58.820
70.968	58.877
70.688	58.947
70.396	59.033
70.095	59.135
69.788	59.251
