X,Y
3673.000,1105.000
3679.166,1100.680
3687.198,1097.881
3696.619,1096.263
3706.950,1095.486
3717.715,1095.208
3728.434,1095.089
3738.648,1094.801
3748.224,1094.230
3757.304,1093.444
3766.039,1092.517
3774.581,1091.522
3783.081,1090.535
3791.689,1089.629
3800.472,1088.882
3809.397,1088.378
3818.427,1088.200
3827.524,1088.433
3836.648,1089.159
3845.763,1090.461
3854.823,1092.382
3863.771,1094.894
3872.551,1097.964
3881.104,1101.558
3889.373,1105.643
3897.300,1110.184
3904.859,1115.142
3912.135,1120.452
3919.234,1126.045
3926.267,1131.851
3933.342,1137.801
3940.567,1143.825
3947.978,1149.856
3955.075,1155.842
3961.123,1161.737
3965.385,1167.498
3967.126,1173.078
3965.688,1178.443
3961.393,1183.680
3955.235,1188.961
3948.219,1194.459
3941.350,1200.348
3935.627,1206.799
3931.472,1213.792
3928.242,1220.957
3925.177,1227.883
3921.519,1234.164
3916.509,1239.388
3909.671,1243.279
3901.407,1245.970
3892.289,1247.674
3882.889,1248.602
3873.781,1248.969
3865.535,1248.986
3858.432,1248.845
3852.083,1248.690
3846.003,1248.657
3839.711,1248.883
3832.768,1249.497
3825.152,1250.551
3817.057,1252.058
3808.680,1254.033
3800.216,1256.488
3791.863,1259.436
3783.801,1262.746
3776.170,1265.906
3769.103,1268.341
3762.732,1269.477
3757.191,1268.738
3752.490,1266.044
3748.337,1262.558
3744.389,1259.636
3740.316,1258.506
3735.892,1258.836
3730.960,1259.245
3725.377,1258.362
3719.220,1255.676
3712.820,1251.644
3706.521,1246.776
3700.667,1241.578
3695.593,1236.546
3691.374,1231.809
3687.831,1227.135
3684.770,1222.275
3682.001,1216.981
3679.429,1211.149
3677.091,1204.871
3675.034,1198.255
3673.307,1191.410
3671.942,1184.427
3670.878,1177.270
3670.005,1169.847
3669.215,1162.065
3668.399,1153.832
3667.467,1145.071
3666.613,1135.976
3666.284,1126.981
3666.936,1118.526
3669.023,1111.052
3673.000,1105.000
